a40017,24081793,24081168,24082418,a40017_112
a40017,24152043,24151418,24152668,a40017_113
a40017,24343168,24342543,24343793,a40017_114
a40017,24345918,24345293,24346543,a40017_115
a40017,24348293,24347668,24348918,a40017_116
a40017,24374919,24374294,24375544,a40017_117
a40050,139345,138720,139970,a40050_11
a40050,144345,143720,144970,a40050_12
a40050,148220,147595,148845,a40050_13
a40050,171970,171345,172595,a40050_14
a40050,172220,171595,172845,a40050_15
a40050,192345,191720,192970,a40050_16
a40050,192346,191721,192971,a40050_17
a40050,193220,192595,193845,a40050_18
a40050,196220,195595,196845,a40050_19
a40050,216345,215720,216970,a40050_20
a40050,240720,240095,241345,a40050_21
a40050,241720,241095,242345,a40050_22
a40050,265220,264595,265845,a40050_23
a40050,267095,266470,267720,a40050_24
a40050,308345,307720,308970,a40050_25
a40050,333220,332595,333845,a40050_26
a40050,349595,348970,350220,a40050_27
a40050,353595,352970,354220,a40050_28
a40050,398220,397595,398845,a40050_29
a40050,399845,399220,400470,a40050_30
a40050,424845,424220,425470,a40050_31
a40050,426470,425845,427095,a40050_32
a40050,433220,432595,433845,a40050_33
a40050,435220,434595,435845,a40050_34
a40050,439220,438595,439845,a40050_35
a40050,463845,463220,464470,a40050_36
a40050,491596,490971,492221,a40050_37
a40050,515720,515095,516345,a40050_38
a40050,517095,516470,517720,a40050_39
a40050,521595,520970,522220,a40050_40
a40050,522470,521845,523095,a40050_41
a40050,551970,551345,552595,a40050_42
a40050,552970,552345,553595,a40050_43
a40050,578095,577470,578720,a40050_44
a40119,82509126,82508501,82509751,a40119_463
a40277,2894877,2894252,2895502,a40277_21
a40277,3160252,3159627,3160877,a40277_22
a40454,16712383,16711758,16713008,a40454_20
a40454,16712883,16712258,16713508,a40454_21
a40454,16740883,16740258,16741508,a40454_22
a40454,16750383,16749758,16751008,a40454_23
a40454,16752383,16751758,16753008,a40454_24
a40454,16752508,16751883,16753133,a40454_25
a40454,16903883,16903258,16904508,a40454_26
a40454,16953758,16953133,16954383,a40454_27
a40501,24998488,24997863,24999113,a40501_296
a40542,35917130,35916505,35917755,a40542_97
a40546,26116183,26115558,26116808,a40546_249
a40633,37703129,37702504,37703754,a40633_133
a40633,38009004,38008379,38009629,a40633_134
a40660,15388144,15387519,15388769,a40660_974
a40660,15423894,15423269,15424519,a40660_975
a40660,15447519,15446894,15448144,a40660_976
a40660,15486019,15485394,15486644,a40660_977
a40660,15492019,15491394,15492644,a40660_978
