'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'15:45.192',0.000,-,-,-,-,44.000,1.200
'15:45.200',0.000,-,-,-,-,44.000,2.640
'15:45.208',0.000,-,-,-,-,44.800,4.080
'15:45.216',0.009,-,-,-,-,45.600,4.800
'15:45.224',0.009,-,-,-,-,46.400,4.680
'15:45.232',0.017,-,-,-,-,48.000,3.480
'15:45.240',0.017,-,-,-,-,49.600,2.040
'15:45.248',0.035,-,-,-,-,51.200,1.200
'15:45.256',0.035,-,-,-,-,52.800,0.840
'15:45.264',0.017,-,-,-,-,55.200,1.440
'15:45.272',0.000,-,-,-,-,56.800,3.840
'15:45.280',-0.009,-,-,-,-,59.200,7.440
'15:45.288',-0.017,-,-,-,-,61.600,10.800
'15:45.296',-0.035,-,-,-,-,63.200,12.000
'15:45.304',-0.043,-,-,-,-,64.000,10.680
'15:45.312',-0.043,-,-,-,-,65.600,7.680
'15:45.320',-0.052,-,-,-,-,65.600,5.280
'15:45.328',-0.035,-,-,-,-,66.400,4.200
'15:45.336',-0.035,-,-,-,-,65.600,4.800
'15:45.344',-0.035,-,-,-,-,64.800,6.600
'15:45.352',-0.043,-,-,-,-,62.400,8.280
'15:45.360',-0.070,-,-,-,-,60.800,9.000
'15:45.368',-0.104,-,-,-,-,57.600,8.280
'15:45.376',-0.139,-,-,-,-,54.400,6.240
'15:45.384',-0.130,-,-,-,-,51.200,4.440
'15:45.392',-0.043,-,-,-,-,48.000,3.840
'15:45.400',0.035,-,-,-,-,44.800,5.040
'15:45.408',0.043,-,-,-,-,41.600,7.800
'15:45.416',0.043,-,-,-,-,38.400,12.000
'15:45.424',0.043,-,-,-,-,35.200,17.160
'15:45.432',0.043,-,-,-,-,32.800,20.880
'15:45.440',0.043,-,-,-,-,30.400,20.520
'15:45.448',0.043,-,-,-,-,28.000,14.520
'15:45.456',0.043,-,-,-,-,25.600,6.240
'15:45.464',0.052,-,-,-,-,24.000,2.040
'15:45.472',0.052,-,-,-,-,23.200,7.080
'15:45.480',0.043,-,-,-,-,24.000,18.480
'15:45.488',0.043,-,-,-,-,24.800,30.960
