'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:27:19.776',0.058,0.048,99.200,23.600
'8:27:19.784',0.000,0.000,95.200,24.000
'8:27:19.792',0.019,0.010,91.200,24.000
'8:27:19.800',-0.048,-0.029,88.000,23.600
'8:27:19.808',-0.038,0.000,84.000,23.200
'8:27:19.816',-0.087,-0.048,80.800,22.000
'8:27:19.824',-0.048,-0.010,78.400,21.200
'8:27:19.832',-0.077,-0.048,75.200,20.400
'8:27:19.840',-0.048,-0.010,73.600,19.600
'8:27:19.848',-0.106,-0.087,71.200,19.200
'8:27:19.856',-0.154,-0.106,69.600,18.800
'8:27:19.864',-0.067,-0.087,68.800,18.800
'8:27:19.872',0.269,0.125,67.200,18.800
'8:27:19.880',0.731,0.490,66.400,18.800
'8:27:19.888',0.827,0.683,66.400,19.200
'8:27:19.896',0.375,0.481,65.600,19.600
'8:27:19.904',0.144,0.250,64.800,20.400
'8:27:19.912',0.000,0.048,64.800,20.800
'8:27:19.920',-0.038,0.000,64.000,21.200
'8:27:19.928',-0.019,-0.029,64.000,21.200
'8:27:19.936',-0.067,-0.048,63.200,21.600
'8:27:19.944',-0.038,-0.029,62.400,22.000
'8:27:19.952',-0.077,-0.067,61.600,23.200
'8:27:19.960',-0.048,-0.029,60.800,24.400
'8:27:19.968',-0.067,-0.067,59.200,26.000
'8:27:19.976',-0.048,-0.029,58.400,27.200
'8:27:19.984',-0.067,-0.067,56.800,28.000
'8:27:19.992',-0.029,-0.029,55.200,28.400
'8:27:20.000',-0.067,-0.067,54.400,28.000
'8:27:20.008',-0.019,-0.029,52.800,26.800
'8:27:20.016',-0.048,-0.067,52.000,24.400
'8:27:20.024',-0.019,-0.029,50.400,21.600
'8:27:20.032',-0.029,-0.067,49.600,19.200
'8:27:20.040',-0.010,-0.029,48.800,18.000
'8:27:20.048',-0.019,-0.067,48.000,18.800
'8:27:20.056',0.019,-0.010,47.200,20.800
'8:27:20.064',0.000,-0.048,47.200,23.600
'8:27:20.072',0.029,-0.010,47.200,26.800
'8:27:20.080',0.019,-0.048,48.800,30.400
'8:27:20.088',0.038,-0.010,52.000,33.200
'8:27:20.096',0.029,-0.029,56.000,35.600
'8:27:20.104',0.067,-0.048,60.800,37.600
'8:27:20.112',0.077,0.000,66.400,38.400
'8:27:20.120',0.067,-0.029,72.800,38.800
'8:27:20.128',0.125,0.010,80.000,38.800
'8:27:20.136',0.115,0.000,87.200,38.400
'8:27:20.144',0.144,0.048,93.600,37.600
'8:27:20.152',0.115,0.029,99.200,36.400
'8:27:20.160',0.077,0.067,104.000,35.200
'8:27:20.168',0.038,0.010,107.200,33.600
'8:27:20.176',0.019,0.000,108.800,32.000
'8:27:20.184',-0.019,-0.010,108.800,30.000
'8:27:20.192',-0.019,0.000,107.200,28.400
'8:27:20.200',-0.048,-0.029,104.800,27.200
'8:27:20.208',-0.019,0.000,100.800,26.400
'8:27:20.216',-0.067,-0.029,96.800,26.000
'8:27:20.224',-0.029,0.000,92.000,26.000
'8:27:20.232',-0.067,-0.029,87.200,26.400
'8:27:20.240',-0.048,0.000,82.400,27.200
'8:27:20.248',-0.067,-0.029,77.600,27.600
'8:27:20.256',-0.048,0.000,72.800,28.400
'8:27:20.264',-0.077,-0.029,68.800,29.600
'8:27:20.272',-0.048,0.000,65.600,30.400
'8:27:20.280',-0.077,-0.029,62.400,31.600
'8:27:20.288',-0.048,0.000,59.200,32.400
'8:27:20.296',-0.048,-0.029,56.800,32.400
'8:27:20.304',-0.087,-0.029,55.200,32.000
