'Elapsed time','I','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'7:01:17.016',-,0.024,-,-,0.000,-,-,92.000,44.280
'7:01:17.024',-,0.032,-,-,0.016,-,-,92.000,44.280
'7:01:17.032',-,0.008,-,-,0.000,-,-,91.200,44.280
'7:01:17.040',-,0.000,-,-,0.000,-,-,89.600,43.920
'7:01:17.048',-,0.024,-,-,0.000,-,-,89.600,43.920
'7:01:17.056',-,0.016,-,-,0.000,-,-,92.000,43.560
'7:01:17.064',-,0.008,-,-,0.000,-,-,94.400,43.080
'7:01:17.072',-,0.000,-,-,0.000,-,-,98.400,42.720
'7:01:17.080',-,0.008,-,-,0.000,-,-,101.600,42.360
'7:01:17.088',-,-0.016,-,-,0.000,-,-,103.200,42.360
'7:01:17.096',-,-0.024,-,-,-0.016,-,-,104.000,42.360
'7:01:17.104',-,0.000,-,-,0.000,-,-,103.200,42.360
'7:01:17.112',-,-0.016,-,-,-0.016,-,-,101.600,42.360
'7:01:17.120',-,-0.024,-,-,-0.016,-,-,99.200,42.360
'7:01:17.128',-,-0.008,-,-,0.000,-,-,98.400,42.360
'7:01:17.136',-,-0.024,-,-,-0.016,-,-,98.400,42.360
'7:01:17.144',-,-0.008,-,-,0.000,-,-,98.400,41.880
'7:01:17.152',-,-0.024,-,-,-0.016,-,-,96.800,41.520
'7:01:17.160',-,-0.008,-,-,0.000,-,-,96.800,41.520
'7:01:17.168',-,-0.048,-,-,-0.040,-,-,96.000,41.160
'7:01:17.176',-,-0.016,-,-,-0.016,-,-,96.000,40.680
'7:01:17.184',-,-0.024,-,-,0.000,-,-,94.400,40.320
'7:01:17.192',-,-0.016,-,-,-0.016,-,-,94.400,40.320
'7:01:17.200',-,-0.032,-,-,0.000,-,-,93.600,39.960
'7:01:17.208',-,-0.024,-,-,-0.016,-,-,93.600,39.960
'7:01:17.216',-,-0.040,-,-,-0.016,-,-,92.000,39.480
'7:01:17.224',-,-0.016,-,-,0.000,-,-,91.200,39.480
'7:01:17.232',-,-0.032,-,-,-0.016,-,-,89.600,39.120
'7:01:17.240',-,-0.064,-,-,-0.040,-,-,89.600,39.120
'7:01:17.248',-,-0.024,-,-,-0.016,-,-,88.800,38.760
'7:01:17.256',-,-0.032,-,-,-0.016,-,-,88.800,38.760
'7:01:17.264',-,-0.008,-,-,0.000,-,-,87.200,38.280
'7:01:17.272',-,-0.024,-,-,-0.016,-,-,87.200,38.280
'7:01:17.280',-,-0.040,-,-,0.000,-,-,86.400,37.920
'7:01:17.288',-,-0.024,-,-,-0.016,-,-,86.400,37.920
'7:01:17.296',-,-0.016,-,-,0.000,-,-,84.800,37.560
'7:01:17.304',-,-0.040,-,-,-0.016,-,-,84.800,37.560
'7:01:17.312',-,-0.032,-,-,-0.016,-,-,84.800,37.080
'7:01:17.320',-,-0.056,-,-,-0.040,-,-,84.000,37.080
'7:01:17.328',-,-0.032,-,-,-0.016,-,-,84.000,36.720
'7:01:17.336',-,0.008,-,-,0.000,-,-,82.400,36.720
'7:01:17.344',-,0.008,-,-,0.000,-,-,82.400,36.360
'7:01:17.352',-,0.000,-,-,0.000,-,-,81.600,35.880
'7:01:17.360',-,0.032,-,-,0.000,-,-,81.600,35.880
'7:01:17.368',-,0.024,-,-,0.016,-,-,81.600,35.520
