'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'7:57:06.776',-0.019,-0.029,53.600,25.600
'7:57:06.784',-0.019,-0.048,52.800,22.800
'7:57:06.792',0.000,-0.029,52.000,20.400
'7:57:06.800',-0.010,-0.029,51.200,19.200
'7:57:06.808',0.010,-0.010,52.000,19.600
'7:57:06.816',0.000,-0.029,52.800,21.600
'7:57:06.824',0.029,-0.010,55.200,24.000
'7:57:06.832',0.019,-0.029,59.200,26.400
'7:57:06.840',0.038,-0.010,64.000,29.200
'7:57:06.848',0.038,-0.029,70.400,31.600
'7:57:06.856',0.058,-0.010,77.600,33.600
'7:57:06.864',0.077,-0.029,85.600,35.200
'7:57:06.872',0.067,0.000,93.600,36.000
'7:57:06.880',0.106,0.000,101.600,36.400
'7:57:06.888',0.096,0.029,108.800,36.000
'7:57:06.896',0.125,0.048,114.400,36.000
'7:57:06.904',0.087,0.029,119.200,35.200
'7:57:06.912',0.058,0.048,121.600,34.400
'7:57:06.920',0.019,0.000,122.400,32.800
'7:57:06.928',0.010,0.010,122.400,31.200
'7:57:06.936',-0.019,0.000,120.000,29.200
'7:57:06.944',-0.019,0.000,116.800,27.200
'7:57:06.952',-0.048,-0.010,112.800,26.000
'7:57:06.960',-0.019,0.000,108.000,25.200
'7:57:06.968',-0.048,-0.029,103.200,25.200
'7:57:06.976',-0.019,0.000,97.600,25.600
'7:57:06.984',-0.048,-0.029,92.000,26.400
'7:57:06.992',-0.038,0.000,86.400,27.200
'7:57:07.000',-0.067,-0.029,81.600,28.400
'7:57:07.008',-0.048,-0.010,76.800,29.600
'7:57:07.016',-0.048,-0.029,72.800,30.800
'7:57:07.024',-0.067,-0.010,69.600,31.600
'7:57:07.032',-0.048,-0.029,66.400,32.000
'7:57:07.040',-0.067,-0.010,64.000,32.000
'7:57:07.048',-0.048,-0.029,62.400,31.200
'7:57:07.056',-0.067,-0.010,60.800,30.000
'7:57:07.064',-0.048,-0.029,60.000,28.400
'7:57:07.072',-0.067,-0.010,60.000,26.800
'7:57:07.080',-0.048,-0.029,60.000,24.800
'7:57:07.088',-0.067,-0.010,60.800,23.200
'7:57:07.096',-0.048,-0.029,62.400,22.000
'7:57:07.104',-0.067,-0.010,64.800,20.800
'7:57:07.112',-0.048,-0.029,67.200,20.400
'7:57:07.120',-0.067,-0.029,70.400,20.000
'7:57:07.128',-0.048,-0.010,73.600,20.400
'7:57:07.136',-0.067,-0.029,78.400,20.800
'7:57:07.144',-0.038,-0.010,83.200,20.800
'7:57:07.152',-0.067,-0.029,88.000,21.200
'7:57:07.160',-0.038,-0.010,92.800,21.600
'7:57:07.168',-0.067,-0.029,98.400,22.000
'7:57:07.176',-0.048,-0.010,103.200,22.000
'7:57:07.184',-0.048,-0.029,107.200,22.000
'7:57:07.192',0.000,0.010,111.200,22.400
'7:57:07.200',-0.019,0.000,114.400,22.400
'7:57:07.208',-0.010,0.000,116.000,22.000
'7:57:07.216',0.019,0.000,116.800,22.000
'7:57:07.224',0.058,0.048,116.800,22.000
'7:57:07.232',0.038,0.010,116.000,22.000
'7:57:07.240',0.038,0.029,114.400,21.600
'7:57:07.248',0.038,0.000,111.200,22.000
'7:57:07.256',0.000,0.010,108.800,22.000
'7:57:07.264',-0.048,-0.029,104.800,22.000
'7:57:07.272',-0.067,-0.010,101.600,22.000
'7:57:07.280',-0.048,-0.048,97.600,21.600
'7:57:07.288',-0.087,-0.029,94.400,20.800
'7:57:07.296',-0.067,-0.048,91.200,20.000
'7:57:07.304',-0.087,-0.029,88.000,18.800
'7:57:07.312',-0.048,-0.029,85.600,18.000
'7:57:07.320',-0.135,-0.087,82.400,17.200
'7:57:07.328',-0.154,-0.125,80.800,16.800
'7:57:07.336',0.019,-0.029,78.400,16.800
'7:57:07.344',0.452,0.269,76.800,16.800
'7:57:07.352',0.788,0.587,75.200,17.200
'7:57:07.360',0.788,0.625,74.400,18.000
'7:57:07.368',0.183,0.269,72.800,18.800
'7:57:07.376',0.010,0.087,72.000,19.200
'7:57:07.384',-0.077,-0.029,70.400,19.600
'7:57:07.392',-0.038,-0.010,69.600,19.200
'7:57:07.400',-0.048,-0.048,68.000,19.200
'7:57:07.408',-0.038,-0.029,67.200,19.200
'7:57:07.416',-0.048,-0.048,65.600,19.200
'7:57:07.424',-0.029,-0.029,64.000,20.000
'7:57:07.432',-0.048,-0.048,62.400,21.200
'7:57:07.440',-0.029,-0.029,61.600,22.800
