'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:13:44.776',0.000,0.000,97.600,28.000
'8:13:44.784',-0.010,0.000,97.600,28.400
'8:13:44.792',0.000,-0.010,96.800,28.400
'8:13:44.800',-0.067,-0.029,96.000,28.400
'8:13:44.808',-0.087,-0.010,94.400,28.000
'8:13:44.816',-0.096,-0.067,92.800,27.200
'8:13:44.824',-0.087,-0.029,91.200,26.400
'8:13:44.832',-0.106,-0.067,88.800,25.600
'8:13:44.840',-0.087,-0.029,86.400,24.800
'8:13:44.848',-0.135,-0.087,84.000,24.000
'8:13:44.856',-0.173,-0.125,81.600,23.600
'8:13:44.864',-0.067,-0.106,79.200,23.200
'8:13:44.872',0.288,0.144,76.800,23.200
'8:13:44.880',0.731,0.510,75.200,23.200
'8:13:44.888',0.817,0.644,72.800,23.600
'8:13:44.896',0.260,0.346,71.200,24.400
'8:13:44.904',0.096,0.202,69.600,25.600
'8:13:44.912',-0.019,0.010,68.000,26.400
'8:13:44.920',-0.019,0.000,67.200,27.600
'8:13:44.928',-0.067,-0.048,65.600,28.000
'8:13:44.936',-0.048,-0.029,64.000,28.000
'8:13:44.944',-0.067,-0.048,63.200,27.200
'8:13:44.952',-0.077,-0.067,61.600,26.800
'8:13:44.960',-0.048,-0.029,60.000,27.200
'8:13:44.968',-0.067,-0.067,59.200,28.000
'8:13:44.976',-0.048,-0.029,57.600,29.600
'8:13:44.984',-0.067,-0.067,56.800,31.600
'8:13:44.992',-0.048,-0.029,56.000,33.200
'8:13:45.000',-0.067,-0.067,55.200,34.000
'8:13:45.008',-0.038,-0.029,53.600,33.600
'8:13:45.016',-0.048,-0.067,52.800,31.600
'8:13:45.024',-0.019,-0.029,52.000,29.600
'8:13:45.032',-0.038,-0.048,51.200,27.200
'8:13:45.040',-0.010,-0.029,50.400,26.000
'8:13:45.048',-0.019,-0.048,50.400,26.000
'8:13:45.056',0.000,-0.029,51.200,26.800
'8:13:45.064',-0.010,-0.029,52.000,29.200
'8:13:45.072',0.019,-0.029,53.600,31.600
'8:13:45.080',0.010,-0.029,56.800,34.400
'8:13:45.088',0.038,-0.010,60.800,36.800
'8:13:45.096',0.019,-0.048,65.600,38.800
'8:13:45.104',0.058,-0.010,70.400,40.400
'8:13:45.112',0.058,-0.029,76.000,41.600
'8:13:45.120',0.096,0.000,82.400,42.400
'8:13:45.128',0.106,0.000,88.000,42.400
'8:13:45.136',0.096,0.029,93.600,41.600
'8:13:45.144',0.125,0.029,98.400,40.800
'8:13:45.152',0.077,0.048,102.400,39.600
'8:13:45.160',0.038,0.010,105.600,37.600
'8:13:45.168',0.029,0.029,108.000,36.000
'8:13:45.176',-0.010,0.000,108.000,34.400
'8:13:45.184',-0.019,0.000,108.000,33.200
'8:13:45.192',-0.010,0.000,106.400,32.000
'8:13:45.200',-0.038,-0.010,104.000,32.000
'8:13:45.208',-0.019,0.000,100.800,32.400
'8:13:45.216',-0.048,-0.010,97.600,32.800
'8:13:45.224',-0.038,0.000,94.400,33.600
'8:13:45.232',-0.048,-0.029,90.400,34.400
'8:13:45.240',-0.038,0.000,86.400,34.800
'8:13:45.248',-0.067,-0.029,82.400,35.200
'8:13:45.256',-0.038,0.000,78.400,35.600
'8:13:45.264',-0.067,-0.029,74.400,36.000
'8:13:45.272',-0.048,-0.010,71.200,36.000
'8:13:45.280',-0.077,-0.029,68.000,36.400
'8:13:45.288',-0.067,-0.010,65.600,36.400
'8:13:45.296',-0.077,-0.029,64.000,36.800
'8:13:45.304',-0.067,-0.010,62.400,36.800
'8:13:45.312',-0.087,-0.048,60.800,36.000
'8:13:45.320',-0.067,-0.029,59.200,35.200
'8:13:45.328',-0.087,-0.048,58.400,33.600
'8:13:45.336',-0.067,-0.029,58.400,32.400
'8:13:45.344',-0.067,-0.048,58.400,31.200
'8:13:45.352',-0.087,-0.029,58.400,30.000
'8:13:45.360',-0.067,-0.048,59.200,29.600
'8:13:45.368',-0.087,-0.029,60.800,29.200
'8:13:45.376',-0.067,-0.048,62.400,29.200
'8:13:45.384',-0.087,-0.029,65.600,29.200
'8:13:45.392',-0.067,-0.048,68.000,29.600
'8:13:45.400',-0.087,-0.010,71.200,29.600
'8:13:45.408',-0.067,-0.048,74.400,30.000
'8:13:45.416',-0.087,-0.048,79.200,30.000
'8:13:45.424',-0.077,-0.087,83.200,30.400
'8:13:45.432',-0.125,-0.029,87.200,30.400
'8:13:45.440',-0.067,-0.029,90.400,30.400
'8:13:45.448',-0.077,-0.048,93.600,30.800
