'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'8:51:25.520',-,-0.043,-,-,37.600,-
'8:51:25.528',-,-0.043,-,-,37.600,-
'8:51:25.536',-,-0.017,-,-,37.600,-
'8:51:25.544',-,-0.043,-,-,37.600,-
'8:51:25.552',-,0.000,-,-,36.800,-
'8:51:25.560',-,-0.043,-,-,36.800,-
'8:51:25.568',-,-0.043,-,-,37.600,-
'8:51:25.576',-,0.000,-,-,38.400,-
'8:51:25.584',-,-0.017,-,-,40.800,-
'8:51:25.592',-,-0.043,-,-,44.800,-
'8:51:25.600',-,-0.060,-,-,48.800,-
'8:51:25.608',-,-0.017,-,-,53.600,-
'8:51:25.616',-,-0.043,-,-,58.400,-
'8:51:25.624',-,-0.043,-,-,64.000,-
'8:51:25.632',-,-0.060,-,-,68.000,-
'8:51:25.640',-,-0.043,-,-,72.000,-
'8:51:25.648',-,-0.043,-,-,75.200,-
'8:51:25.656',-,-0.060,-,-,77.600,-
'8:51:25.664',-,-0.043,-,-,79.200,-
'8:51:25.672',-,-0.060,-,-,80.000,-
'8:51:25.680',-,-0.017,-,-,80.800,-
'8:51:25.688',-,0.000,-,-,80.800,-
'8:51:25.696',-,-0.043,-,-,80.800,-
'8:51:25.704',-,-0.017,-,-,79.200,-
'8:51:25.712',-,-0.017,-,-,78.400,-
'8:51:25.720',-,0.000,-,-,76.800,-
'8:51:25.728',-,0.000,-,-,74.400,-
'8:51:25.736',-,-0.017,-,-,72.000,-
'8:51:25.744',-,0.000,-,-,68.800,-
'8:51:25.752',-,0.043,-,-,65.600,-
'8:51:25.760',-,0.017,-,-,62.400,-
'8:51:25.768',-,0.043,-,-,59.200,-
'8:51:25.776',-,0.085,-,-,56.000,-
'8:51:25.784',-,0.085,-,-,53.600,-
'8:51:25.792',-,0.111,-,-,51.200,-
'8:51:25.800',-,0.128,-,-,49.600,-
'8:51:25.808',-,0.179,-,-,47.200,-
'8:51:25.816',-,0.154,-,-,46.400,-
'8:51:25.824',-,0.179,-,-,44.800,-
'8:51:25.832',-,0.085,-,-,44.000,-
'8:51:25.840',-,0.017,-,-,43.200,-
'8:51:25.848',-,0.017,-,-,42.400,-
'8:51:25.856',-,0.000,-,-,42.400,-
'8:51:25.864',-,0.017,-,-,41.600,-
'8:51:25.872',-,0.000,-,-,41.600,-
'8:51:25.880',-,0.000,-,-,40.800,-
'8:51:25.888',-,-0.017,-,-,40.800,-
'8:51:25.896',-,-0.043,-,-,40.000,-
'8:51:25.904',-,0.000,-,-,40.000,-
'8:51:25.912',-,0.017,-,-,40.000,-
'8:51:25.920',-,0.222,-,-,39.200,-
'8:51:25.928',-,0.470,-,-,39.200,-
'8:51:25.936',-,0.564,-,-,39.200,-
'8:51:25.944',-,0.179,-,-,39.200,-
'8:51:25.952',-,0.043,-,-,39.200,-
'8:51:25.960',-,0.000,-,-,39.200,-
'8:51:25.968',-,0.000,-,-,39.200,-
'8:51:25.976',-,-0.017,-,-,38.400,-
'8:51:25.984',-,-0.060,-,-,38.400,-
'8:51:25.992',-,0.000,-,-,38.400,-
'8:51:26.000',-,-0.043,-,-,38.400,-
'8:51:26.008',-,-0.043,-,-,38.400,-
'8:51:26.016',-,-0.043,-,-,37.600,-
'8:51:26.024',-,0.000,-,-,37.600,-
'8:51:26.032',-,-0.043,-,-,37.600,-
'8:51:26.040',-,-0.043,-,-,37.600,-
'8:51:26.048',-,-0.043,-,-,38.400,-
'8:51:26.056',-,-0.060,-,-,39.200,-
'8:51:26.064',-,-0.043,-,-,40.800,-
'8:51:26.072',-,-0.043,-,-,44.000,-
'8:51:26.080',-,-0.017,-,-,48.800,-
'8:51:26.088',-,0.000,-,-,53.600,-
'8:51:26.096',-,0.000,-,-,58.400,-
'8:51:26.104',-,0.000,-,-,64.000,-
'8:51:26.112',-,-0.017,-,-,68.800,-
'8:51:26.120',-,-0.043,-,-,72.800,-
'8:51:26.128',-,0.000,-,-,76.000,-
'8:51:26.136',-,-0.043,-,-,78.400,-
'8:51:26.144',-,-0.060,-,-,80.000,-
'8:51:26.152',-,-0.043,-,-,81.600,-
'8:51:26.160',-,-0.060,-,-,81.600,-
'8:51:26.168',-,-0.017,-,-,82.400,-
'8:51:26.176',-,-0.043,-,-,82.400,-
'8:51:26.184',-,-0.060,-,-,81.600,-
'8:51:26.192',-,-0.060,-,-,80.800,-
'8:51:26.200',-,-0.043,-,-,80.000,-
'8:51:26.208',-,0.000,-,-,78.400,-
'8:51:26.216',-,0.000,-,-,76.000,-
'8:51:26.224',-,0.000,-,-,73.600,-
'8:51:26.232',-,0.017,-,-,70.400,-
'8:51:26.240',-,0.000,-,-,68.000,-
'8:51:26.248',-,0.043,-,-,64.800,-
'8:51:26.256',-,0.060,-,-,61.600,-
'8:51:26.264',-,0.085,-,-,58.400,-
'8:51:26.272',-,0.085,-,-,55.200,-
'8:51:26.280',-,0.085,-,-,53.600,-
'8:51:26.288',-,0.128,-,-,51.200,-
'8:51:26.296',-,0.154,-,-,49.600,-
'8:51:26.304',-,0.128,-,-,48.000,-
'8:51:26.312',-,0.179,-,-,47.200,-
'8:51:26.320',-,0.128,-,-,46.400,-
'8:51:26.328',-,0.085,-,-,45.600,-
'8:51:26.336',-,0.060,-,-,44.800,-
'8:51:26.344',-,0.000,-,-,44.000,-
'8:51:26.352',-,-0.043,-,-,44.000,-
'8:51:26.360',-,0.000,-,-,44.000,-
'8:51:26.368',-,0.000,-,-,43.200,-
'8:51:26.376',-,-0.043,-,-,43.200,-
'8:51:26.384',-,-0.043,-,-,43.200,-
'8:51:26.392',-,-0.043,-,-,42.400,-
'8:51:26.400',-,-0.043,-,-,42.400,-
'8:51:26.408',-,0.085,-,-,42.400,-
'8:51:26.416',-,0.359,-,-,42.400,-
'8:51:26.424',-,0.538,-,-,42.400,-
'8:51:26.432',-,0.248,-,-,41.600,-
'8:51:26.440',-,0.000,-,-,41.600,-
'8:51:26.448',-,0.017,-,-,41.600,-
'8:51:26.456',-,0.000,-,-,41.600,-
'8:51:26.464',-,0.000,-,-,41.600,-
'8:51:26.472',-,-0.043,-,-,41.600,-
'8:51:26.480',-,-0.043,-,-,41.600,-
'8:51:26.488',-,-0.060,-,-,41.600,-
'8:51:26.496',-,-0.043,-,-,41.600,-
'8:51:26.504',-,-0.060,-,-,41.600,-
'8:51:26.512',-,-0.043,-,-,41.600,-
'8:51:26.520',-,-0.060,-,-,41.600,-
'8:51:26.528',-,-0.043,-,-,41.600,-
'8:51:26.536',-,-0.060,-,-,43.200,-
'8:51:26.544',-,-0.017,-,-,45.600,-
'8:51:26.552',-,-0.043,-,-,48.800,-
'8:51:26.560',-,-0.085,-,-,53.600,-
'8:51:26.568',-,-0.060,-,-,59.200,-
'8:51:26.576',-,-0.085,-,-,64.800,-
'8:51:26.584',-,-0.060,-,-,70.400,-
'8:51:26.592',-,-0.060,-,-,75.200,-
'8:51:26.600',-,-0.111,-,-,79.200,-
'8:51:26.608',-,-0.060,-,-,83.200,-
'8:51:26.616',-,-0.085,-,-,85.600,-
'8:51:26.624',-,-0.111,-,-,87.200,-
'8:51:26.632',-,-0.111,-,-,88.800,-
'8:51:26.640',-,-0.017,-,-,89.600,-
'8:51:26.648',-,0.000,-,-,90.400,-
'8:51:26.656',-,-0.111,-,-,90.400,-
'8:51:26.664',-,-0.111,-,-,90.400,-
'8:51:26.672',-,-0.111,-,-,89.600,-
'8:51:26.680',-,-0.111,-,-,88.800,-
'8:51:26.688',-,-0.128,-,-,87.200,-
'8:51:26.696',-,-0.043,-,-,85.600,-
'8:51:26.704',-,-0.017,-,-,84.000,-
'8:51:26.712',-,0.000,-,-,81.600,-
'8:51:26.720',-,-0.017,-,-,79.200,-
'8:51:26.728',-,0.000,-,-,76.800,-
'8:51:26.736',-,0.000,-,-,73.600,-
'8:51:26.744',-,0.043,-,-,70.400,-
'8:51:26.752',-,0.043,-,-,66.400,-
'8:51:26.760',-,0.060,-,-,63.200,-
'8:51:26.768',-,0.085,-,-,60.800,-
'8:51:26.776',-,0.111,-,-,57.600,-
'8:51:26.784',-,0.128,-,-,55.200,-
'8:51:26.792',-,0.128,-,-,53.600,-
'8:51:26.800',-,0.154,-,-,51.200,-
'8:51:26.808',-,0.000,-,-,50.400,-
'8:51:26.816',-,-0.017,-,-,48.800,-
'8:51:26.824',-,-0.043,-,-,48.000,-
'8:51:26.832',-,-0.043,-,-,47.200,-
'8:51:26.840',-,-0.060,-,-,46.400,-
'8:51:26.848',-,-0.043,-,-,46.400,-
'8:51:26.856',-,-0.060,-,-,45.600,-
'8:51:26.864',-,-0.085,-,-,44.800,-
'8:51:26.872',-,-0.043,-,-,44.800,-
'8:51:26.880',-,-0.017,-,-,44.800,-
'8:51:26.888',-,0.000,-,-,44.000,-
'8:51:26.896',-,0.154,-,-,44.000,-
'8:51:26.904',-,0.427,-,-,43.200,-
'8:51:26.912',-,0.496,-,-,43.200,-
'8:51:26.920',-,0.017,-,-,43.200,-
'8:51:26.928',-,-0.043,-,-,42.400,-
'8:51:26.936',-,-0.043,-,-,42.400,-
'8:51:26.944',-,-0.043,-,-,42.400,-
'8:51:26.952',-,-0.111,-,-,42.400,-
'8:51:26.960',-,-0.128,-,-,42.400,-
'8:51:26.968',-,-0.154,-,-,42.400,-
'8:51:26.976',-,-0.111,-,-,41.600,-
'8:51:26.984',-,-0.128,-,-,41.600,-
'8:51:26.992',-,-0.111,-,-,41.600,-
'8:51:27.000',-,-0.128,-,-,41.600,-
'8:51:27.008',-,0.000,-,-,41.600,-
'8:51:27.016',-,-0.017,-,-,42.400,-
'8:51:27.024',-,-0.111,-,-,44.000,-
'8:51:27.032',-,-0.179,-,-,47.200,-
'8:51:27.040',-,-0.111,-,-,51.200,-
'8:51:27.048',-,-0.085,-,-,56.000,-
'8:51:27.056',-,-0.128,-,-,61.600,-
'8:51:27.064',-,-0.111,-,-,67.200,-
'8:51:27.072',-,-0.111,-,-,72.000,-
'8:51:27.080',-,-0.111,-,-,76.800,-
'8:51:27.088',-,-0.154,-,-,80.800,-
'8:51:27.096',-,-0.154,-,-,84.000,-
'8:51:27.104',-,-0.111,-,-,86.400,-
'8:51:27.112',-,-0.111,-,-,88.000,-
'8:51:27.120',-,-0.154,-,-,89.600,-
'8:51:27.128',-,-0.111,-,-,90.400,-
'8:51:27.136',-,-0.128,-,-,90.400,-
'8:51:27.144',-,-0.085,-,-,90.400,-
'8:51:27.152',-,-0.043,-,-,89.600,-
'8:51:27.160',-,-0.085,-,-,88.800,-
'8:51:27.168',-,-0.043,-,-,88.000,-
'8:51:27.176',-,-0.043,-,-,86.400,-
'8:51:27.184',-,-0.060,-,-,84.800,-
'8:51:27.192',-,-0.111,-,-,82.400,-
'8:51:27.200',-,-0.043,-,-,80.000,-
'8:51:27.208',-,-0.043,-,-,77.600,-
'8:51:27.216',-,-0.017,-,-,74.400,-
'8:51:27.224',-,0.000,-,-,71.200,-
'8:51:27.232',-,-0.017,-,-,68.000,-
'8:51:27.240',-,0.000,-,-,64.000,-
'8:51:27.248',-,0.085,-,-,60.800,-
'8:51:27.256',-,0.197,-,-,58.400,-
'8:51:27.264',-,0.111,-,-,56.000,-
'8:51:27.272',-,0.085,-,-,53.600,-
'8:51:27.280',-,0.154,-,-,52.000,-
'8:51:27.288',-,0.043,-,-,50.400,-
'8:51:27.296',-,0.000,-,-,48.800,-
'8:51:27.304',-,-0.043,-,-,48.000,-
'8:51:27.312',-,-0.043,-,-,47.200,-
'8:51:27.320',-,-0.043,-,-,47.200,-
'8:51:27.328',-,-0.043,-,-,46.400,-
'8:51:27.336',-,0.043,-,-,46.400,-
'8:51:27.344',-,0.000,-,-,45.600,-
'8:51:27.352',-,-0.043,-,-,45.600,-
'8:51:27.360',-,-0.111,-,-,44.800,-
'8:51:27.368',-,-0.085,-,-,44.800,-
'8:51:27.376',-,-0.060,-,-,44.000,-
'8:51:27.384',-,-0.085,-,-,44.000,-
'8:51:27.392',-,0.179,-,-,44.000,-
'8:51:27.400',-,0.427,-,-,43.200,-
'8:51:27.408',-,0.291,-,-,43.200,-
'8:51:27.416',-,0.043,-,-,42.400,-
'8:51:27.424',-,0.017,-,-,42.400,-
'8:51:27.432',-,0.000,-,-,42.400,-
'8:51:27.440',-,-0.017,-,-,41.600,-
'8:51:27.448',-,-0.111,-,-,41.600,-
'8:51:27.456',-,-0.017,-,-,41.600,-
'8:51:27.464',-,0.000,-,-,40.800,-
'8:51:27.472',-,-0.154,-,-,40.800,-
'8:51:27.480',-,-0.154,-,-,40.800,-
'8:51:27.488',-,-0.154,-,-,40.000,-
'8:51:27.496',-,-0.128,-,-,40.000,-
'8:51:27.504',-,-0.111,-,-,40.000,-
'8:51:27.512',-,-0.111,-,-,40.800,-
'8:51:27.520',-,-0.060,-,-,42.400,-
'8:51:27.528',-,-0.043,-,-,45.600,-
'8:51:27.536',-,0.000,-,-,49.600,-
'8:51:27.544',-,-0.060,-,-,54.400,-
'8:51:27.552',-,-0.085,-,-,59.200,-
'8:51:27.560',-,0.000,-,-,64.800,-
'8:51:27.568',-,-0.085,-,-,69.600,-
'8:51:27.576',-,-0.154,-,-,74.400,-
'8:51:27.584',-,-0.128,-,-,77.600,-
'8:51:27.592',-,-0.154,-,-,80.800,-
'8:51:27.600',-,-0.128,-,-,83.200,-
'8:51:27.608',-,-0.154,-,-,84.800,-
'8:51:27.616',-,-0.128,-,-,85.600,-
'8:51:27.624',-,-0.085,-,-,86.400,-
'8:51:27.632',-,-0.043,-,-,86.400,-
'8:51:27.640',-,-0.111,-,-,86.400,-
'8:51:27.648',-,-0.017,-,-,85.600,-
'8:51:27.656',-,0.000,-,-,84.800,-
'8:51:27.664',-,-0.017,-,-,84.000,-
'8:51:27.672',-,-0.043,-,-,82.400,-
'8:51:27.680',-,-0.017,-,-,80.800,-
'8:51:27.688',-,-0.043,-,-,78.400,-
'8:51:27.696',-,0.000,-,-,76.000,-
'8:51:27.704',-,0.000,-,-,72.800,-
'8:51:27.712',-,0.000,-,-,69.600,-
'8:51:27.720',-,0.017,-,-,66.400,-
'8:51:27.728',-,0.000,-,-,63.200,-
'8:51:27.736',-,0.000,-,-,60.000,-
'8:51:27.744',-,0.060,-,-,56.800,-
'8:51:27.752',-,0.111,-,-,54.400,-
'8:51:27.760',-,0.111,-,-,52.000,-
'8:51:27.768',-,0.128,-,-,50.400,-
'8:51:27.776',-,0.154,-,-,48.800,-
'8:51:27.784',-,0.085,-,-,47.200,-
'8:51:27.792',-,0.043,-,-,46.400,-
'8:51:27.800',-,0.000,-,-,45.600,-
'8:51:27.808',-,0.000,-,-,44.800,-
'8:51:27.816',-,0.000,-,-,44.800,-
'8:51:27.824',-,0.000,-,-,44.000,-
'8:51:27.832',-,0.000,-,-,44.000,-
'8:51:27.840',-,0.000,-,-,43.200,-
'8:51:27.848',-,0.000,-,-,43.200,-
'8:51:27.856',-,0.000,-,-,42.400,-
'8:51:27.864',-,0.000,-,-,42.400,-
'8:51:27.872',-,0.111,-,-,41.600,-
'8:51:27.880',-,0.333,-,-,41.600,-
'8:51:27.888',-,0.496,-,-,40.800,-
'8:51:27.896',-,0.248,-,-,40.800,-
'8:51:27.904',-,0.043,-,-,40.800,-
'8:51:27.912',-,0.000,-,-,40.800,-
'8:51:27.920',-,-0.017,-,-,40.800,-
'8:51:27.928',-,-0.017,-,-,40.000,-
'8:51:27.936',-,0.000,-,-,40.000,-
'8:51:27.944',-,-0.043,-,-,40.000,-
'8:51:27.952',-,-0.043,-,-,40.000,-
'8:51:27.960',-,-0.017,-,-,40.000,-
'8:51:27.968',-,-0.043,-,-,39.200,-
'8:51:27.976',-,-0.017,-,-,39.200,-
'8:51:27.984',-,0.000,-,-,39.200,-
'8:51:27.992',-,0.000,-,-,39.200,-
'8:51:28.000',-,-0.043,-,-,40.000,-
'8:51:28.008',-,-0.043,-,-,41.600,-
'8:51:28.016',-,0.000,-,-,44.800,-
'8:51:28.024',-,-0.060,-,-,48.800,-
'8:51:28.032',-,-0.085,-,-,53.600,-
'8:51:28.040',-,-0.043,-,-,58.400,-
'8:51:28.048',-,-0.043,-,-,63.200,-
'8:51:28.056',-,-0.043,-,-,68.000,-
'8:51:28.064',-,-0.043,-,-,72.800,-
'8:51:28.072',-,-0.043,-,-,76.000,-
'8:51:28.080',-,-0.043,-,-,79.200,-
'8:51:28.088',-,-0.017,-,-,81.600,-
'8:51:28.096',-,-0.017,-,-,83.200,-
'8:51:28.104',-,-0.043,-,-,84.000,-
'8:51:28.112',-,-0.060,-,-,84.800,-
'8:51:28.120',-,-0.017,-,-,85.600,-
'8:51:28.128',-,0.000,-,-,84.800,-
'8:51:28.136',-,0.000,-,-,84.800,-
'8:51:28.144',-,0.000,-,-,84.000,-
'8:51:28.152',-,0.000,-,-,83.200,-
