'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:02:13.776',-0.038,-0.029,64.800,26.400
'8:02:13.784',-0.029,-0.010,60.800,26.000
'8:02:13.792',-0.048,-0.029,57.600,25.600
'8:02:13.800',-0.029,-0.010,55.200,26.000
'8:02:13.808',-0.048,-0.029,53.600,26.000
'8:02:13.816',-0.067,-0.010,52.000,26.800
'8:02:13.824',-0.038,-0.029,51.200,28.000
'8:02:13.832',-0.067,-0.029,50.400,28.800
'8:02:13.840',-0.048,-0.010,50.400,30.000
'8:02:13.848',-0.067,-0.029,51.200,30.400
'8:02:13.856',-0.048,-0.010,52.000,30.000
'8:02:13.864',-0.087,-0.048,53.600,29.200
'8:02:13.872',-0.048,-0.010,55.200,28.000
'8:02:13.880',-0.087,-0.048,57.600,26.400
'8:02:13.888',-0.067,-0.029,60.000,24.800
'8:02:13.896',-0.087,-0.048,63.200,23.600
'8:02:13.904',-0.067,-0.029,67.200,22.400
'8:02:13.912',-0.087,-0.048,70.400,21.600
'8:02:13.920',-0.067,-0.029,74.400,21.200
'8:02:13.928',-0.087,-0.048,79.200,20.800
'8:02:13.936',-0.067,-0.029,83.200,20.800
'8:02:13.944',-0.087,-0.048,88.000,20.800
'8:02:13.952',-0.067,-0.029,92.000,21.200
'8:02:13.960',-0.087,-0.048,96.000,21.600
'8:02:13.968',-0.067,-0.029,100.000,22.000
'8:02:13.976',-0.077,-0.048,104.000,22.000
'8:02:13.984',-0.048,0.000,106.400,22.000
'8:02:13.992',-0.029,-0.010,108.800,22.400
'8:02:14.000',-0.038,0.000,109.600,22.400
'8:02:14.008',-0.019,-0.010,110.400,22.400
'8:02:14.016',-0.019,0.010,109.600,22.400
'8:02:14.024',0.019,0.000,108.800,22.400
'8:02:14.032',0.019,0.010,107.200,22.000
'8:02:14.040',0.038,0.029,104.800,22.000
'8:02:14.048',0.000,0.000,101.600,22.000
'8:02:14.056',0.000,0.000,98.400,22.000
'8:02:14.064',-0.067,-0.029,95.200,22.000
'8:02:14.072',-0.048,-0.010,92.000,22.000
'8:02:14.080',-0.096,-0.067,88.800,21.600
'8:02:14.088',-0.077,-0.029,85.600,21.200
'8:02:14.096',-0.106,-0.067,82.400,20.000
'8:02:14.104',-0.077,-0.029,80.000,19.200
'8:02:14.112',-0.106,-0.067,77.600,18.400
'8:02:14.120',-0.163,-0.125,75.200,17.600
'8:02:14.128',-0.173,-0.144,73.600,17.600
'8:02:14.136',0.077,0.000,72.000,17.600
'8:02:14.144',0.558,0.346,70.400,17.600
'8:02:14.152',0.788,0.625,69.600,18.000
'8:02:14.160',0.481,0.644,68.000,18.400
'8:02:14.168',0.202,0.308,67.200,18.800
'8:02:14.176',-0.010,0.048,66.400,19.200
