'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'9:16:00.520',-,0.017,-,-,68.000,-
'9:16:00.528',-,0.017,-,-,64.800,-
'9:16:00.536',-,0.000,-,-,61.600,-
'9:16:00.544',-,0.043,-,-,58.400,-
'9:16:00.552',-,0.043,-,-,55.200,-
'9:16:00.560',-,0.085,-,-,52.800,-
'9:16:00.568',-,0.128,-,-,50.400,-
'9:16:00.576',-,0.128,-,-,48.800,-
'9:16:00.584',-,0.111,-,-,47.200,-
'9:16:00.592',-,0.085,-,-,46.400,-
'9:16:00.600',-,0.043,-,-,45.600,-
'9:16:00.608',-,0.043,-,-,44.800,-
'9:16:00.616',-,0.000,-,-,44.000,-
'9:16:00.624',-,-0.017,-,-,44.000,-
'9:16:00.632',-,0.000,-,-,43.200,-
'9:16:00.640',-,-0.043,-,-,42.400,-
'9:16:00.648',-,-0.017,-,-,42.400,-
'9:16:00.656',-,-0.017,-,-,41.600,-
'9:16:00.664',-,0.000,-,-,41.600,-
'9:16:00.672',-,-0.043,-,-,40.800,-
'9:16:00.680',-,-0.043,-,-,40.800,-
'9:16:00.688',-,0.265,-,-,40.000,-
'9:16:00.696',-,0.470,-,-,40.000,-
'9:16:00.704',-,0.521,-,-,40.000,-
'9:16:00.712',-,0.085,-,-,39.200,-
'9:16:00.720',-,0.000,-,-,39.200,-
'9:16:00.728',-,0.000,-,-,39.200,-
'9:16:00.736',-,0.000,-,-,39.200,-
'9:16:00.744',-,-0.043,-,-,39.200,-
'9:16:00.752',-,-0.043,-,-,39.200,-
'9:16:00.760',-,-0.043,-,-,38.400,-
'9:16:00.768',-,-0.085,-,-,38.400,-
'9:16:00.776',-,-0.060,-,-,38.400,-
'9:16:00.784',-,-0.043,-,-,37.600,-
'9:16:00.792',-,-0.060,-,-,37.600,-
'9:16:00.800',-,0.000,-,-,37.600,-
'9:16:00.808',-,-0.017,-,-,37.600,-
'9:16:00.816',-,-0.043,-,-,37.600,-
'9:16:00.824',-,-0.111,-,-,38.400,-
'9:16:00.832',-,-0.043,-,-,40.800,-
'9:16:00.840',-,-0.085,-,-,44.000,-
'9:16:00.848',-,-0.111,-,-,48.800,-
'9:16:00.856',-,-0.060,-,-,53.600,-
'9:16:00.864',-,-0.043,-,-,59.200,-
'9:16:00.872',-,-0.111,-,-,64.000,-
'9:16:00.880',-,-0.085,-,-,68.000,-
'9:16:00.888',-,-0.111,-,-,71.200,-
'9:16:00.896',-,-0.085,-,-,73.600,-
'9:16:00.904',-,-0.060,-,-,76.000,-
'9:16:00.912',-,-0.111,-,-,76.800,-
'9:16:00.920',-,-0.111,-,-,77.600,-
'9:16:00.928',-,-0.085,-,-,78.400,-
'9:16:00.936',-,-0.043,-,-,78.400,-
'9:16:00.944',-,-0.060,-,-,78.400,-
'9:16:00.952',-,-0.060,-,-,77.600,-
'9:16:00.960',-,-0.043,-,-,76.800,-
'9:16:00.968',-,-0.017,-,-,75.200,-
'9:16:00.976',-,0.000,-,-,72.800,-
'9:16:00.984',-,0.000,-,-,70.400,-
'9:16:00.992',-,0.017,-,-,68.000,-
'9:16:01.000',-,0.000,-,-,64.800,-
'9:16:01.008',-,0.043,-,-,61.600,-
'9:16:01.016',-,0.017,-,-,58.400,-
'9:16:01.024',-,0.043,-,-,56.000,-
'9:16:01.032',-,0.060,-,-,52.800,-
'9:16:01.040',-,0.085,-,-,51.200,-
'9:16:01.048',-,0.085,-,-,48.800,-
'9:16:01.056',-,0.128,-,-,48.000,-
'9:16:01.064',-,0.179,-,-,47.200,-
'9:16:01.072',-,0.128,-,-,46.400,-
'9:16:01.080',-,0.111,-,-,45.600,-
'9:16:01.088',-,0.060,-,-,44.800,-
'9:16:01.096',-,0.017,-,-,44.800,-
'9:16:01.104',-,0.000,-,-,44.800,-
'9:16:01.112',-,-0.017,-,-,44.000,-
'9:16:01.120',-,-0.043,-,-,44.000,-
'9:16:01.128',-,-0.043,-,-,44.000,-
'9:16:01.136',-,0.000,-,-,43.200,-
'9:16:01.144',-,-0.017,-,-,43.200,-
'9:16:01.152',-,0.000,-,-,43.200,-
'9:16:01.160',-,-0.043,-,-,42.400,-
'9:16:01.168',-,0.111,-,-,42.400,-
'9:16:01.176',-,0.359,-,-,42.400,-
'9:16:01.184',-,0.521,-,-,41.600,-
'9:16:01.192',-,0.197,-,-,41.600,-
'9:16:01.200',-,0.017,-,-,41.600,-
'9:16:01.208',-,0.000,-,-,41.600,-
'9:16:01.216',-,0.000,-,-,41.600,-
'9:16:01.224',-,0.000,-,-,40.800,-
'9:16:01.232',-,-0.060,-,-,40.800,-
'9:16:01.240',-,-0.043,-,-,40.800,-
'9:16:01.248',-,-0.043,-,-,40.800,-
'9:16:01.256',-,-0.043,-,-,40.800,-
'9:16:01.264',-,-0.043,-,-,40.000,-
'9:16:01.272',-,-0.060,-,-,40.000,-
'9:16:01.280',-,-0.043,-,-,40.000,-
'9:16:01.288',-,0.000,-,-,40.000,-
'9:16:01.296',-,-0.043,-,-,41.600,-
'9:16:01.304',-,-0.060,-,-,44.000,-
'9:16:01.312',-,-0.085,-,-,47.200,-
'9:16:01.320',-,-0.085,-,-,52.000,-
'9:16:01.328',-,-0.060,-,-,57.600,-
'9:16:01.336',-,-0.085,-,-,63.200,-
'9:16:01.344',-,-0.085,-,-,68.000,-
'9:16:01.352',-,-0.111,-,-,72.800,-
'9:16:01.360',-,-0.111,-,-,76.800,-
'9:16:01.368',-,-0.085,-,-,80.000,-
'9:16:01.376',-,-0.060,-,-,82.400,-
'9:16:01.384',-,-0.085,-,-,84.000,-
'9:16:01.392',-,-0.111,-,-,85.600,-
'9:16:01.400',-,-0.111,-,-,86.400,-
'9:16:01.408',-,-0.111,-,-,87.200,-
'9:16:01.416',-,-0.111,-,-,87.200,-
'9:16:01.424',-,-0.085,-,-,87.200,-
'9:16:01.432',-,-0.060,-,-,87.200,-
'9:16:01.440',-,-0.043,-,-,86.400,-
'9:16:01.448',-,0.000,-,-,84.800,-
'9:16:01.456',-,0.000,-,-,84.000,-
'9:16:01.464',-,-0.017,-,-,81.600,-
'9:16:01.472',-,0.000,-,-,79.200,-
'9:16:01.480',-,0.017,-,-,76.800,-
'9:16:01.488',-,0.060,-,-,73.600,-
'9:16:01.496',-,0.043,-,-,70.400,-
'9:16:01.504',-,0.060,-,-,67.200,-
'9:16:01.512',-,0.060,-,-,64.000,-
'9:16:01.520',-,0.111,-,-,60.800,-
'9:16:01.528',-,0.128,-,-,58.400,-
'9:16:01.536',-,0.128,-,-,56.000,-
'9:16:01.544',-,0.128,-,-,53.600,-
'9:16:01.552',-,0.128,-,-,52.000,-
'9:16:01.560',-,0.060,-,-,50.400,-
'9:16:01.568',-,0.017,-,-,49.600,-
'9:16:01.576',-,0.000,-,-,48.800,-
'9:16:01.584',-,0.000,-,-,48.800,-
'9:16:01.592',-,-0.017,-,-,48.000,-
'9:16:01.600',-,-0.043,-,-,48.000,-
'9:16:01.608',-,-0.043,-,-,47.200,-
'9:16:01.616',-,-0.060,-,-,47.200,-
'9:16:01.624',-,-0.043,-,-,46.400,-
'9:16:01.632',-,-0.060,-,-,45.600,-
'9:16:01.640',-,0.060,-,-,45.600,-
'9:16:01.648',-,0.359,-,-,44.800,-
'9:16:01.656',-,0.521,-,-,44.800,-
'9:16:01.664',-,0.197,-,-,44.000,-
'9:16:01.672',-,0.000,-,-,44.000,-
'9:16:01.680',-,0.060,-,-,43.200,-
'9:16:01.688',-,0.043,-,-,43.200,-
'9:16:01.696',-,0.000,-,-,43.200,-
'9:16:01.704',-,-0.060,-,-,43.200,-
'9:16:01.712',-,-0.111,-,-,42.400,-
'9:16:01.720',-,-0.060,-,-,42.400,-
'9:16:01.728',-,-0.111,-,-,42.400,-
'9:16:01.736',-,-0.111,-,-,41.600,-
'9:16:01.744',-,-0.085,-,-,41.600,-
'9:16:01.752',-,-0.111,-,-,41.600,-
'9:16:01.760',-,-0.085,-,-,41.600,-
'9:16:01.768',-,-0.111,-,-,43.200,-
'9:16:01.776',-,-0.060,-,-,44.800,-
'9:16:01.784',-,-0.111,-,-,48.800,-
'9:16:01.792',-,-0.111,-,-,53.600,-
'9:16:01.800',-,-0.111,-,-,58.400,-
'9:16:01.808',-,-0.060,-,-,64.000,-
'9:16:01.816',-,-0.111,-,-,69.600,-
'9:16:01.824',-,-0.128,-,-,73.600,-
'9:16:01.832',-,-0.154,-,-,77.600,-
'9:16:01.840',-,-0.154,-,-,80.800,-
'9:16:01.848',-,-0.128,-,-,84.000,-
'9:16:01.856',-,-0.154,-,-,85.600,-
'9:16:01.864',-,-0.128,-,-,87.200,-
'9:16:01.872',-,-0.111,-,-,88.000,-
'9:16:01.880',-,-0.154,-,-,88.800,-
'9:16:01.888',-,-0.154,-,-,88.800,-
'9:16:01.896',-,-0.111,-,-,88.000,-
'9:16:01.904',-,-0.060,-,-,88.000,-
'9:16:01.912',-,-0.043,-,-,87.200,-
'9:16:01.920',-,-0.060,-,-,85.600,-
'9:16:01.928',-,-0.043,-,-,84.000,-
'9:16:01.936',-,-0.043,-,-,82.400,-
'9:16:01.944',-,-0.017,-,-,80.000,-
'9:16:01.952',-,0.000,-,-,77.600,-
'9:16:01.960',-,-0.017,-,-,74.400,-
'9:16:01.968',-,0.000,-,-,71.200,-
'9:16:01.976',-,0.000,-,-,68.000,-
'9:16:01.984',-,0.000,-,-,64.800,-
'9:16:01.992',-,0.000,-,-,61.600,-
'9:16:02.000',-,0.017,-,-,58.400,-
'9:16:02.008',-,0.043,-,-,56.000,-
'9:16:02.016',-,0.085,-,-,54.400,-
'9:16:02.024',-,0.128,-,-,52.000,-
'9:16:02.032',-,0.085,-,-,51.200,-
'9:16:02.040',-,0.085,-,-,50.400,-
'9:16:02.048',-,0.043,-,-,49.600,-
'9:16:02.056',-,0.000,-,-,48.800,-
'9:16:02.064',-,0.000,-,-,48.000,-
