'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'144:52:55.320',-,-0.112,0.062,-,79.200
'144:52:55.328',-,-0.072,0.052,-,75.600
'144:52:55.336',-,-0.112,0.062,-,70.800
'144:52:55.344',-,-0.072,0.052,-,67.200
'144:52:55.352',-,-0.072,0.062,-,64.800
'144:52:55.360',-,-0.072,0.041,-,62.400
'144:52:55.368',-,-0.072,0.062,-,60.000
'144:52:55.376',-,-0.072,0.052,-,58.800
'144:52:55.384',-,-0.072,0.041,-,57.600
'144:52:55.392',-,-0.072,0.062,-,57.600
'144:52:55.400',-,-0.072,0.052,-,57.600
'144:52:55.408',-,-0.072,0.062,-,57.600
'144:52:55.416',-,-0.072,0.052,-,57.600
'144:52:55.424',-,-0.072,0.062,-,57.600
'144:52:55.432',-,-0.072,0.041,-,57.600
'144:52:55.440',-,-0.032,0.072,-,56.400
'144:52:55.448',-,0.000,0.062,-,56.400
'144:52:55.456',-,0.000,0.113,-,56.400
'144:52:55.464',-,0.000,0.103,-,56.400
'144:52:55.472',-,0.032,0.072,-,56.400
'144:52:55.480',-,0.000,0.041,-,55.200
'144:52:55.488',-,0.000,0.041,-,55.200
'144:52:55.496',-,0.000,0.021,-,54.000
'144:52:55.504',-,0.000,0.031,-,54.000
'144:52:55.512',-,0.000,0.021,-,52.800
'144:52:55.520',-,0.000,0.041,-,52.800
'144:52:55.528',-,-0.072,0.031,-,51.600
'144:52:55.536',-,-0.072,0.041,-,51.600
'144:52:55.544',-,-0.112,0.021,-,50.400
'144:52:55.552',-,-0.072,0.041,-,50.400
'144:52:55.560',-,-0.072,0.021,-,49.200
'144:52:55.568',-,0.000,0.082,-,49.200
'144:52:55.576',-,0.152,-0.010,-,48.000
'144:52:55.584',-,0.648,-0.175,-,48.000
'144:52:55.592',-,0.920,-0.320,-,48.000
'144:52:55.600',-,0.344,-0.371,-,46.800
'144:52:55.608',-,-0.264,-0.443,-,46.800
'144:52:55.616',-,-0.344,-0.289,-,46.800
'144:52:55.624',-,-0.192,-0.113,-,45.600
'144:52:55.632',-,-0.072,-0.021,-,45.600
'144:52:55.640',-,-0.072,0.010,-,45.600
'144:52:55.648',-,-0.072,0.021,-,44.400
'144:52:55.656',-,-0.032,0.041,-,44.400
'144:52:55.664',-,-0.032,0.021,-,44.400
'144:52:55.672',-,0.000,0.041,-,44.400
'144:52:55.680',-,-0.032,0.021,-,43.200
'144:52:55.688',-,0.000,0.041,-,43.200
'144:52:55.696',-,0.000,0.021,-,43.200
'144:52:55.704',-,0.000,0.041,-,43.200
'144:52:55.712',-,0.000,0.021,-,45.600
'144:52:55.720',-,0.000,0.041,-,49.200
'144:52:55.728',-,0.000,0.010,-,55.200
'144:52:55.736',-,0.000,0.021,-,63.600
'144:52:55.744',-,0.000,0.010,-,74.400
'144:52:55.752',-,0.000,0.021,-,82.800
'144:52:55.760',-,0.000,0.000,-,91.200
'144:52:55.768',-,0.000,0.010,-,96.000
'144:52:55.776',-,0.000,-0.010,-,102.000
'144:52:55.784',-,0.072,-0.010,-,105.600
'144:52:55.792',-,0.072,-0.031,-,109.200
'144:52:55.800',-,0.072,-0.041,-,112.800
'144:52:55.808',-,0.112,-0.062,-,114.000
'144:52:55.816',-,0.152,-0.072,-,114.000
'144:52:55.824',-,0.152,-0.062,-,114.000
'144:52:55.832',-,0.152,-0.082,-,114.000
'144:52:55.840',-,0.152,-0.072,-,112.800
'144:52:55.848',-,0.112,-0.072,-,112.800
'144:52:55.856',-,0.072,-0.052,-,111.600
'144:52:55.864',-,0.000,-0.052,-,110.400
'144:52:55.872',-,0.000,-0.010,-,109.200
'144:52:55.880',-,-0.032,0.000,-,108.000
'144:52:55.888',-,-0.072,0.031,-,106.800
'144:52:55.896',-,-0.072,0.021,-,105.600
'144:52:55.904',-,-0.072,0.062,-,104.400
'144:52:55.912',-,-0.112,0.052,-,103.200
'144:52:55.920',-,-0.112,0.062,-,100.800
'144:52:55.928',-,-0.112,0.052,-,98.400
'144:52:55.936',-,-0.112,0.062,-,97.200
'144:52:55.944',-,-0.152,0.062,-,93.600
'144:52:55.952',-,-0.112,0.052,-,91.200
'144:52:55.960',-,-0.112,0.062,-,87.600
'144:52:55.968',-,-0.112,0.052,-,84.000
'144:52:55.976',-,-0.072,0.062,-,80.400
'144:52:55.984',-,-0.112,0.041,-,76.800
'144:52:55.992',-,-0.072,0.062,-,73.200
'144:52:56.000',-,-0.112,0.041,-,69.600
'144:52:56.008',-,-0.072,0.062,-,66.000
'144:52:56.016',-,-0.072,0.041,-,63.600
'144:52:56.024',-,-0.112,0.062,-,61.200
'144:52:56.032',-,-0.072,0.041,-,60.000
'144:52:56.040',-,-0.072,0.062,-,58.800
'144:52:56.048',-,-0.072,0.041,-,57.600
'144:52:56.056',-,-0.112,0.062,-,57.600
'144:52:56.064',-,-0.072,0.041,-,57.600
'144:52:56.072',-,-0.112,0.062,-,57.600
'144:52:56.080',-,-0.072,0.041,-,57.600
'144:52:56.088',-,-0.072,0.052,-,57.600
'144:52:56.096',-,-0.072,0.031,-,57.600
'144:52:56.104',-,-0.072,0.052,-,56.400
'144:52:56.112',-,-0.072,0.031,-,56.400
'144:52:56.120',-,-0.072,0.041,-,56.400
'144:52:56.128',-,-0.072,0.031,-,56.400
'144:52:56.136',-,-0.072,0.041,-,55.200
'144:52:56.144',-,-0.072,0.031,-,55.200
'144:52:56.152',-,-0.072,0.041,-,54.000
'144:52:56.160',-,-0.072,0.031,-,54.000
'144:52:56.168',-,-0.072,0.021,-,52.800
'144:52:56.176',-,-0.072,0.041,-,52.800
'144:52:56.184',-,-0.072,0.031,-,51.600
'144:52:56.192',-,-0.072,0.041,-,51.600
'144:52:56.200',-,-0.072,0.031,-,50.400
'144:52:56.208',-,-0.072,0.041,-,50.400
'144:52:56.216',-,-0.072,0.031,-,49.200
'144:52:56.224',-,0.000,0.062,-,49.200
'144:52:56.232',-,0.000,0.082,-,48.000
'144:52:56.240',-,0.000,0.093,-,48.000
'144:52:56.248',-,0.000,0.082,-,46.800
'144:52:56.256',-,0.000,0.041,-,46.800
'144:52:56.264',-,0.032,0.021,-,45.600
'144:52:56.272',-,0.000,0.031,-,45.600
'144:52:56.280',-,0.000,0.000,-,45.600
'144:52:56.288',-,0.000,0.010,-,44.400
'144:52:56.296',-,0.000,0.000,-,44.400
