'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'8:54:29.520',-,-0.043,-,-,84.000,-
'8:54:29.528',-,-0.017,-,-,81.600,-
'8:54:29.536',-,0.000,-,-,77.600,-
'8:54:29.544',-,-0.043,-,-,74.400,-
'8:54:29.552',-,0.000,-,-,70.400,-
'8:54:29.560',-,0.000,-,-,67.200,-
'8:54:29.568',-,0.000,-,-,63.200,-
'8:54:29.576',-,0.000,-,-,60.000,-
'8:54:29.584',-,0.017,-,-,57.600,-
'8:54:29.592',-,0.043,-,-,55.200,-
'8:54:29.600',-,0.060,-,-,52.800,-
'8:54:29.608',-,0.043,-,-,51.200,-
'8:54:29.616',-,0.000,-,-,49.600,-
'8:54:29.624',-,0.000,-,-,48.800,-
'8:54:29.632',-,-0.043,-,-,48.000,-
'8:54:29.640',-,-0.043,-,-,47.200,-
'8:54:29.648',-,-0.111,-,-,47.200,-
'8:54:29.656',-,-0.085,-,-,46.400,-
'8:54:29.664',-,-0.060,-,-,46.400,-
'8:54:29.672',-,-0.060,-,-,46.400,-
'8:54:29.680',-,-0.111,-,-,45.600,-
'8:54:29.688',-,-0.085,-,-,45.600,-
'8:54:29.696',-,0.000,-,-,45.600,-
'8:54:29.704',-,0.179,-,-,44.800,-
'8:54:29.712',-,0.427,-,-,44.800,-
'8:54:29.720',-,0.248,-,-,44.800,-
'8:54:29.728',-,0.000,-,-,44.000,-
'8:54:29.736',-,-0.043,-,-,44.000,-
'8:54:29.744',-,0.000,-,-,44.000,-
'8:54:29.752',-,-0.060,-,-,43.200,-
'8:54:29.760',-,-0.111,-,-,43.200,-
'8:54:29.768',-,-0.128,-,-,43.200,-
'8:54:29.776',-,-0.111,-,-,43.200,-
'8:54:29.784',-,-0.111,-,-,42.400,-
'8:54:29.792',-,-0.111,-,-,42.400,-
'8:54:29.800',-,-0.111,-,-,42.400,-
'8:54:29.808',-,-0.111,-,-,42.400,-
'8:54:29.816',-,-0.111,-,-,42.400,-
'8:54:29.824',-,-0.111,-,-,43.200,-
'8:54:29.832',-,-0.111,-,-,45.600,-
'8:54:29.840',-,-0.085,-,-,48.800,-
'8:54:29.848',-,-0.128,-,-,54.400,-
'8:54:29.856',-,-0.085,-,-,60.000,-
'8:54:29.864',-,-0.111,-,-,67.200,-
'8:54:29.872',-,-0.085,-,-,72.800,-
'8:54:29.880',-,-0.111,-,-,79.200,-
'8:54:29.888',-,-0.128,-,-,83.200,-
'8:54:29.896',-,-0.111,-,-,86.400,-
'8:54:29.904',-,-0.111,-,-,88.800,-
'8:54:29.912',-,-0.111,-,-,90.400,-
'8:54:29.920',-,-0.111,-,-,91.200,-
'8:54:29.928',-,-0.085,-,-,92.000,-
'8:54:29.936',-,-0.060,-,-,92.800,-
'8:54:29.944',-,-0.111,-,-,92.800,-
'8:54:29.952',-,-0.085,-,-,92.800,-
'8:54:29.960',-,-0.111,-,-,92.000,-
'8:54:29.968',-,-0.111,-,-,91.200,-
'8:54:29.976',-,-0.043,-,-,89.600,-
'8:54:29.984',-,-0.060,-,-,88.000,-
'8:54:29.992',-,0.000,-,-,86.400,-
'8:54:30.000',-,-0.043,-,-,84.000,-
'8:54:30.008',-,0.000,-,-,80.800,-
'8:54:30.016',-,-0.017,-,-,77.600,-
'8:54:30.024',-,0.000,-,-,74.400,-
'8:54:30.032',-,0.000,-,-,70.400,-
'8:54:30.040',-,0.043,-,-,67.200,-
'8:54:30.048',-,0.085,-,-,63.200,-
'8:54:30.056',-,0.043,-,-,60.800,-
'8:54:30.064',-,0.085,-,-,57.600,-
'8:54:30.072',-,0.128,-,-,55.200,-
'8:54:30.080',-,0.111,-,-,53.600,-
'8:54:30.088',-,0.060,-,-,52.000,-
'8:54:30.096',-,0.043,-,-,50.400,-
'8:54:30.104',-,0.000,-,-,49.600,-
'8:54:30.112',-,-0.043,-,-,48.000,-
'8:54:30.120',-,-0.043,-,-,47.200,-
