'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'2:00:44.736',-0.040,-,0.000,68.760,47.200
'2:00:44.744',-0.040,-,-0.056,68.760,46.400
'2:00:44.752',-0.040,-,-0.056,69.480,45.600
'2:00:44.760',-0.056,-,-0.040,69.480,45.600
'2:00:44.768',-0.040,-,-0.040,69.480,44.800
'2:00:44.776',-0.040,-,-0.040,69.480,44.800
'2:00:44.784',-0.040,-,-0.040,69.480,44.000
'2:00:44.792',-0.040,-,-0.040,69.480,44.000
'2:00:44.800',-0.040,-,0.000,69.480,43.200
'2:00:44.808',0.000,-,-0.040,69.480,43.200
'2:00:44.816',0.080,-,0.040,69.480,43.200
'2:00:44.824',0.240,-,0.160,68.760,43.200
'2:00:44.832',0.400,-,0.296,68.760,42.400
'2:00:44.840',0.480,-,0.376,68.760,42.400
'2:00:44.848',0.520,-,0.456,68.760,43.200
'2:00:44.856',0.536,-,0.520,68.760,43.200
'2:00:44.864',0.200,-,0.256,68.760,43.200
'2:00:44.872',0.080,-,0.096,68.760,43.200
'2:00:44.880',-0.040,-,-0.040,68.760,43.200
'2:00:44.888',-0.096,-,-0.096,68.760,44.000
'2:00:44.896',-0.136,-,-0.136,67.920,44.000
'2:00:44.904',-0.160,-,-0.176,67.920,44.800
'2:00:44.912',-0.136,-,-0.160,67.920,46.400
'2:00:44.920',-0.160,-,-0.136,67.080,47.200
'2:00:44.928',-0.136,-,-0.136,67.080,48.000
'2:00:44.936',-0.160,-,-0.136,67.080,48.000
'2:00:44.944',-0.136,-,-0.136,67.080,48.800
'2:00:44.952',-0.120,-,-0.120,67.080,48.800
'2:00:44.960',-0.096,-,-0.096,67.080,49.600
'2:00:44.968',-0.136,-,-0.136,68.760,51.200
'2:00:44.976',-0.136,-,-0.136,71.880,52.800
'2:00:44.984',-0.136,-,-0.136,76.680,53.600
'2:00:44.992',-0.136,-,-0.096,83.160,56.000
'2:00:45.000',-0.120,-,-0.120,91.080,57.600
'2:00:45.008',-0.136,-,-0.096,99.120,59.200
'2:00:45.016',-0.120,-,-0.096,107.160,60.800
'2:00:45.024',-0.136,-,-0.096,113.520,62.400
'2:00:45.032',-0.136,-,-0.080,119.160,64.000
'2:00:45.040',-0.160,-,-0.096,124.680,64.800
'2:00:45.048',-0.160,-,-0.056,128.760,65.600
'2:00:45.056',-0.176,-,-0.096,131.880,66.400
'2:00:45.064',-0.136,-,-0.056,133.560,66.400
'2:00:45.072',-0.160,-,-0.040,135.120,66.400
'2:00:45.080',-0.136,-,-0.040,135.120,66.400
'2:00:45.088',-0.096,-,-0.040,135.120,65.600
'2:00:45.096',-0.056,-,0.000,134.280,64.800
'2:00:45.104',0.000,-,0.000,132.720,64.000
'2:00:45.112',-0.016,-,0.016,131.160,62.400
'2:00:45.120',0.000,-,0.000,129.480,60.800
'2:00:45.128',0.000,-,0.000,127.080,59.200
'2:00:45.136',0.000,-,0.000,123.960,58.400
'2:00:45.144',0.000,-,0.000,120.720,57.600
'2:00:45.152',0.016,-,0.000,117.480,56.800
'2:00:45.160',0.000,-,-0.016,113.520,56.000
'2:00:45.168',0.000,-,0.000,109.560,55.200
'2:00:45.176',0.000,-,-0.016,105.480,54.400
