'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'24:00.200',0.024,0.034,57.600,18.400
'24:00.208',0.000,0.000,57.600,17.600
'24:00.216',-0.016,-0.017,56.800,16.800
'24:00.224',-0.016,-0.017,56.800,16.800
'24:00.232',-0.016,-0.034,56.800,17.200
'24:00.240',-0.016,-0.017,56.800,18.400
'24:00.248',-0.016,-0.034,56.000,20.000
'24:00.256',-0.016,-0.017,56.000,21.200
'24:00.264',-0.016,-0.017,56.000,21.600
'24:00.272',-0.016,-0.017,56.000,21.200
'24:00.280',0.000,-0.017,55.200,20.000
'24:00.288',0.048,-0.017,55.200,18.400
'24:00.296',0.112,0.034,55.200,17.600
'24:00.304',0.152,0.095,54.400,16.800
'24:00.312',0.112,0.112,54.400,17.200
'24:00.320',-0.016,0.034,53.600,17.200
'24:00.328',-0.160,-0.155,53.600,17.200
'24:00.336',-0.240,-0.224,53.600,17.200
'24:00.344',-0.248,-0.276,52.800,17.600
'24:00.352',-0.144,-0.198,52.000,19.200
'24:00.360',-0.064,-0.078,52.000,21.200
'24:00.368',-0.024,-0.043,51.200,22.400
'24:00.376',-0.008,-0.009,51.200,21.200
'24:00.384',-0.008,-0.009,50.400,18.400
'24:00.392',-0.008,0.000,50.400,17.600
'24:00.400',-0.008,-0.009,50.400,19.600
'24:00.408',-0.008,0.000,49.600,23.600
'24:00.416',0.000,0.000,49.600,27.200
'24:00.424',0.000,0.000,48.800,29.600
'24:00.432',0.000,0.000,48.800,30.800
'24:00.440',0.000,0.000,48.800,31.200
'24:00.448',0.000,0.009,48.800,31.600
'24:00.456',0.000,0.000,48.800,32.000
'24:00.464',0.000,0.000,48.800,32.400
'24:00.472',0.000,0.000,49.600,32.400
'24:00.480',0.000,0.000,51.200,32.400
'24:00.488',0.000,0.000,54.400,32.000
'24:00.496',0.008,0.000,59.200,31.200
'24:00.504',0.008,0.009,64.000,30.400
'24:00.512',0.008,0.000,68.800,29.600
'24:00.520',0.008,0.000,73.600,29.200
'24:00.528',0.008,0.009,77.600,29.200
'24:00.536',0.008,0.009,80.800,29.200
'24:00.544',0.008,0.000,83.200,29.200
'24:00.552',0.008,0.000,85.600,28.800
'24:00.560',0.000,0.000,86.400,28.400
'24:00.568',0.000,0.000,88.000,28.400
'24:00.576',0.000,0.000,88.000,28.400
'24:00.584',0.000,0.000,88.800,28.400
'24:00.592',0.000,0.000,88.800,28.400
'24:00.600',0.000,0.000,88.800,27.600
'24:00.608',0.000,0.000,88.000,26.800
'24:00.616',0.000,0.000,87.200,26.400
'24:00.624',0.008,0.000,86.400,25.600
