'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'7:02:34.144',-0.140,-,-,-,-0.020,-,120.800,19.600
'7:02:34.152',-0.140,-,-,-,-0.020,-,117.600,19.200
'7:02:34.160',-0.140,-,-,-,-0.020,-,113.600,18.800
'7:02:34.168',-0.140,-,-,-,-0.020,-,110.400,18.400
'7:02:34.176',-0.120,-,-,-,-0.020,-,106.400,18.400
'7:02:34.184',-0.140,-,-,-,-0.020,-,104.000,18.400
'7:02:34.192',-0.120,-,-,-,-0.020,-,101.600,18.000
'7:02:34.200',-0.120,-,-,-,0.000,-,100.000,18.000
'7:02:34.208',-0.100,-,-,-,-0.020,-,100.000,18.000
'7:02:34.216',-0.140,-,-,-,0.000,-,100.000,18.000
'7:02:34.224',-0.120,-,-,-,0.000,-,100.800,18.000
'7:02:34.232',-0.140,-,-,-,0.000,-,101.600,18.000
'7:02:34.240',-0.140,-,-,-,0.000,-,100.800,18.000
'7:02:34.248',-0.140,-,-,-,0.000,-,100.800,18.000
'7:02:34.256',-0.100,-,-,-,0.000,-,99.200,17.600
'7:02:34.264',-0.100,-,-,-,0.020,-,98.400,17.600
'7:02:34.272',-0.060,-,-,-,0.040,-,97.600,17.600
'7:02:34.280',-0.080,-,-,-,0.040,-,96.000,17.600
'7:02:34.288',-0.060,-,-,-,0.040,-,95.200,17.600
'7:02:34.296',-0.060,-,-,-,0.040,-,94.400,17.200
'7:02:34.304',-0.040,-,-,-,0.040,-,93.600,17.200
'7:02:34.312',-0.040,-,-,-,0.060,-,92.800,17.200
'7:02:34.320',-0.060,-,-,-,0.040,-,92.000,17.200
'7:02:34.328',-0.040,-,-,-,0.040,-,91.200,16.800
'7:02:34.336',-0.080,-,-,-,0.020,-,91.200,16.800
'7:02:34.344',-0.100,-,-,-,0.020,-,90.400,16.800
'7:02:34.352',-0.100,-,-,-,0.000,-,88.800,16.400
'7:02:34.360',-0.180,-,-,-,-0.020,-,88.000,16.400
'7:02:34.368',-0.200,-,-,-,-0.040,-,87.200,16.000
'7:02:34.376',-0.200,-,-,-,-0.040,-,86.400,16.000
'7:02:34.384',-0.220,-,-,-,-0.040,-,86.400,16.000
'7:02:34.392',-0.200,-,-,-,-0.040,-,85.600,16.000
'7:02:34.400',-0.220,-,-,-,-0.040,-,84.800,16.000
'7:02:34.408',-0.220,-,-,-,-0.040,-,84.000,16.000
'7:02:34.416',-0.220,-,-,-,-0.040,-,84.000,15.600
'7:02:34.424',-0.200,-,-,-,-0.040,-,83.200,15.600
'7:02:34.432',-0.220,-,-,-,-0.040,-,83.200,15.600
'7:02:34.440',-0.240,-,-,-,-0.080,-,83.200,15.200
'7:02:34.448',-0.180,-,-,-,-0.020,-,82.400,15.200
'7:02:34.456',0.040,-,-,-,0.120,-,82.400,14.800
'7:02:34.464',0.420,-,-,-,0.480,-,81.600,14.800
'7:02:34.472',0.500,-,-,-,0.560,-,81.600,14.400
'7:02:34.480',0.020,-,-,-,0.120,-,80.800,14.000
'7:02:34.488',-0.140,-,-,-,0.000,-,80.800,14.000
'7:02:34.496',-0.180,-,-,-,-0.020,-,80.000,13.200
'7:02:34.504',-0.180,-,-,-,-0.040,-,79.200,13.200
'7:02:34.512',-0.200,-,-,-,-0.040,-,79.200,12.800
'7:02:34.520',-0.220,-,-,-,-0.040,-,78.400,13.200
'7:02:34.528',-0.220,-,-,-,-0.040,-,77.600,13.200
'7:02:34.536',-0.220,-,-,-,-0.040,-,76.800,13.600
'7:02:34.544',-0.200,-,-,-,-0.040,-,76.000,14.000
'7:02:34.552',-0.220,-,-,-,-0.040,-,76.000,14.000
'7:02:34.560',-0.200,-,-,-,-0.040,-,75.200,14.000
'7:02:34.568',-0.220,-,-,-,-0.040,-,74.400,14.000
'7:02:34.576',-0.200,-,-,-,-0.020,-,74.400,14.000
'7:02:34.584',-0.220,-,-,-,-0.020,-,73.600,14.400
'7:02:34.592',-0.200,-,-,-,-0.020,-,73.600,15.200
'7:02:34.600',-0.180,-,-,-,0.000,-,73.600,16.000
'7:02:34.608',-0.180,-,-,-,0.000,-,74.400,17.200
'7:02:34.616',-0.180,-,-,-,0.000,-,76.800,18.000
'7:02:34.624',-0.160,-,-,-,0.000,-,80.000,19.200
'7:02:34.632',-0.140,-,-,-,0.000,-,84.800,20.400
'7:02:34.640',-0.140,-,-,-,0.020,-,91.200,21.200
'7:02:34.648',-0.120,-,-,-,0.020,-,98.400,22.000
'7:02:34.656',-0.100,-,-,-,0.040,-,104.800,22.400
'7:02:34.664',-0.080,-,-,-,0.040,-,109.600,22.800
'7:02:34.672',-0.040,-,-,-,0.060,-,112.800,23.200
'7:02:34.680',-0.020,-,-,-,0.080,-,114.400,23.200
'7:02:34.688',0.000,-,-,-,0.100,-,115.200,22.800
'7:02:34.696',0.040,-,-,-,0.120,-,116.000,22.800
'7:02:34.704',0.060,-,-,-,0.140,-,116.800,22.400
'7:02:34.712',0.080,-,-,-,0.160,-,119.200,22.000
'7:02:34.720',0.100,-,-,-,0.160,-,121.600,21.600
'7:02:34.728',0.120,-,-,-,0.160,-,124.000,20.800
'7:02:34.736',0.080,-,-,-,0.160,-,125.600,20.400
'7:02:34.744',0.060,-,-,-,0.140,-,127.200,20.000
'7:02:34.752',0.020,-,-,-,0.120,-,128.000,19.200
'7:02:34.760',-0.020,-,-,-,0.080,-,127.200,18.800
'7:02:34.768',-0.060,-,-,-,0.040,-,127.200,18.000
'7:02:34.776',-0.100,-,-,-,0.020,-,125.600,17.600
'7:02:34.784',-0.140,-,-,-,0.000,-,124.000,16.800
'7:02:34.792',-0.140,-,-,-,0.000,-,122.400,16.400
'7:02:34.800',-0.160,-,-,-,0.000,-,120.000,15.600
'7:02:34.808',-0.180,-,-,-,0.000,-,117.600,15.200
'7:02:34.816',-0.180,-,-,-,0.000,-,114.400,14.800
'7:02:34.824',-0.180,-,-,-,0.000,-,111.200,14.400
'7:02:34.832',-0.180,-,-,-,0.000,-,108.000,14.400
'7:02:34.840',-0.180,-,-,-,0.000,-,104.000,14.000
'7:02:34.848',-0.180,-,-,-,0.000,-,101.600,14.000
