'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'121:02:25.896',-0.040,-0.061,-,-,-
'121:02:25.904',-0.072,-0.096,-,-,-
'121:02:25.912',-0.096,-0.132,-,-,-
'121:02:25.920',-0.120,-0.140,-,-,-
'121:02:25.928',-0.128,-0.175,-,-,-
'121:02:25.936',-0.112,-0.167,-,-,-
'121:02:25.944',-0.080,-0.140,-,-,-
'121:02:25.952',-0.024,-0.079,-,-,-
'121:02:25.960',0.032,-0.018,-,-,-
'121:02:25.968',0.064,0.053,-,-,-
'121:02:25.976',0.072,0.053,-,-,-
'121:02:25.984',0.064,0.061,-,-,-
'121:02:25.992',0.064,0.044,-,-,-
'121:02:26.000',0.072,0.070,-,-,-
'121:02:26.008',0.064,0.053,-,-,-
'121:02:26.016',0.064,0.061,-,-,-
'121:02:26.024',0.056,0.053,-,-,-
'121:02:26.032',0.056,0.053,-,-,-
'121:02:26.040',0.048,0.044,-,-,-
'121:02:26.048',0.040,0.035,-,-,-
'121:02:26.056',0.032,0.044,-,-,-
'121:02:26.064',0.024,0.018,-,-,-
'121:02:26.072',0.016,0.026,-,-,-
'121:02:26.080',0.008,0.009,-,-,-
'121:02:26.088',0.000,0.018,-,-,-
'121:02:26.096',-0.008,0.000,-,-,-
'121:02:26.104',-0.056,0.009,-,-,-
'121:02:26.112',-0.104,-0.096,-,-,-
'121:02:26.120',0.000,-0.175,-,-,-
'121:02:26.128',0.376,-0.175,-,-,-
'121:02:26.136',0.744,0.500,-,-,-
'121:02:26.144',0.760,0.807,-,-,-
'121:02:26.152',0.216,0.386,-,-,-
'121:02:26.160',-0.096,-0.018,-,-,-
'121:02:26.168',-0.152,-0.175,-,-,-
'121:02:26.176',-0.064,-0.184,-,-,-
'121:02:26.184',0.000,-0.009,-,-,-
'121:02:26.192',0.008,0.000,-,-,-
'121:02:26.200',0.008,0.000,-,-,-
'121:02:26.208',0.008,0.000,-,-,-
'121:02:26.216',0.008,0.018,-,-,-
'121:02:26.224',0.008,0.000,-,-,-
'121:02:26.232',0.008,0.000,-,-,-
'121:02:26.240',0.008,0.000,-,-,-
'121:02:26.248',0.008,0.000,-,-,-
'121:02:26.256',0.000,0.000,-,-,-
'121:02:26.264',-0.008,-0.018,-,-,-
'121:02:26.272',-0.008,-0.009,-,-,-
'121:02:26.280',-0.016,-0.026,-,-,-
'121:02:26.288',-0.016,-0.018,-,-,-
'121:02:26.296',-0.024,-0.044,-,-,-
'121:02:26.304',-0.032,-0.026,-,-,-
'121:02:26.312',-0.032,-0.053,-,-,-
'121:02:26.320',-0.040,-0.035,-,-,-
'121:02:26.328',-0.064,-0.061,-,-,-
'121:02:26.336',-0.104,-0.088,-,-,-
'121:02:26.344',-0.136,-0.132,-,-,-
'121:02:26.352',-0.152,-0.140,-,-,-
'121:02:26.360',-0.168,-0.175,-,-,-
