'Elapsed time','II','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'166:23:05.688',-,0.069,-,9.272,-,-
'166:23:05.696',-,0.069,-,9.446,-,-
'166:23:05.704',-,0.000,-,9.272,-,-
'166:23:05.712',-,0.069,-,9.902,-,-
'166:23:05.720',-,0.000,-,9.717,-,-
'166:23:05.728',-,-0.138,-,10.087,-,-
'166:23:05.736',-,-0.356,-,9.630,-,-
'166:23:05.744',-,-0.425,-,9.815,-,-
'166:23:05.752',-,-0.494,-,9.989,-,-
'166:23:05.760',-,-0.494,-,10.174,-,-
'166:23:05.768',-,-0.632,-,10.087,-,-
'166:23:05.776',-,-0.494,-,10.359,-,-
'166:23:05.784',-,-0.494,-,10.087,-,-
'166:23:05.792',-,-0.356,-,10.446,-,-
'166:23:05.800',-,-0.207,-,10.087,-,-
'166:23:05.808',-,-0.138,-,10.174,-,-
'166:23:05.816',-,-0.425,-,9.630,-,-
'166:23:05.824',-,-0.563,-,9.630,-,-
'166:23:05.832',-,-0.632,-,9.272,-,-
'166:23:05.840',-,-0.713,-,9.446,-,-
'166:23:05.848',-,-0.713,-,9.272,-,-
'166:23:05.856',-,-0.713,-,9.446,-,-
'166:23:05.864',-,-0.632,-,9.272,-,-
'166:23:05.872',-,-0.632,-,9.543,-,-
'166:23:05.880',-,-0.632,-,9.446,-,-
'166:23:05.888',-,-0.494,-,9.902,-,-
'166:23:05.896',-,-0.494,-,10.174,-,-
'166:23:05.904',-,-0.494,-,10.446,-,-
'166:23:05.912',-,-0.494,-,10.543,-,-
'166:23:05.920',-,-0.494,-,10.359,-,-
'166:23:05.928',-,-0.494,-,10.815,-,-
'166:23:05.936',-,-0.425,-,10.630,-,-
'166:23:05.944',-,-0.494,-,10.717,-,-
'166:23:05.952',-,-0.356,-,10.446,-,-
'166:23:05.960',-,-0.425,-,10.630,-,-
'166:23:05.968',-,-0.356,-,10.272,-,-
'166:23:05.976',-,-0.356,-,10.272,-,-
'166:23:05.984',-,-0.356,-,9.717,-,-
'166:23:05.992',-,-0.356,-,9.630,-,-
'166:23:06.000',-,-0.356,-,9.174,-,-
'166:23:06.008',-,-0.356,-,9.272,-,-
'166:23:06.016',-,-0.276,-,8.902,-,-
'166:23:06.024',-,-0.276,-,8.902,-,-
'166:23:06.032',-,-0.207,-,8.630,-,-
'166:23:06.040',-,-0.207,-,8.717,-,-
'166:23:06.048',-,-0.138,-,8.446,-,-
'166:23:06.056',-,-0.138,-,8.543,-,-
'166:23:06.064',-,-0.138,-,8.272,-,-
'166:23:06.072',-,-0.138,-,8.272,-,-
'166:23:06.080',-,-0.138,-,7.989,-,-
'166:23:06.088',-,-0.138,-,7.902,-,-
'166:23:06.096',-,-0.138,-,7.989,-,-
'166:23:06.104',-,-0.138,-,7.543,-,-
'166:23:06.112',-,-0.138,-,7.717,-,-
'166:23:06.120',-,-0.138,-,7.272,-,-
'166:23:06.128',-,-0.138,-,7.446,-,-
'166:23:06.136',-,-0.276,-,7.087,-,-
'166:23:06.144',-,-0.207,-,7.272,-,-
'166:23:06.152',-,-0.276,-,6.989,-,-
'166:23:06.160',-,-0.276,-,7.087,-,-
'166:23:06.168',-,-0.276,-,7.630,-,-
'166:23:06.176',-,-0.356,-,7.815,-,-
'166:23:06.184',-,-0.276,-,7.717,-,-
'166:23:06.192',-,-0.356,-,7.989,-,-
'166:23:06.200',-,-0.276,-,7.902,-,-
'166:23:06.208',-,-0.276,-,8.272,-,-
'166:23:06.216',-,-0.276,-,8.087,-,-
'166:23:06.224',-,-0.207,-,8.272,-,-
'166:23:06.232',-,-0.138,-,7.902,-,-
'166:23:06.240',-,-0.207,-,7.989,-,-
'166:23:06.248',-,-0.138,-,7.717,-,-
'166:23:06.256',-,-0.138,-,7.717,-,-
'166:23:06.264',-,-0.138,-,7.446,-,-
'166:23:06.272',-,-0.138,-,7.446,-,-
'166:23:06.280',-,-0.138,-,7.174,-,-
'166:23:06.288',-,-0.138,-,7.087,-,-
'166:23:06.296',-,-0.138,-,7.174,-,-
'166:23:06.304',-,-0.207,-,6.902,-,-
'166:23:06.312',-,-0.138,-,6.902,-,-
'166:23:06.320',-,-0.207,-,6.630,-,-
'166:23:06.328',-,-0.207,-,6.717,-,-
'166:23:06.336',-,-0.207,-,6.359,-,-
'166:23:06.344',-,-0.207,-,6.446,-,-
'166:23:06.352',-,-0.138,-,6.087,-,-
'166:23:06.360',-,-0.207,-,6.174,-,-
'166:23:06.368',-,-0.138,-,5.902,-,-
'166:23:06.376',-,-0.138,-,5.902,-,-
'166:23:06.384',-,-0.138,-,5.630,-,-
'166:23:06.392',-,-0.069,-,5.717,-,-
'166:23:06.400',-,0.000,-,5.272,-,-
'166:23:06.408',-,0.000,-,5.359,-,-
'166:23:06.416',-,0.069,-,4.902,-,-
'166:23:06.424',-,-0.069,-,4.902,-,-
'166:23:06.432',-,-0.138,-,4.446,-,-
