'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'122:20:03.304',-,-,-,0.206,99.200
'122:20:03.312',-,-,-,0.412,96.800
'122:20:03.320',-,-,-,0.647,93.600
'122:20:03.328',-,-,-,0.824,89.600
'122:20:03.336',-,-,-,0.941,86.400
'122:20:03.344',-,-,-,1.000,82.400
'122:20:03.352',-,-,-,0.912,80.000
'122:20:03.360',-,-,-,0.529,76.000
'122:20:03.368',-,-,-,0.059,72.800
'122:20:03.376',-,-,-,-0.147,68.800
'122:20:03.384',-,-,-,-0.235,66.400
'122:20:03.392',-,-,-,-0.235,64.000
'122:20:03.400',-,-,-,-0.235,63.200
'122:20:03.408',-,-,-,-0.235,61.600
'122:20:03.416',-,-,-,-0.235,61.600
'122:20:03.424',-,-,-,-0.235,60.800
'122:20:03.432',-,-,-,-0.265,60.800
'122:20:03.440',-,-,-,-0.265,60.800
'122:20:03.448',-,-,-,-0.265,60.800
'122:20:03.456',-,-,-,-0.265,60.800
'122:20:03.464',-,-,-,-0.265,60.800
'122:20:03.472',-,-,-,-0.265,60.800
'122:20:03.480',-,-,-,-0.324,60.800
'122:20:03.488',-,-,-,-0.353,60.800
'122:20:03.496',-,-,-,-0.412,59.200
'122:20:03.504',-,-,-,-0.412,59.200
'122:20:03.512',-,-,-,-0.441,59.200
'122:20:03.520',-,-,-,-0.412,59.200
'122:20:03.528',-,-,-,-0.412,58.400
'122:20:03.536',-,-,-,-0.353,58.400
'122:20:03.544',-,-,-,-0.324,56.800
'122:20:03.552',-,-,-,-0.235,56.800
'122:20:03.560',-,-,-,-0.147,56.000
'122:20:03.568',-,-,-,-0.118,56.000
'122:20:03.576',-,-,-,-0.059,56.000
'122:20:03.584',-,-,-,0.000,54.400
'122:20:03.592',-,-,-,0.000,54.400
'122:20:03.600',-,-,-,0.000,54.400
'122:20:03.608',-,-,-,0.000,54.400
'122:20:03.616',-,-,-,0.000,53.600
'122:20:03.624',-,-,-,0.029,53.600
'122:20:03.632',-,-,-,0.029,52.000
'122:20:03.640',-,-,-,0.029,51.200
'122:20:03.648',-,-,-,0.029,51.200
'122:20:03.656',-,-,-,0.029,49.600
'122:20:03.664',-,-,-,0.029,49.600
'122:20:03.672',-,-,-,0.000,48.800
'122:20:03.680',-,-,-,0.000,48.800
'122:20:03.688',-,-,-,0.000,47.200
'122:20:03.696',-,-,-,0.000,47.200
'122:20:03.704',-,-,-,0.000,46.400
'122:20:03.712',-,-,-,0.000,46.400
'122:20:03.720',-,-,-,0.000,44.800
'122:20:03.728',-,-,-,0.000,44.800
'122:20:03.736',-,-,-,0.000,44.800
'122:20:03.744',-,-,-,0.000,44.800
'122:20:03.752',-,-,-,0.029,44.000
'122:20:03.760',-,-,-,0.029,44.000
'122:20:03.768',-,-,-,0.000,44.000
'122:20:03.776',-,-,-,0.000,44.000
'122:20:03.784',-,-,-,0.000,44.000
'122:20:03.792',-,-,-,0.029,44.000
'122:20:03.800',-,-,-,0.029,44.000
'122:20:03.808',-,-,-,0.029,44.000
'122:20:03.816',-,-,-,0.029,44.000
'122:20:03.824',-,-,-,0.029,44.000
'122:20:03.832',-,-,-,0.029,44.000
'122:20:03.840',-,-,-,0.029,44.000
'122:20:03.848',-,-,-,0.000,44.000
'122:20:03.856',-,-,-,0.000,44.000
'122:20:03.864',-,-,-,0.000,42.400
'122:20:03.872',-,-,-,0.000,42.400
'122:20:03.880',-,-,-,0.000,42.400
'122:20:03.888',-,-,-,0.000,42.400
'122:20:03.896',-,-,-,0.000,42.400
'122:20:03.904',-,-,-,0.000,42.400
'122:20:03.912',-,-,-,0.029,42.400
'122:20:03.920',-,-,-,0.029,41.600
'122:20:03.928',-,-,-,0.029,41.600
'122:20:03.936',-,-,-,0.059,41.600
'122:20:03.944',-,-,-,0.059,41.600
'122:20:03.952',-,-,-,0.000,41.600
'122:20:03.960',-,-,-,-0.235,40.000
'122:20:03.968',-,-,-,-0.559,40.000
'122:20:03.976',-,-,-,-0.765,39.200
'122:20:03.984',-,-,-,-0.706,39.200
'122:20:03.992',-,-,-,-0.353,39.200
'122:20:04.000',-,-,-,-0.029,39.200
'122:20:04.008',-,-,-,0.059,39.200
'122:20:04.016',-,-,-,0.118,39.200
'122:20:04.024',-,-,-,0.118,39.200
'122:20:04.032',-,-,-,0.059,39.200
'122:20:04.040',-,-,-,0.059,39.200
'122:20:04.048',-,-,-,0.059,40.000
'122:20:04.056',-,-,-,0.059,40.000
'122:20:04.064',-,-,-,0.118,40.000
'122:20:04.072',-,-,-,0.118,41.600
'122:20:04.080',-,-,-,0.118,41.600
'122:20:04.088',-,-,-,0.118,41.600
'122:20:04.096',-,-,-,0.118,41.600
'122:20:04.104',-,-,-,0.118,42.400
'122:20:04.112',-,-,-,0.118,44.000
'122:20:04.120',-,-,-,0.147,46.400
'122:20:04.128',-,-,-,0.206,51.200
'122:20:04.136',-,-,-,0.235,56.000
'122:20:04.144',-,-,-,0.265,61.600
'122:20:04.152',-,-,-,0.324,68.000
'122:20:04.160',-,-,-,0.324,75.200
'122:20:04.168',-,-,-,0.324,80.000
'122:20:04.176',-,-,-,0.265,84.800
'122:20:04.184',-,-,-,0.265,89.600
'122:20:04.192',-,-,-,0.206,96.000
'122:20:04.200',-,-,-,0.147,100.800
'122:20:04.208',-,-,-,0.059,105.600
'122:20:04.216',-,-,-,0.029,108.800
'122:20:04.224',-,-,-,0.029,111.200
'122:20:04.232',-,-,-,0.029,112.800
'122:20:04.240',-,-,-,0.029,113.600
'122:20:04.248',-,-,-,0.029,112.800
'122:20:04.256',-,-,-,0.029,112.800
'122:20:04.264',-,-,-,0.029,111.200
'122:20:04.272',-,-,-,0.029,110.400
'122:20:04.280',-,-,-,0.029,108.800
'122:20:04.288',-,-,-,0.059,108.000
