'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'84:54:42.320',-,-0.224,-,-,113.600
'84:54:42.328',-,-0.192,-,-,108.000
'84:54:42.336',-,-0.160,-,-,101.600
'84:54:42.344',-,-0.128,-,-,96.000
'84:54:42.352',-,-0.096,-,-,91.200
'84:54:42.360',-,-0.096,-,-,87.200
'84:54:42.368',-,-0.064,-,-,84.000
'84:54:42.376',-,-0.064,-,-,83.200
'84:54:42.384',-,-0.096,-,-,83.200
'84:54:42.392',-,-0.128,-,-,83.200
'84:54:42.400',-,-0.160,-,-,84.000
'84:54:42.408',-,-0.096,-,-,84.000
'84:54:42.416',-,0.000,-,-,84.000
'84:54:42.424',-,0.064,-,-,83.200
'84:54:42.432',-,0.032,-,-,82.400
'84:54:42.440',-,0.000,-,-,81.600
'84:54:42.448',-,0.032,-,-,80.000
'84:54:42.456',-,0.032,-,-,79.200
'84:54:42.464',-,0.032,-,-,78.400
'84:54:42.472',-,0.000,-,-,77.600
'84:54:42.480',-,0.000,-,-,76.800
'84:54:42.488',-,-0.032,-,-,76.000
'84:54:42.496',-,-0.064,-,-,75.200
'84:54:42.504',-,-0.064,-,-,74.400
'84:54:42.512',-,-0.064,-,-,73.600
'84:54:42.520',-,0.000,-,-,72.800
'84:54:42.528',-,0.160,-,-,72.000
'84:54:42.536',-,0.608,-,-,72.000
'84:54:42.544',-,0.704,-,-,71.200
'84:54:42.552',-,0.064,-,-,70.400
'84:54:42.560',-,-0.288,-,-,69.600
'84:54:42.568',-,-0.384,-,-,68.800
'84:54:42.576',-,-0.288,-,-,68.000
'84:54:42.584',-,-0.192,-,-,67.200
'84:54:42.592',-,-0.160,-,-,67.200
'84:54:42.600',-,-0.096,-,-,66.400
'84:54:42.608',-,-0.064,-,-,65.600
'84:54:42.616',-,-0.064,-,-,64.800
'84:54:42.624',-,-0.064,-,-,64.800
'84:54:42.632',-,-0.064,-,-,64.000
'84:54:42.640',-,-0.064,-,-,64.000
'84:54:42.648',-,0.000,-,-,64.800
'84:54:42.656',-,0.064,-,-,68.000
'84:54:42.664',-,0.128,-,-,73.600
'84:54:42.672',-,0.192,-,-,84.000
'84:54:42.680',-,0.192,-,-,98.400
'84:54:42.688',-,0.224,-,-,113.600
'84:54:42.696',-,0.224,-,-,127.200
'84:54:42.704',-,0.224,-,-,137.600
'84:54:42.712',-,0.192,-,-,144.000
'84:54:42.720',-,0.256,-,-,146.400
'84:54:42.728',-,0.256,-,-,147.200
'84:54:42.736',-,0.288,-,-,147.200
'84:54:42.744',-,0.288,-,-,148.000
'84:54:42.752',-,0.256,-,-,148.800
'84:54:42.760',-,0.224,-,-,148.800
'84:54:42.768',-,0.160,-,-,148.800
'84:54:42.776',-,0.096,-,-,148.800
'84:54:42.784',-,0.032,-,-,148.000
'84:54:42.792',-,0.000,-,-,147.200
'84:54:42.800',-,-0.064,-,-,146.400
'84:54:42.808',-,-0.064,-,-,144.800
'84:54:42.816',-,-0.096,-,-,144.000
'84:54:42.824',-,-0.128,-,-,142.400
'84:54:42.832',-,-0.128,-,-,140.800
'84:54:42.840',-,-0.128,-,-,139.200
'84:54:42.848',-,-0.128,-,-,137.600
'84:54:42.856',-,-0.128,-,-,135.200
