'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'85:05:28.320',-,-0.032,-,-,80.800
'85:05:28.328',-,-0.032,-,-,80.800
'85:05:28.336',-,-0.064,-,-,80.800
'85:05:28.344',-,-0.032,-,-,80.000
'85:05:28.352',-,0.000,-,-,79.200
'85:05:28.360',-,0.000,-,-,78.400
'85:05:28.368',-,0.032,-,-,77.600
'85:05:28.376',-,0.032,-,-,76.800
'85:05:28.384',-,0.000,-,-,76.000
'85:05:28.392',-,0.000,-,-,75.200
'85:05:28.400',-,0.000,-,-,74.400
'85:05:28.408',-,-0.032,-,-,73.600
'85:05:28.416',-,-0.064,-,-,72.800
'85:05:28.424',-,-0.064,-,-,72.000
'85:05:28.432',-,-0.064,-,-,71.200
'85:05:28.440',-,-0.064,-,-,71.200
'85:05:28.448',-,-0.032,-,-,70.400
'85:05:28.456',-,0.000,-,-,69.600
'85:05:28.464',-,0.352,-,-,68.800
'85:05:28.472',-,0.832,-,-,68.800
'85:05:28.480',-,0.832,-,-,68.000
'85:05:28.488',-,0.192,-,-,67.200
'85:05:28.496',-,0.032,-,-,67.200
'85:05:28.504',-,-0.064,-,-,66.400
'85:05:28.512',-,-0.032,-,-,65.600
'85:05:28.520',-,-0.064,-,-,65.600
'85:05:28.528',-,-0.096,-,-,64.800
'85:05:28.536',-,-0.096,-,-,64.800
'85:05:28.544',-,-0.096,-,-,64.000
'85:05:28.552',-,-0.064,-,-,64.000
'85:05:28.560',-,-0.064,-,-,63.200
'85:05:28.568',-,-0.064,-,-,63.200
'85:05:28.576',-,-0.064,-,-,62.400
'85:05:28.584',-,-0.064,-,-,63.200
'85:05:28.592',-,-0.032,-,-,65.600
'85:05:28.600',-,-0.032,-,-,70.400
'85:05:28.608',-,-0.032,-,-,79.200
'85:05:28.616',-,0.000,-,-,90.400
'85:05:28.624',-,0.000,-,-,102.400
'85:05:28.632',-,0.000,-,-,113.600
'85:05:28.640',-,0.000,-,-,121.600
'85:05:28.648',-,0.032,-,-,125.600
'85:05:28.656',-,0.064,-,-,128.000
'85:05:28.664',-,0.128,-,-,129.600
'85:05:28.672',-,0.128,-,-,131.200
'85:05:28.680',-,0.128,-,-,133.600
'85:05:28.688',-,0.128,-,-,135.200
'85:05:28.696',-,0.096,-,-,136.000
'85:05:28.704',-,0.064,-,-,136.800
'85:05:28.712',-,0.032,-,-,136.800
'85:05:28.720',-,0.000,-,-,136.800
'85:05:28.728',-,0.000,-,-,136.000
'85:05:28.736',-,0.000,-,-,136.000
'85:05:28.744',-,-0.032,-,-,134.400
'85:05:28.752',-,-0.064,-,-,133.600
'85:05:28.760',-,-0.064,-,-,132.000
'85:05:28.768',-,-0.064,-,-,130.400
'85:05:28.776',-,-0.064,-,-,128.800
'85:05:28.784',-,-0.064,-,-,127.200
'85:05:28.792',-,-0.064,-,-,124.800
'85:05:28.800',-,-0.064,-,-,122.400
'85:05:28.808',-,-0.064,-,-,119.200
'85:05:28.816',-,-0.064,-,-,116.000
'85:05:28.824',-,-0.064,-,-,112.000
'85:05:28.832',-,-0.064,-,-,108.000
'85:05:28.840',-,-0.064,-,-,103.200
'85:05:28.848',-,-0.064,-,-,98.400
'85:05:28.856',-,-0.064,-,-,93.600
'85:05:28.864',-,-0.032,-,-,88.800
'85:05:28.872',-,-0.064,-,-,85.600
'85:05:28.880',-,-0.032,-,-,82.400
'85:05:28.888',-,-0.064,-,-,80.800
'85:05:28.896',-,-0.032,-,-,80.000
'85:05:28.904',-,-0.064,-,-,80.000
'85:05:28.912',-,-0.032,-,-,80.000
'85:05:28.920',-,-0.032,-,-,80.000
'85:05:28.928',-,-0.032,-,-,80.000
'85:05:28.936',-,-0.064,-,-,80.000
'85:05:28.944',-,-0.064,-,-,79.200
'85:05:28.952',-,-0.032,-,-,78.400
'85:05:28.960',-,0.000,-,-,77.600
'85:05:28.968',-,0.032,-,-,76.800
'85:05:28.976',-,0.032,-,-,76.000
'85:05:28.984',-,0.032,-,-,75.200
'85:05:28.992',-,0.000,-,-,74.400
'85:05:29.000',-,0.064,-,-,73.600
'85:05:29.008',-,0.064,-,-,72.800
'85:05:29.016',-,-0.096,-,-,72.000
'85:05:29.024',-,-0.288,-,-,72.000
'85:05:29.032',-,-0.384,-,-,71.200
'85:05:29.040',-,-0.416,-,-,70.400
'85:05:29.048',-,-0.320,-,-,69.600
'85:05:29.056',-,-0.192,-,-,69.600
'85:05:29.064',-,0.000,-,-,68.800
'85:05:29.072',-,0.224,-,-,68.000
'85:05:29.080',-,0.256,-,-,68.000
'85:05:29.088',-,0.032,-,-,67.200
'85:05:29.096',-,-0.064,-,-,66.400
