'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'1:41:18.736',-0.136,-,-0.040,139.080,61.600
'1:41:18.744',-0.096,-,-0.016,136.680,61.600
'1:41:18.752',-0.080,-,0.000,136.680,60.800
'1:41:18.760',-0.040,-,0.040,138.360,60.000
'1:41:18.768',0.000,-,0.040,138.360,59.200
'1:41:18.776',0.000,-,0.040,135.960,58.400
'1:41:18.784',0.016,-,0.040,132.720,57.600
'1:41:18.792',0.040,-,0.040,129.480,56.000
'1:41:18.800',0.040,-,0.040,125.520,54.400
'1:41:18.808',0.040,-,0.040,122.280,52.800
'1:41:18.816',0.016,-,0.040,118.320,51.200
'1:41:18.824',0.016,-,0.040,114.360,49.600
'1:41:18.832',0.016,-,0.040,110.280,48.800
'1:41:18.840',0.040,-,0.040,106.320,48.000
'1:41:18.848',0.040,-,0.040,102.360,46.400
'1:41:18.856',0.056,-,0.056,98.280,45.600
'1:41:18.864',0.080,-,0.080,94.320,44.800
'1:41:18.872',0.080,-,0.056,90.360,44.000
'1:41:18.880',0.120,-,0.080,87.120,43.200
'1:41:18.888',0.136,-,0.120,83.880,43.200
'1:41:18.896',0.216,-,0.120,81.480,43.200
'1:41:18.904',0.120,-,0.080,78.360,43.200
'1:41:18.912',0.080,-,0.080,76.680,44.000
'1:41:18.920',0.000,-,0.040,74.280,44.000
'1:41:18.928',0.000,-,0.000,71.880,44.000
'1:41:18.936',-0.016,-,0.016,70.320,43.200
'1:41:18.944',0.000,-,0.000,69.480,43.200
'1:41:18.952',-0.040,-,0.000,69.480,43.200
'1:41:18.960',-0.040,-,0.000,69.480,42.400
'1:41:18.968',-0.040,-,0.000,69.480,42.400
'1:41:18.976',-0.040,-,-0.016,69.480,42.400
'1:41:18.984',-0.040,-,0.000,70.320,41.600
'1:41:18.992',-0.040,-,0.000,71.160,41.600
'1:41:19.000',-0.040,-,0.000,71.880,40.800
'1:41:19.008',-0.040,-,-0.016,73.560,40.800
'1:41:19.016',0.000,-,0.000,74.280,40.000
'1:41:19.024',0.080,-,0.080,74.280,40.000
'1:41:19.032',0.216,-,0.240,75.120,39.200
'1:41:19.040',0.376,-,0.416,75.120,39.200
'1:41:19.048',0.480,-,0.536,75.120,38.400
'1:41:19.056',0.520,-,0.576,74.280,38.400
'1:41:19.064',0.480,-,0.520,74.280,38.400
'1:41:19.072',0.120,-,0.136,74.280,38.400
'1:41:19.080',0.000,-,-0.040,74.280,38.400
'1:41:19.088',-0.016,-,-0.096,74.280,38.400
'1:41:19.096',-0.136,-,-0.160,75.120,39.200
'1:41:19.104',-0.160,-,-0.176,75.120,40.000
'1:41:19.112',-0.176,-,-0.176,75.120,40.800
'1:41:19.120',-0.176,-,-0.176,75.120,42.400
'1:41:19.128',-0.160,-,-0.160,74.280,42.400
'1:41:19.136',-0.160,-,-0.136,73.560,43.200
