'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'121:15:00.896',-0.104,-0.140,-,-,-
'121:15:00.904',-0.112,-0.140,-,-,-
'121:15:00.912',-0.120,-0.175,-,-,-
'121:15:00.920',-0.096,-0.149,-,-,-
'121:15:00.928',-0.048,-0.105,-,-,-
'121:15:00.936',0.016,-0.018,-,-,-
'121:15:00.944',0.056,0.026,-,-,-
'121:15:00.952',0.072,0.053,-,-,-
'121:15:00.960',0.072,0.061,-,-,-
'121:15:00.968',0.064,0.053,-,-,-
'121:15:00.976',0.056,0.061,-,-,-
'121:15:00.984',0.056,0.053,-,-,-
'121:15:00.992',0.056,0.053,-,-,-
'121:15:01.000',0.056,0.053,-,-,-
'121:15:01.008',0.048,0.053,-,-,-
'121:15:01.016',0.040,0.044,-,-,-
'121:15:01.024',0.024,0.035,-,-,-
'121:15:01.032',0.024,0.018,-,-,-
'121:15:01.040',0.024,0.035,-,-,-
'121:15:01.048',0.000,0.009,-,-,-
'121:15:01.056',-0.008,0.018,-,-,-
'121:15:01.064',-0.016,-0.018,-,-,-
'121:15:01.072',-0.008,0.000,-,-,-
'121:15:01.080',-0.024,-0.018,-,-,-
'121:15:01.088',-0.056,-0.018,-,-,-
'121:15:01.096',-0.096,-0.061,-,-,-
'121:15:01.104',-0.128,-0.088,-,-,-
'121:15:01.112',-0.152,-0.132,-,-,-
'121:15:01.120',-0.160,-0.140,-,-,-
'121:15:01.128',-0.144,-0.158,-,-,-
'121:15:01.136',-0.096,-0.114,-,-,-
'121:15:01.144',-0.032,-0.061,-,-,-
'121:15:01.152',0.008,0.009,-,-,-
'121:15:01.160',0.032,0.035,-,-,-
'121:15:01.168',0.032,0.026,-,-,-
'121:15:01.176',0.024,0.053,-,-,-
'121:15:01.184',0.032,0.026,-,-,-
'121:15:01.192',0.040,0.053,-,-,-
'121:15:01.200',0.040,0.026,-,-,-
'121:15:01.208',0.032,0.044,-,-,-
'121:15:01.216',0.024,0.026,-,-,-
'121:15:01.224',0.016,0.044,-,-,-
'121:15:01.232',0.016,0.018,-,-,-
'121:15:01.240',0.016,0.026,-,-,-
'121:15:01.248',0.008,0.009,-,-,-
'121:15:01.256',0.000,0.018,-,-,-
'121:15:01.264',-0.016,-0.009,-,-,-
'121:15:01.272',-0.016,0.000,-,-,-
'121:15:01.280',-0.024,-0.018,-,-,-
'121:15:01.288',-0.040,0.000,-,-,-
'121:15:01.296',-0.056,-0.044,-,-,-
'121:15:01.304',-0.088,-0.053,-,-,-
'121:15:01.312',-0.120,-0.096,-,-,-
'121:15:01.320',-0.144,-0.114,-,-,-
'121:15:01.328',-0.160,-0.149,-,-,-
'121:15:01.336',-0.144,-0.158,-,-,-
'121:15:01.344',-0.112,-0.132,-,-,-
'121:15:01.352',-0.048,-0.061,-,-,-
'121:15:01.360',0.008,-0.009,-,-,-
'121:15:01.368',0.040,0.044,-,-,-
'121:15:01.376',0.040,0.053,-,-,-
'121:15:01.384',0.040,0.035,-,-,-
'121:15:01.392',0.048,0.053,-,-,-
'121:15:01.400',0.048,0.035,-,-,-
'121:15:01.408',0.048,0.061,-,-,-
'121:15:01.416',0.048,0.035,-,-,-
'121:15:01.424',0.040,0.053,-,-,-
'121:15:01.432',0.040,0.026,-,-,-
'121:15:01.440',0.008,0.044,-,-,-
'121:15:01.448',-0.040,-0.018,-,-,-
'121:15:01.456',-0.048,-0.096,-,-,-
'121:15:01.464',0.224,-0.114,-,-,-
'121:15:01.472',0.648,0.281,-,-,-
'121:15:01.480',0.832,0.781,-,-,-
'121:15:01.488',0.544,0.877,-,-,-
'121:15:01.496',0.104,0.254,-,-,-
'121:15:01.504',-0.128,-0.096,-,-,-
'121:15:01.512',-0.152,-0.184,-,-,-
'121:15:01.520',-0.136,-0.140,-,-,-
'121:15:01.528',-0.144,-0.140,-,-,-
'121:15:01.536',-0.152,-0.140,-,-,-
'121:15:01.544',-0.160,-0.175,-,-,-
'121:15:01.552',-0.144,-0.158,-,-,-
'121:15:01.560',-0.096,-0.140,-,-,-
'121:15:01.568',-0.032,-0.061,-,-,-
'121:15:01.576',0.016,0.000,-,-,-
'121:15:01.584',0.040,0.026,-,-,-
'121:15:01.592',0.048,0.044,-,-,-
'121:15:01.600',0.040,0.018,-,-,-
'121:15:01.608',0.048,0.035,-,-,-
'121:15:01.616',0.056,0.018,-,-,-
'121:15:01.624',0.048,0.035,-,-,-
'121:15:01.632',0.040,0.018,-,-,-
'121:15:01.640',0.032,0.018,-,-,-
'121:15:01.648',0.032,0.000,-,-,-
'121:15:01.656',0.024,0.018,-,-,-
'121:15:01.664',0.016,0.000,-,-,-
'121:15:01.672',0.008,0.000,-,-,-
'121:15:01.680',0.008,-0.018,-,-,-
'121:15:01.688',0.008,-0.009,-,-,-
'121:15:01.696',0.008,-0.026,-,-,-
'121:15:01.704',0.016,-0.009,-,-,-
'121:15:01.712',0.008,-0.026,-,-,-
'121:15:01.720',-0.016,-0.018,-,-,-
'121:15:01.728',-0.056,-0.070,-,-,-
'121:15:01.736',-0.096,-0.105,-,-,-
'121:15:01.744',-0.120,-0.149,-,-,-
'121:15:01.752',-0.128,-0.167,-,-,-
'121:15:01.760',-0.128,-0.149,-,-,-
'121:15:01.768',-0.096,-0.175,-,-,-
'121:15:01.776',-0.032,-0.096,-,-,-
'121:15:01.784',0.024,-0.018,-,-,-
'121:15:01.792',0.056,0.035,-,-,-
'121:15:01.800',0.064,0.053,-,-,-
'121:15:01.808',0.064,0.061,-,-,-
'121:15:01.816',0.056,0.053,-,-,-
'121:15:01.824',0.056,0.061,-,-,-
'121:15:01.832',0.048,0.044,-,-,-
'121:15:01.840',0.048,0.053,-,-,-
'121:15:01.848',0.032,0.035,-,-,-
'121:15:01.856',0.032,0.044,-,-,-
'121:15:01.864',0.024,0.035,-,-,-
'121:15:01.872',0.024,0.044,-,-,-
'121:15:01.880',0.016,0.018,-,-,-
'121:15:01.888',0.008,0.018,-,-,-
'121:15:01.896',0.008,0.009,-,-,-
'121:15:01.904',0.000,0.018,-,-,-
'121:15:01.912',0.000,0.000,-,-,-
'121:15:01.920',0.008,0.000,-,-,-
'121:15:01.928',0.008,0.000,-,-,-
'121:15:01.936',-0.040,0.000,-,-,-
'121:15:01.944',-0.104,-0.070,-,-,-
'121:15:01.952',-0.152,-0.105,-,-,-
'121:15:01.960',-0.168,-0.140,-,-,-
'121:15:01.968',-0.176,-0.149,-,-,-
'121:15:01.976',-0.128,-0.140,-,-,-
'121:15:01.984',-0.072,-0.096,-,-,-
'121:15:01.992',-0.040,-0.035,-,-,-
'121:15:02.000',-0.016,0.000,-,-,-
'121:15:02.008',0.008,0.026,-,-,-
'121:15:02.016',0.016,0.018,-,-,-
'121:15:02.024',0.024,0.044,-,-,-
'121:15:02.032',0.024,0.026,-,-,-
'121:15:02.040',0.016,0.044,-,-,-
'121:15:02.048',0.008,0.018,-,-,-
'121:15:02.056',0.000,0.026,-,-,-
'121:15:02.064',0.008,0.000,-,-,-
'121:15:02.072',0.008,0.026,-,-,-
'121:15:02.080',0.008,0.000,-,-,-
'121:15:02.088',0.000,0.018,-,-,-
