'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'84:57:50.320',-,0.000,-,-,76.000
'84:57:50.328',-,0.032,-,-,75.200
'84:57:50.336',-,0.256,-,-,74.400
'84:57:50.344',-,0.704,-,-,73.600
'84:57:50.352',-,0.736,-,-,72.800
'84:57:50.360',-,-0.064,-,-,72.000
'84:57:50.368',-,-0.384,-,-,71.200
'84:57:50.376',-,-0.416,-,-,70.400
'84:57:50.384',-,-0.320,-,-,69.600
'84:57:50.392',-,-0.192,-,-,69.600
'84:57:50.400',-,-0.128,-,-,68.800
'84:57:50.408',-,-0.096,-,-,68.000
'84:57:50.416',-,-0.064,-,-,67.200
'84:57:50.424',-,-0.064,-,-,67.200
'84:57:50.432',-,-0.064,-,-,66.400
'84:57:50.440',-,-0.064,-,-,65.600
'84:57:50.448',-,-0.032,-,-,65.600
'84:57:50.456',-,-0.032,-,-,68.000
'84:57:50.464',-,0.000,-,-,72.000
'84:57:50.472',-,0.000,-,-,81.600
'84:57:50.480',-,0.000,-,-,95.200
'84:57:50.488',-,0.000,-,-,112.000
'84:57:50.496',-,0.032,-,-,129.600
'84:57:50.504',-,0.064,-,-,143.200
'84:57:50.512',-,0.096,-,-,152.000
'84:57:50.520',-,0.128,-,-,156.000
'84:57:50.528',-,0.192,-,-,157.600
'84:57:50.536',-,0.192,-,-,157.600
'84:57:50.544',-,0.224,-,-,157.600
'84:57:50.552',-,0.192,-,-,157.600
'84:57:50.560',-,0.160,-,-,157.600
'84:57:50.568',-,0.128,-,-,157.600
'84:57:50.576',-,0.064,-,-,157.600
'84:57:50.584',-,0.000,-,-,156.800
'84:57:50.592',-,0.000,-,-,156.000
'84:57:50.600',-,-0.064,-,-,156.000
'84:57:50.608',-,-0.064,-,-,154.400
'84:57:50.616',-,-0.096,-,-,153.600
'84:57:50.624',-,-0.128,-,-,152.800
'84:57:50.632',-,-0.128,-,-,151.200
'84:57:50.640',-,-0.128,-,-,149.600
'84:57:50.648',-,-0.128,-,-,148.000
'84:57:50.656',-,-0.160,-,-,145.600
'84:57:50.664',-,-0.160,-,-,143.200
'84:57:50.672',-,-0.128,-,-,140.000
'84:57:50.680',-,-0.160,-,-,136.000
'84:57:50.688',-,-0.128,-,-,132.000
'84:57:50.696',-,-0.160,-,-,126.400
