'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'84:48:05.320',-,-0.128,-,-,80.000
'84:48:05.328',-,-0.096,-,-,79.200
'84:48:05.336',-,-0.096,-,-,78.400
'84:48:05.344',-,-0.096,-,-,77.600
'84:48:05.352',-,-0.096,-,-,77.600
'84:48:05.360',-,-0.064,-,-,77.600
'84:48:05.368',-,-0.064,-,-,76.800
'84:48:05.376',-,-0.064,-,-,76.800
'84:48:05.384',-,-0.064,-,-,76.000
'84:48:05.392',-,-0.032,-,-,75.200
'84:48:05.400',-,0.000,-,-,73.600
'84:48:05.408',-,0.000,-,-,72.800
'84:48:05.416',-,0.000,-,-,72.000
'84:48:05.424',-,0.000,-,-,71.200
'84:48:05.432',-,0.000,-,-,70.400
'84:48:05.440',-,0.000,-,-,69.600
'84:48:05.448',-,0.000,-,-,68.800
'84:48:05.456',-,-0.032,-,-,68.000
'84:48:05.464',-,-0.064,-,-,67.200
'84:48:05.472',-,-0.064,-,-,66.400
'84:48:05.480',-,-0.064,-,-,65.600
'84:48:05.488',-,-0.064,-,-,65.600
'84:48:05.496',-,-0.064,-,-,64.800
'84:48:05.504',-,0.000,-,-,64.000
'84:48:05.512',-,0.192,-,-,64.000
'84:48:05.520',-,0.672,-,-,63.200
'84:48:05.528',-,0.768,-,-,63.200
'84:48:05.536',-,0.064,-,-,62.400
'84:48:05.544',-,-0.352,-,-,61.600
'84:48:05.552',-,-0.416,-,-,61.600
'84:48:05.560',-,-0.320,-,-,60.800
'84:48:05.568',-,-0.192,-,-,60.000
'84:48:05.576',-,-0.128,-,-,60.000
'84:48:05.584',-,-0.064,-,-,59.200
'84:48:05.592',-,-0.064,-,-,59.200
'84:48:05.600',-,-0.064,-,-,58.400
'84:48:05.608',-,-0.032,-,-,58.400
'84:48:05.616',-,-0.032,-,-,57.600
'84:48:05.624',-,-0.032,-,-,57.600
'84:48:05.632',-,0.000,-,-,57.600
'84:48:05.640',-,0.000,-,-,58.400
'84:48:05.648',-,0.000,-,-,60.800
'84:48:05.656',-,0.000,-,-,66.400
'84:48:05.664',-,0.000,-,-,76.000
'84:48:05.672',-,0.000,-,-,88.800
'84:48:05.680',-,0.032,-,-,102.400
'84:48:05.688',-,0.064,-,-,115.200
'84:48:05.696',-,0.064,-,-,124.800
'84:48:05.704',-,0.128,-,-,131.200
'84:48:05.712',-,0.160,-,-,134.400
'84:48:05.720',-,0.192,-,-,135.200
'84:48:05.728',-,0.192,-,-,136.000
'84:48:05.736',-,0.224,-,-,136.800
'84:48:05.744',-,0.192,-,-,136.800
'84:48:05.752',-,0.128,-,-,137.600
'84:48:05.760',-,0.096,-,-,137.600
'84:48:05.768',-,0.032,-,-,137.600
'84:48:05.776',-,0.000,-,-,136.800
'84:48:05.784',-,-0.032,-,-,136.000
'84:48:05.792',-,-0.064,-,-,135.200
'84:48:05.800',-,-0.096,-,-,134.400
'84:48:05.808',-,-0.128,-,-,132.800
'84:48:05.816',-,-0.128,-,-,132.000
'84:48:05.824',-,-0.160,-,-,130.400
'84:48:05.832',-,-0.160,-,-,129.600
'84:48:05.840',-,-0.128,-,-,127.200
'84:48:05.848',-,-0.160,-,-,125.600
'84:48:05.856',-,-0.128,-,-,123.200
'84:48:05.864',-,-0.160,-,-,120.800
'84:48:05.872',-,-0.160,-,-,117.600
'84:48:05.880',-,-0.128,-,-,113.600
'84:48:05.888',-,-0.128,-,-,109.600
'84:48:05.896',-,-0.160,-,-,105.600
'84:48:05.904',-,-0.128,-,-,100.800
'84:48:05.912',-,-0.128,-,-,96.000
'84:48:05.920',-,-0.096,-,-,91.200
'84:48:05.928',-,-0.096,-,-,86.400
'84:48:05.936',-,-0.096,-,-,83.200
'84:48:05.944',-,-0.064,-,-,80.000
'84:48:05.952',-,-0.064,-,-,78.400
'84:48:05.960',-,-0.064,-,-,77.600
'84:48:05.968',-,-0.064,-,-,76.800
'84:48:05.976',-,-0.064,-,-,76.800
'84:48:05.984',-,-0.032,-,-,76.800
'84:48:05.992',-,-0.032,-,-,76.800
'84:48:06.000',-,0.000,-,-,76.800
'84:48:06.008',-,0.000,-,-,76.000
'84:48:06.016',-,0.000,-,-,75.200
'84:48:06.024',-,0.000,-,-,74.400
'84:48:06.032',-,0.032,-,-,73.600
'84:48:06.040',-,0.032,-,-,72.800
'84:48:06.048',-,0.064,-,-,72.000
'84:48:06.056',-,0.064,-,-,71.200
'84:48:06.064',-,0.064,-,-,70.400
'84:48:06.072',-,0.064,-,-,69.600
'84:48:06.080',-,0.032,-,-,68.800
'84:48:06.088',-,0.000,-,-,68.000
