'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'144:54:07.536',-,-4.624,-,-,-
'144:54:07.544',-,-4.576,-,-,-
'144:54:07.552',-,-4.520,-,-,-
'144:54:07.560',-,-4.520,-,-,-
'144:54:07.568',-,-4.472,-,-,-
'144:54:07.576',-,-4.472,-,-,-
'144:54:07.584',-,-4.416,-,-,-
'144:54:07.592',-,-4.416,-,-,-
'144:54:07.600',-,-4.368,-,-,-
'144:54:07.608',-,-4.368,-,-,-
'144:54:07.616',-,-4.312,-,-,-
'144:54:07.624',-,-4.312,-,-,-
'144:54:07.632',-,-4.256,-,-,-
'144:54:07.640',-,-4.256,-,-,-
'144:54:07.648',-,-4.208,-,-,-
'144:54:07.656',-,-4.208,-,-,-
'144:54:07.664',-,-4.152,-,-,-
'144:54:07.672',-,-4.152,-,-,-
'144:54:07.680',-,-4.104,-,-,-
'144:54:07.688',-,-4.048,-,-,-
'144:54:07.696',-,-4.048,-,-,-
'144:54:07.704',-,-3.992,-,-,-
'144:54:07.712',-,-3.992,-,-,-
'144:54:07.720',-,-3.944,-,-,-
'144:54:07.728',-,-3.944,-,-,-
'144:54:07.736',-,-3.888,-,-,-
'144:54:07.744',-,-3.888,-,-,-
'144:54:07.752',-,-3.840,-,-,-
'144:54:07.760',-,-3.784,-,-,-
'144:54:07.768',-,-3.736,-,-,-
'144:54:07.776',-,-3.736,-,-,-
'144:54:07.784',-,-3.680,-,-,-
'144:54:07.792',-,-3.624,-,-,-
'144:54:07.800',-,-3.624,-,-,-
'144:54:07.808',-,-3.624,-,-,-
'144:54:07.816',-,-3.624,-,-,-
'144:54:07.824',-,-3.576,-,-,-
'144:54:07.832',-,-3.576,-,-,-
'144:54:07.840',-,-3.576,-,-,-
'144:54:07.848',-,-3.576,-,-,-
'144:54:07.856',-,-3.576,-,-,-
'144:54:07.864',-,-3.520,-,-,-
'144:54:07.872',-,-3.520,-,-,-
'144:54:07.880',-,-3.520,-,-,-
'144:54:07.888',-,-3.520,-,-,-
'144:54:07.896',-,-3.520,-,-,-
'144:54:07.904',-,-3.472,-,-,-
'144:54:07.912',-,-3.472,-,-,-
'144:54:07.920',-,-3.472,-,-,-
'144:54:07.928',-,-3.472,-,-,-
'144:54:07.936',-,-3.472,-,-,-
'144:54:07.944',-,-3.472,-,-,-
'144:54:07.952',-,-3.472,-,-,-
'144:54:07.960',-,-3.472,-,-,-
'144:54:07.968',-,-3.472,-,-,-
'144:54:07.976',-,-3.472,-,-,-
'144:54:07.984',-,-3.472,-,-,-
'144:54:07.992',-,-3.416,-,-,-
'144:54:08.000',-,-3.416,-,-,-
'144:54:08.008',-,-3.416,-,-,-
'144:54:08.016',-,-3.472,-,-,-
'144:54:08.024',-,-3.472,-,-,-
'144:54:08.032',-,-3.472,-,-,-
'144:54:08.040',-,-3.520,-,-,-
'144:54:08.048',-,-3.520,-,-,-
'144:54:08.056',-,-3.520,-,-,-
'144:54:08.064',-,-3.520,-,-,-
'144:54:08.072',-,-3.520,-,-,-
'144:54:08.080',-,-3.520,-,-,-
'144:54:08.088',-,-3.520,-,-,-
'144:54:08.096',-,-3.576,-,-,-
'144:54:08.104',-,-3.576,-,-,-
'144:54:08.112',-,-3.576,-,-,-
'144:54:08.120',-,-3.576,-,-,-
'144:54:08.128',-,-3.576,-,-,-
'144:54:08.136',-,-3.624,-,-,-
'144:54:08.144',-,-3.624,-,-,-
'144:54:08.152',-,-3.680,-,-,-
'144:54:08.160',-,-3.736,-,-,-
'144:54:08.168',-,-3.784,-,-,-
'144:54:08.176',-,-3.840,-,-,-
'144:54:08.184',-,-3.888,-,-,-
'144:54:08.192',-,-3.944,-,-,-
'144:54:08.200',-,-3.992,-,-,-
'144:54:08.208',-,-4.048,-,-,-
'144:54:08.216',-,-4.104,-,-,-
'144:54:08.224',-,-4.152,-,-,-
'144:54:08.232',-,-4.208,-,-,-
'144:54:08.240',-,-4.256,-,-,-
'144:54:08.248',-,-4.256,-,-,-
'144:54:08.256',-,-4.312,-,-,-
'144:54:08.264',-,-4.312,-,-,-
'144:54:08.272',-,-4.312,-,-,-
'144:54:08.280',-,-4.312,-,-,-
'144:54:08.288',-,-4.256,-,-,-
'144:54:08.296',-,-4.256,-,-,-
'144:54:08.304',-,-4.256,-,-,-
'144:54:08.312',-,-4.208,-,-,-
'144:54:08.320',-,-4.208,-,-,-
'144:54:08.328',-,-4.208,-,-,-
'144:54:08.336',-,-4.152,-,-,-
'144:54:08.344',-,-4.152,-,-,-
'144:54:08.352',-,-4.152,-,-,-
'144:54:08.360',-,-4.152,-,-,-
'144:54:08.368',-,-4.152,-,-,-
'144:54:08.376',-,-4.152,-,-,-
'144:54:08.384',-,-4.152,-,-,-
'144:54:08.392',-,-4.152,-,-,-
'144:54:08.400',-,-4.152,-,-,-
'144:54:08.408',-,-4.104,-,-,-
'144:54:08.416',-,-4.104,-,-,-
'144:54:08.424',-,-4.104,-,-,-
'144:54:08.432',-,-4.104,-,-,-
'144:54:08.440',-,-4.104,-,-,-
'144:54:08.448',-,-4.104,-,-,-
'144:54:08.456',-,-4.104,-,-,-
'144:54:08.464',-,-4.104,-,-,-
'144:54:08.472',-,-4.104,-,-,-
'144:54:08.480',-,-4.048,-,-,-
'144:54:08.488',-,-4.048,-,-,-
'144:54:08.496',-,-4.048,-,-,-
'144:54:08.504',-,-4.048,-,-,-
'144:54:08.512',-,-4.104,-,-,-
'144:54:08.520',-,-4.104,-,-,-
'144:54:08.528',-,-4.104,-,-,-
'144:54:08.536',-,-4.104,-,-,-
'144:54:08.544',-,-4.152,-,-,-
'144:54:08.552',-,-4.152,-,-,-
'144:54:08.560',-,-4.152,-,-,-
'144:54:08.568',-,-4.208,-,-,-
'144:54:08.576',-,-4.208,-,-,-
'144:54:08.584',-,-4.256,-,-,-
'144:54:08.592',-,-4.256,-,-,-
'144:54:08.600',-,-4.256,-,-,-
'144:54:08.608',-,-4.256,-,-,-
'144:54:08.616',-,-4.208,-,-,-
'144:54:08.624',-,-4.208,-,-,-
'144:54:08.632',-,-4.208,-,-,-
'144:54:08.640',-,-4.208,-,-,-
'144:54:08.648',-,-4.152,-,-,-
'144:54:08.656',-,-4.104,-,-,-
