'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'120:58:52.896',0.048,0.070,-,-,-
'120:58:52.904',0.040,0.044,-,-,-
'120:58:52.912',0.040,0.070,-,-,-
'120:58:52.920',0.040,0.044,-,-,-
'120:58:52.928',0.032,0.044,-,-,-
'120:58:52.936',0.024,0.026,-,-,-
'120:58:52.944',0.016,0.035,-,-,-
'120:58:52.952',0.008,0.018,-,-,-
'120:58:52.960',0.008,0.035,-,-,-
'120:58:52.968',0.008,0.044,-,-,-
'120:58:52.976',0.000,0.018,-,-,-
'120:58:52.984',-0.008,0.026,-,-,-
'120:58:52.992',-0.024,0.009,-,-,-
'120:58:53.000',-0.032,-0.009,-,-,-
'120:58:53.008',-0.040,-0.009,-,-,-
'120:58:53.016',-0.040,0.000,-,-,-
'120:58:53.024',-0.048,-0.018,-,-,-
'120:58:53.032',-0.080,-0.061,-,-,-
'120:58:53.040',-0.120,-0.070,-,-,-
'120:58:53.048',-0.144,-0.123,-,-,-
'120:58:53.056',-0.152,-0.132,-,-,-
'120:58:53.064',-0.160,-0.140,-,-,-
'120:58:53.072',-0.152,-0.140,-,-,-
'120:58:53.080',-0.104,-0.114,-,-,-
'120:58:53.088',-0.040,-0.053,-,-,-
'120:58:53.096',0.000,0.009,-,-,-
'120:58:53.104',0.016,0.000,-,-,-
'120:58:53.112',0.032,0.044,-,-,-
'120:58:53.120',0.064,0.026,-,-,-
'120:58:53.128',0.080,0.079,-,-,-
'120:58:53.136',0.040,0.035,-,-,-
'120:58:53.144',0.008,0.018,-,-,-
'120:58:53.152',0.008,0.018,-,-,-
'120:58:53.160',0.024,0.018,-,-,-
'120:58:53.168',0.016,0.035,-,-,-
'120:58:53.176',0.000,0.018,-,-,-
'120:58:53.184',-0.008,0.026,-,-,-
'120:58:53.192',-0.048,0.000,-,-,-
'120:58:53.200',-0.088,-0.096,-,-,-
'120:58:53.208',0.040,-0.132,-,-,-
'120:58:53.216',0.432,0.035,-,-,-
'120:58:53.224',0.784,0.570,-,-,-
'120:58:53.232',0.800,0.842,-,-,-
'120:58:53.240',0.264,0.439,-,-,-
'120:58:53.248',-0.080,0.009,-,-,-
'120:58:53.256',-0.184,-0.184,-,-,-
'120:58:53.264',-0.160,-0.211,-,-,-
'120:58:53.272',-0.152,-0.158,-,-,-
'120:58:53.280',-0.152,-0.167,-,-,-
'120:58:53.288',-0.128,-0.140,-,-,-
'120:58:53.296',-0.080,-0.096,-,-,-
'120:58:53.304',-0.016,-0.035,-,-,-
'120:58:53.312',0.024,0.009,-,-,-
'120:58:53.320',0.048,0.061,-,-,-
'120:58:53.328',0.064,0.070,-,-,-
'120:58:53.336',0.064,0.026,-,-,-
'120:58:53.344',0.048,0.018,-,-,-
'120:58:53.352',0.056,0.035,-,-,-
'120:58:53.360',0.048,0.018,-,-,-
'120:58:53.368',0.048,0.026,-,-,-
'120:58:53.376',0.040,0.018,-,-,-
'120:58:53.384',0.032,0.035,-,-,-
'120:58:53.392',0.024,0.009,-,-,-
'120:58:53.400',0.024,0.026,-,-,-
'120:58:53.408',0.024,0.018,-,-,-
'120:58:53.416',0.024,0.000,-,-,-
'120:58:53.424',0.016,0.000,-,-,-
'120:58:53.432',0.008,-0.018,-,-,-
'120:58:53.440',0.008,0.000,-,-,-
'120:58:53.448',-0.016,-0.053,-,-,-
'120:58:53.456',-0.032,-0.035,-,-,-
'120:58:53.464',-0.064,-0.096,-,-,-
'120:58:53.472',-0.104,-0.114,-,-,-
'120:58:53.480',-0.136,-0.105,-,-,-
'120:58:53.488',-0.144,-0.193,-,-,-
'120:58:53.496',-0.144,-0.158,-,-,-
'120:58:53.504',-0.112,-0.140,-,-,-
'120:58:53.512',-0.056,-0.096,-,-,-
'120:58:53.520',0.000,-0.009,-,-,-
'120:58:53.528',0.040,0.018,-,-,-
'120:58:53.536',0.056,0.044,-,-,-
'120:58:53.544',0.056,0.079,-,-,-
'120:58:53.552',0.056,0.053,-,-,-
'120:58:53.560',0.064,0.070,-,-,-
'120:58:53.568',0.064,0.070,-,-,-
'120:58:53.576',0.056,0.088,-,-,-
'120:58:53.584',0.064,0.044,-,-,-
'120:58:53.592',0.072,0.079,-,-,-
'120:58:53.600',0.056,0.088,-,-,-
'120:58:53.608',0.032,0.044,-,-,-
'120:58:53.616',0.016,0.018,-,-,-
'120:58:53.624',0.008,0.009,-,-,-
'120:58:53.632',0.008,0.018,-,-,-
'120:58:53.640',0.008,0.000,-,-,-
'120:58:53.648',0.008,0.035,-,-,-
'120:58:53.656',-0.008,0.009,-,-,-
'120:58:53.664',-0.040,-0.009,-,-,-
'120:58:53.672',-0.120,-0.061,-,-,-
'120:58:53.680',-0.144,-0.175,-,-,-
'120:58:53.688',0.096,-0.211,-,-,-
'120:58:53.696',0.496,0.158,-,-,-
'120:58:53.704',0.640,0.632,-,-,-
'120:58:53.712',0.368,0.684,-,-,-
'120:58:53.720',0.024,0.167,-,-,-
'120:58:53.728',-0.112,-0.088,-,-,-
'120:58:53.736',-0.064,-0.132,-,-,-
'120:58:53.744',0.008,-0.018,-,-,-
'120:58:53.752',0.032,0.009,-,-,-
'120:58:53.760',0.040,0.053,-,-,-
'120:58:53.768',0.048,0.018,-,-,-
'120:58:53.776',0.048,0.026,-,-,-
'120:58:53.784',0.048,0.035,-,-,-
'120:58:53.792',0.032,0.018,-,-,-
'120:58:53.800',0.024,0.009,-,-,-
'120:58:53.808',0.032,0.044,-,-,-
'120:58:53.816',0.040,0.000,-,-,-
'120:58:53.824',0.032,0.018,-,-,-
'120:58:53.832',0.008,0.009,-,-,-
'120:58:53.840',0.000,-0.018,-,-,-
'120:58:53.848',0.008,-0.009,-,-,-
'120:58:53.856',0.008,-0.018,-,-,-
'120:58:53.864',0.008,0.018,-,-,-
'120:58:53.872',-0.008,-0.026,-,-,-
'120:58:53.880',-0.016,-0.018,-,-,-
'120:58:53.888',-0.040,-0.053,-,-,-
'120:58:53.896',-0.080,-0.096,-,-,-
'120:58:53.904',-0.120,-0.132,-,-,-
'120:58:53.912',-0.136,-0.132,-,-,-
'120:58:53.920',-0.144,-0.149,-,-,-
'120:58:53.928',-0.144,-0.167,-,-,-
'120:58:53.936',-0.096,-0.175,-,-,-
'120:58:53.944',-0.016,-0.061,-,-,-
'120:58:53.952',0.048,0.018,-,-,-
'120:58:53.960',0.064,0.061,-,-,-
'120:58:53.968',0.072,0.035,-,-,-
'120:58:53.976',0.088,0.088,-,-,-
'120:58:53.984',0.088,0.070,-,-,-
'120:58:53.992',0.072,0.061,-,-,-
'120:58:54.000',0.072,0.053,-,-,-
'120:58:54.008',0.072,0.079,-,-,-
'120:58:54.016',0.064,0.053,-,-,-
