'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'84:58:05.320',-,-0.064,-,-,180.000
'84:58:05.328',-,-0.096,-,-,180.000
'84:58:05.336',-,0.000,-,-,180.000
'84:58:05.344',-,0.000,-,-,180.000
'84:58:05.352',-,0.064,-,-,180.000
'84:58:05.360',-,0.096,-,-,180.000
'84:58:05.368',-,0.064,-,-,180.000
'84:58:05.376',-,0.096,-,-,180.000
'84:58:05.384',-,0.064,-,-,180.000
'84:58:05.392',-,0.096,-,-,180.000
'84:58:05.400',-,0.032,-,-,180.000
'84:58:05.408',-,0.000,-,-,180.000
'84:58:05.416',-,-0.096,-,-,180.000
'84:58:05.424',-,-0.064,-,-,180.000
'84:58:05.432',-,-0.128,-,-,180.000
'84:58:05.440',-,-0.160,-,-,180.000
'84:58:05.448',-,-0.128,-,-,180.000
'84:58:05.456',-,-0.160,-,-,180.000
'84:58:05.464',-,-0.160,-,-,180.000
'84:58:05.472',-,-0.224,-,-,180.000
'84:58:05.480',-,-0.160,-,-,180.000
'84:58:05.488',-,-0.064,-,-,180.000
'84:58:05.496',-,-0.160,-,-,176.000
'84:58:05.504',-,-0.160,-,-,172.000
'84:58:05.512',-,-0.128,-,-,167.200
'84:58:05.520',-,-0.160,-,-,161.600
'84:58:05.528',-,-0.064,-,-,155.200
'84:58:05.536',-,-0.128,-,-,148.800
'84:58:05.544',-,-0.096,-,-,141.600
'84:58:05.552',-,-0.128,-,-,136.000
'84:58:05.560',-,0.000,-,-,131.200
'84:58:05.568',-,-0.096,-,-,128.000
'84:58:05.576',-,-0.032,-,-,127.200
'84:58:05.584',-,-0.032,-,-,127.200
'84:58:05.592',-,-0.064,-,-,128.000
'84:58:05.600',-,-0.064,-,-,128.800
'84:58:05.608',-,-0.032,-,-,128.800
'84:58:05.616',-,0.000,-,-,128.000
'84:58:05.624',-,0.000,-,-,127.200
'84:58:05.632',-,0.032,-,-,125.600
'84:58:05.640',-,0.000,-,-,124.800
'84:58:05.648',-,0.000,-,-,123.200
'84:58:05.656',-,0.064,-,-,121.600
'84:58:05.664',-,0.064,-,-,120.800
'84:58:05.672',-,0.000,-,-,119.200
'84:58:05.680',-,0.000,-,-,118.400
'84:58:05.688',-,-0.064,-,-,116.800
'84:58:05.696',-,-0.128,-,-,116.000
'84:58:05.704',-,-0.096,-,-,115.200
'84:58:05.712',-,-0.128,-,-,113.600
'84:58:05.720',-,-0.096,-,-,112.000
'84:58:05.728',-,-0.064,-,-,111.200
'84:58:05.736',-,0.128,-,-,109.600
'84:58:05.744',-,0.512,-,-,107.200
'84:58:05.752',-,0.576,-,-,105.600
'84:58:05.760',-,0.000,-,-,104.000
'84:58:05.768',-,-0.320,-,-,102.400
'84:58:05.776',-,-0.416,-,-,101.600
'84:58:05.784',-,-0.288,-,-,100.000
