'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:20:21.784',0.073,-,-,0.020,128.800,-
'25:20:21.792',0.049,-,-,0.040,128.000,-
'25:20:21.800',0.024,-,-,0.020,126.400,-
'25:20:21.808',0.024,-,-,0.020,124.800,-
'25:20:21.816',0.000,-,-,0.000,122.400,-
'25:20:21.824',-0.012,-,-,0.000,119.200,-
'25:20:21.832',-0.024,-,-,-0.020,116.800,-
'25:20:21.840',-0.037,-,-,-0.040,113.600,-
'25:20:21.848',-0.049,-,-,-0.040,111.200,-
'25:20:21.856',-0.049,-,-,-0.060,108.800,-
'25:20:21.864',-0.061,-,-,-0.040,104.800,-
'25:20:21.872',-0.061,-,-,-0.080,100.800,-
'25:20:21.880',-0.061,-,-,-0.080,96.800,-
'25:20:21.888',-0.037,-,-,-0.060,93.600,-
'25:20:21.896',-0.024,-,-,-0.040,91.200,-
'25:20:21.904',-0.024,-,-,-0.040,88.800,-
'25:20:21.912',-0.024,-,-,-0.040,86.400,-
'25:20:21.920',-0.012,-,-,-0.060,84.800,-
'25:20:21.928',-0.024,-,-,-0.040,84.000,-
'25:20:21.936',0.000,-,-,-0.040,82.400,-
'25:20:21.944',0.000,-,-,-0.060,81.600,-
'25:20:21.952',-0.024,-,-,-0.080,80.800,-
'25:20:21.960',-0.012,-,-,-0.080,80.800,-
'25:20:21.968',-0.061,-,-,-0.100,80.800,-
'25:20:21.976',-0.061,-,-,-0.100,80.000,-
'25:20:21.984',-0.073,-,-,-0.100,80.000,-
'25:20:21.992',-0.061,-,-,-0.100,79.200,-
'25:20:22.000',-0.085,-,-,-0.100,78.400,-
'25:20:22.008',-0.073,-,-,-0.100,77.600,-
'25:20:22.016',-0.085,-,-,-0.100,78.400,-
'25:20:22.024',-0.073,-,-,-0.100,80.000,-
'25:20:22.032',-0.085,-,-,-0.100,80.800,-
'25:20:22.040',-0.085,-,-,-0.100,80.000,-
'25:20:22.048',-0.073,-,-,-0.100,79.200,-
'25:20:22.056',-0.085,-,-,-0.100,77.600,-
'25:20:22.064',-0.061,-,-,-0.080,76.000,-
'25:20:22.072',-0.073,-,-,-0.080,75.200,-
'25:20:22.080',-0.061,-,-,-0.060,73.600,-
'25:20:22.088',-0.122,-,-,-0.080,72.800,-
'25:20:22.096',-0.085,-,-,-0.040,72.000,-
'25:20:22.104',0.073,-,-,0.120,72.000,-
'25:20:22.112',0.415,-,-,0.560,72.000,-
'25:20:22.120',0.585,-,-,0.900,72.000,-
'25:20:22.128',0.305,-,-,0.560,71.200,-
'25:20:22.136',0.061,-,-,0.260,70.400,-
'25:20:22.144',0.049,-,-,0.260,69.600,-
