'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:21:42.784',-0.037,-,-,-0.060,77.600,-
'25:21:42.792',-0.049,-,-,-0.060,76.800,-
'25:21:42.800',-0.037,-,-,-0.060,76.800,-
'25:21:42.808',-0.049,-,-,-0.060,76.000,-
'25:21:42.816',-0.024,-,-,-0.040,76.000,-
'25:21:42.824',-0.049,-,-,-0.040,76.000,-
'25:21:42.832',-0.037,-,-,-0.040,76.000,-
'25:21:42.840',-0.049,-,-,-0.040,76.000,-
'25:21:42.848',-0.037,-,-,-0.040,76.000,-
'25:21:42.856',-0.061,-,-,-0.040,75.200,-
'25:21:42.864',-0.049,-,-,-0.040,75.200,-
'25:21:42.872',-0.024,-,-,-0.040,74.400,-
'25:21:42.880',-0.049,-,-,-0.040,74.400,-
'25:21:42.888',-0.085,-,-,-0.040,74.400,-
'25:21:42.896',-0.122,-,-,0.000,74.400,-
'25:21:42.904',0.122,-,-,0.180,74.400,-
'25:21:42.912',0.451,-,-,0.560,73.600,-
'25:21:42.920',0.671,-,-,0.880,73.600,-
'25:21:42.928',0.378,-,-,0.560,72.800,-
'25:21:42.936',0.085,-,-,0.260,72.800,-
'25:21:42.944',0.061,-,-,0.240,72.800,-
'25:21:42.952',0.085,-,-,0.340,72.000,-
'25:21:42.960',0.049,-,-,0.340,72.000,-
'25:21:42.968',-0.024,-,-,0.280,71.200,-
'25:21:42.976',-0.037,-,-,0.200,71.200,-
'25:21:42.984',0.000,-,-,0.120,70.400,-
'25:21:42.992',0.012,-,-,0.040,69.600,-
'25:21:43.000',0.000,-,-,0.020,69.600,-
'25:21:43.008',0.000,-,-,0.000,68.800,-
'25:21:43.016',0.012,-,-,0.000,68.800,-
'25:21:43.024',0.000,-,-,-0.020,68.800,-
'25:21:43.032',0.000,-,-,-0.020,70.400,-
'25:21:43.040',0.000,-,-,-0.020,72.800,-
'25:21:43.048',0.000,-,-,-0.020,78.400,-
'25:21:43.056',0.000,-,-,-0.020,84.800,-
'25:21:43.064',0.000,-,-,0.000,92.800,-
'25:21:43.072',0.000,-,-,-0.020,101.600,-
'25:21:43.080',0.012,-,-,0.000,111.200,-
'25:21:43.088',0.024,-,-,0.000,120.000,-
'25:21:43.096',0.012,-,-,0.000,128.800,-
'25:21:43.104',0.024,-,-,0.000,136.800,-
'25:21:43.112',0.037,-,-,0.000,144.000,-
'25:21:43.120',0.049,-,-,0.000,149.600,-
'25:21:43.128',0.037,-,-,0.000,153.600,-
'25:21:43.136',0.061,-,-,0.000,156.000,-
'25:21:43.144',0.073,-,-,0.020,157.600,-
'25:21:43.152',0.110,-,-,0.040,158.400,-
'25:21:43.160',0.110,-,-,0.040,158.400,-
'25:21:43.168',0.122,-,-,0.040,158.400,-
'25:21:43.176',0.110,-,-,0.060,157.600,-
'25:21:43.184',0.085,-,-,0.060,156.000,-
'25:21:43.192',0.110,-,-,0.080,155.200,-
'25:21:43.200',0.049,-,-,0.060,153.600,-
'25:21:43.208',0.049,-,-,0.040,152.800,-
'25:21:43.216',0.024,-,-,0.040,151.200,-
'25:21:43.224',0.012,-,-,0.020,149.600,-
'25:21:43.232',0.000,-,-,0.000,148.000,-
'25:21:43.240',-0.024,-,-,-0.020,145.600,-
'25:21:43.248',-0.037,-,-,-0.040,143.200,-
'25:21:43.256',-0.024,-,-,-0.040,139.200,-
'25:21:43.264',-0.061,-,-,-0.060,135.200,-
'25:21:43.272',-0.049,-,-,-0.040,130.400,-
'25:21:43.280',-0.061,-,-,-0.060,125.600,-
'25:21:43.288',-0.049,-,-,-0.080,120.800,-
'25:21:43.296',-0.061,-,-,-0.080,116.000,-
'25:21:43.304',-0.049,-,-,-0.080,112.800,-
'25:21:43.312',-0.061,-,-,-0.080,110.400,-
'25:21:43.320',-0.073,-,-,-0.080,108.000,-
'25:21:43.328',-0.061,-,-,-0.080,106.400,-
'25:21:43.336',-0.061,-,-,-0.080,104.800,-
'25:21:43.344',-0.061,-,-,-0.080,104.000,-
'25:21:43.352',-0.061,-,-,-0.080,103.200,-
'25:21:43.360',-0.061,-,-,-0.080,103.200,-
'25:21:43.368',-0.073,-,-,-0.080,102.400,-
'25:21:43.376',-0.061,-,-,-0.080,102.400,-
'25:21:43.384',-0.061,-,-,-0.080,102.400,-
'25:21:43.392',-0.061,-,-,-0.080,101.600,-
'25:21:43.400',-0.061,-,-,-0.080,101.600,-
'25:21:43.408',-0.061,-,-,-0.080,100.800,-
'25:21:43.416',-0.061,-,-,-0.100,100.000,-
'25:21:43.424',-0.085,-,-,-0.080,99.200,-
'25:21:43.432',-0.061,-,-,-0.100,98.400,-
'25:21:43.440',-0.061,-,-,-0.100,96.800,-
'25:21:43.448',-0.061,-,-,-0.100,96.000,-
'25:21:43.456',-0.061,-,-,-0.100,95.200,-
'25:21:43.464',-0.061,-,-,-0.100,93.600,-
'25:21:43.472',-0.061,-,-,-0.100,92.000,-
'25:21:43.480',-0.061,-,-,-0.100,91.200,-
'25:21:43.488',-0.061,-,-,-0.100,90.400,-
'25:21:43.496',-0.061,-,-,-0.080,90.400,-
'25:21:43.504',-0.061,-,-,-0.080,89.600,-
'25:21:43.512',-0.061,-,-,-0.080,88.800,-
'25:21:43.520',-0.061,-,-,-0.080,88.000,-
'25:21:43.528',-0.061,-,-,-0.100,88.000,-
'25:21:43.536',-0.037,-,-,-0.100,88.000,-
'25:21:43.544',-0.049,-,-,-0.100,88.000,-
'25:21:43.552',-0.024,-,-,-0.100,87.200,-
'25:21:43.560',-0.049,-,-,-0.100,86.400,-
'25:21:43.568',-0.037,-,-,-0.100,84.800,-
'25:21:43.576',-0.061,-,-,-0.080,84.000,-
'25:21:43.584',-0.061,-,-,-0.100,83.200,-
'25:21:43.592',-0.049,-,-,-0.080,83.200,-
'25:21:43.600',-0.061,-,-,-0.080,83.200,-
'25:21:43.608',-0.061,-,-,-0.080,83.200,-
'25:21:43.616',-0.049,-,-,-0.080,82.400,-
'25:21:43.624',-0.061,-,-,-0.080,81.600,-
