'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'144:50:13.536',-,2.680,-,-,-
'144:50:13.544',-,2.784,-,-,-
'144:50:13.552',-,2.840,-,-,-
'144:50:13.560',-,2.944,-,-,-
'144:50:13.568',-,2.992,-,-,-
'144:50:13.576',-,3.048,-,-,-
'144:50:13.584',-,3.104,-,-,-
'144:50:13.592',-,3.152,-,-,-
'144:50:13.600',-,3.208,-,-,-
'144:50:13.608',-,3.256,-,-,-
'144:50:13.616',-,3.256,-,-,-
'144:50:13.624',-,3.312,-,-,-
'144:50:13.632',-,3.312,-,-,-
'144:50:13.640',-,3.368,-,-,-
'144:50:13.648',-,3.416,-,-,-
'144:50:13.656',-,3.416,-,-,-
'144:50:13.664',-,3.520,-,-,-
'144:50:13.672',-,3.576,-,-,-
'144:50:13.680',-,3.680,-,-,-
'144:50:13.688',-,3.736,-,-,-
'144:50:13.696',-,3.840,-,-,-
'144:50:13.704',-,3.992,-,-,-
'144:50:13.712',-,4.104,-,-,-
'144:50:13.720',-,4.208,-,-,-
'144:50:13.728',-,4.368,-,-,-
'144:50:13.736',-,4.472,-,-,-
'144:50:13.744',-,4.576,-,-,-
'144:50:13.752',-,4.736,-,-,-
'144:50:13.760',-,4.840,-,-,-
'144:50:13.768',-,4.944,-,-,-
'144:50:13.776',-,5.048,-,-,-
'144:50:13.784',-,5.104,-,-,-
'144:50:13.792',-,5.152,-,-,-
'144:50:13.800',-,5.256,-,-,-
'144:50:13.808',-,5.312,-,-,-
'144:50:13.816',-,5.312,-,-,-
'144:50:13.824',-,5.368,-,-,-
'144:50:13.832',-,5.368,-,-,-
'144:50:13.840',-,5.368,-,-,-
'144:50:13.848',-,5.368,-,-,-
'144:50:13.856',-,5.312,-,-,-
'144:50:13.864',-,5.312,-,-,-
'144:50:13.872',-,5.208,-,-,-
'144:50:13.880',-,5.152,-,-,-
'144:50:13.888',-,5.104,-,-,-
'144:50:13.896',-,4.992,-,-,-
'144:50:13.904',-,4.888,-,-,-
'144:50:13.912',-,4.784,-,-,-
'144:50:13.920',-,4.680,-,-,-
'144:50:13.928',-,4.520,-,-,-
'144:50:13.936',-,4.416,-,-,-
'144:50:13.944',-,4.256,-,-,-
'144:50:13.952',-,4.104,-,-,-
'144:50:13.960',-,3.944,-,-,-
'144:50:13.968',-,3.784,-,-,-
'144:50:13.976',-,3.624,-,-,-
'144:50:13.984',-,3.472,-,-,-
'144:50:13.992',-,3.312,-,-,-
'144:50:14.000',-,3.104,-,-,-
'144:50:14.008',-,2.944,-,-,-
'144:50:14.016',-,2.784,-,-,-
'144:50:14.024',-,2.624,-,-,-
'144:50:14.032',-,2.416,-,-,-
'144:50:14.040',-,2.256,-,-,-
'144:50:14.048',-,2.104,-,-,-
'144:50:14.056',-,1.944,-,-,-
'144:50:14.064',-,1.784,-,-,-
'144:50:14.072',-,1.624,-,-,-
'144:50:14.080',-,1.472,-,-,-
'144:50:14.088',-,1.312,-,-,-
'144:50:14.096',-,1.208,-,-,-
'144:50:14.104',-,1.048,-,-,-
'144:50:14.112',-,0.944,-,-,-
'144:50:14.120',-,0.784,-,-,-
'144:50:14.128',-,0.624,-,-,-
'144:50:14.136',-,0.472,-,-,-
'144:50:14.144',-,0.368,-,-,-
'144:50:14.152',-,0.208,-,-,-
'144:50:14.160',-,0.048,-,-,-
'144:50:14.168',-,-0.104,-,-,-
'144:50:14.176',-,-0.256,-,-,-
'144:50:14.184',-,-0.416,-,-,-
'144:50:14.192',-,-0.576,-,-,-
'144:50:14.200',-,-0.736,-,-,-
'144:50:14.208',-,-0.888,-,-,-
'144:50:14.216',-,-1.048,-,-,-
'144:50:14.224',-,-1.208,-,-,-
'144:50:14.232',-,-1.312,-,-,-
'144:50:14.240',-,-1.472,-,-,-
'144:50:14.248',-,-1.576,-,-,-
'144:50:14.256',-,-1.736,-,-,-
'144:50:14.264',-,-1.840,-,-,-
'144:50:14.272',-,-1.944,-,-,-
'144:50:14.280',-,-2.048,-,-,-
'144:50:14.288',-,-2.152,-,-,-
'144:50:14.296',-,-2.256,-,-,-
'144:50:14.304',-,-2.368,-,-,-
'144:50:14.312',-,-2.472,-,-,-
'144:50:14.320',-,-2.576,-,-,-
'144:50:14.328',-,-2.624,-,-,-
'144:50:14.336',-,-2.736,-,-,-
'144:50:14.344',-,-2.784,-,-,-
'144:50:14.352',-,-2.840,-,-,-
'144:50:14.360',-,-2.888,-,-,-
'144:50:14.368',-,-2.944,-,-,-
'144:50:14.376',-,-2.992,-,-,-
'144:50:14.384',-,-3.048,-,-,-
'144:50:14.392',-,-3.048,-,-,-
'144:50:14.400',-,-3.104,-,-,-
'144:50:14.408',-,-3.104,-,-,-
'144:50:14.416',-,-3.152,-,-,-
'144:50:14.424',-,-3.208,-,-,-
'144:50:14.432',-,-3.208,-,-,-
'144:50:14.440',-,-3.256,-,-,-
'144:50:14.448',-,-3.256,-,-,-
'144:50:14.456',-,-3.312,-,-,-
'144:50:14.464',-,-3.312,-,-,-
'144:50:14.472',-,-3.368,-,-,-
'144:50:14.480',-,-3.368,-,-,-
'144:50:14.488',-,-3.416,-,-,-
'144:50:14.496',-,-3.416,-,-,-
'144:50:14.504',-,-3.472,-,-,-
'144:50:14.512',-,-3.472,-,-,-
'144:50:14.520',-,-3.520,-,-,-
'144:50:14.528',-,-3.520,-,-,-
'144:50:14.536',-,-3.576,-,-,-
'144:50:14.544',-,-3.576,-,-,-
'144:50:14.552',-,-3.624,-,-,-
'144:50:14.560',-,-3.624,-,-,-
'144:50:14.568',-,-3.680,-,-,-
'144:50:14.576',-,-3.680,-,-,-
'144:50:14.584',-,-3.680,-,-,-
'144:50:14.592',-,-3.680,-,-,-
'144:50:14.600',-,-3.680,-,-,-
'144:50:14.608',-,-3.680,-,-,-
