'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'1:31:19.736',0.120,-,0.016,76.680,36.800
'1:31:19.744',0.096,-,0.000,73.560,36.800
'1:31:19.752',0.080,-,-0.016,71.880,36.800
'1:31:19.760',0.040,-,-0.040,70.320,36.800
'1:31:19.768',0.000,-,-0.056,68.760,36.000
'1:31:19.776',-0.040,-,-0.080,67.080,36.000
'1:31:19.784',-0.040,-,-0.096,66.360,36.000
'1:31:19.792',-0.040,-,-0.080,65.520,35.200
'1:31:19.800',-0.040,-,-0.096,65.520,35.200
'1:31:19.808',-0.040,-,-0.096,65.520,34.400
'1:31:19.816',-0.040,-,-0.080,65.520,33.600
'1:31:19.824',-0.040,-,-0.096,65.520,32.800
'1:31:19.832',-0.040,-,-0.080,66.360,32.800
'1:31:19.840',-0.040,-,-0.080,66.360,32.000
'1:31:19.848',-0.040,-,-0.080,66.360,32.000
'1:31:19.856',-0.040,-,-0.080,67.080,31.200
'1:31:19.864',0.000,-,-0.056,67.080,31.200
'1:31:19.872',0.080,-,0.000,67.920,31.200
'1:31:19.880',0.216,-,0.120,67.920,31.200
'1:31:19.888',0.400,-,0.256,67.920,31.200
'1:31:19.896',0.520,-,0.360,67.920,31.200
'1:31:19.904',0.576,-,0.400,67.920,31.200
'1:31:19.912',0.520,-,0.416,67.920,31.200
'1:31:19.920',0.176,-,0.080,67.920,32.000
'1:31:19.928',0.040,-,-0.056,67.920,32.000
'1:31:19.936',-0.040,-,-0.120,67.920,32.000
'1:31:19.944',-0.136,-,-0.200,67.920,32.800
'1:31:19.952',-0.160,-,-0.200,67.080,33.600
'1:31:19.960',-0.160,-,-0.200,67.080,34.400
'1:31:19.968',-0.160,-,-0.200,67.080,35.200
'1:31:19.976',-0.160,-,-0.200,66.360,35.200
'1:31:19.984',-0.136,-,-0.176,65.520,35.200
'1:31:19.992',-0.136,-,-0.176,65.520,36.000
'1:31:20.000',-0.136,-,-0.176,64.680,36.800
'1:31:20.008',-0.136,-,-0.176,64.680,38.400
'1:31:20.016',-0.136,-,-0.176,64.680,40.000
'1:31:20.024',-0.136,-,-0.160,66.360,41.600
'1:31:20.032',-0.136,-,-0.136,69.480,43.200
'1:31:20.040',-0.136,-,-0.136,74.280,45.600
'1:31:20.048',-0.120,-,-0.136,81.480,47.200
'1:31:20.056',-0.096,-,-0.136,89.520,48.800
'1:31:20.064',-0.120,-,-0.136,99.120,49.600
'1:31:20.072',-0.096,-,-0.136,107.880,51.200
'1:31:20.080',-0.120,-,-0.096,116.760,52.000
'1:31:20.088',-0.120,-,-0.096,123.960,52.800
'1:31:20.096',-0.136,-,-0.096,130.320,53.600
'1:31:20.104',-0.120,-,-0.096,135.120,53.600
'1:31:20.112',-0.136,-,-0.096,138.360,54.400
'1:31:20.120',-0.096,-,-0.056,139.920,53.600
'1:31:20.128',-0.096,-,-0.080,141.480,53.600
'1:31:20.136',-0.080,-,-0.040,141.480,53.600
'1:31:20.144',-0.040,-,-0.040,140.760,52.800
'1:31:20.152',-0.016,-,-0.016,139.080,52.000
'1:31:20.160',0.000,-,0.000,137.520,50.400
'1:31:20.168',0.000,-,-0.016,134.280,49.600
'1:31:20.176',0.000,-,-0.040,131.160,48.000
'1:31:20.184',0.000,-,-0.040,127.920,46.400
'1:31:20.192',0.000,-,-0.040,123.960,44.800
'1:31:20.200',0.000,-,-0.040,119.880,44.000
'1:31:20.208',0.000,-,-0.040,115.080,42.400
'1:31:20.216',0.016,-,-0.040,110.280,41.600
'1:31:20.224',0.040,-,-0.040,104.760,40.000
'1:31:20.232',0.040,-,-0.040,99.960,39.200
'1:31:20.240',0.040,-,-0.016,94.320,38.400
'1:31:20.248',0.056,-,0.000,89.520,37.600
'1:31:20.256',0.080,-,0.000,84.720,36.800
'1:31:20.264',0.120,-,0.000,81.480,36.800
'1:31:20.272',0.120,-,0.016,77.520,36.800
'1:31:20.280',0.096,-,0.000,75.120,36.800
'1:31:20.288',0.056,-,-0.016,72.720,36.000
'1:31:20.296',0.016,-,-0.040,71.160,36.000
'1:31:20.304',-0.016,-,-0.056,69.480,36.000
'1:31:20.312',-0.040,-,-0.080,67.920,36.000
'1:31:20.320',-0.040,-,-0.080,67.080,35.200
'1:31:20.328',-0.040,-,-0.096,67.080,35.200
'1:31:20.336',-0.040,-,-0.096,66.360,34.400
'1:31:20.344',-0.040,-,-0.096,66.360,34.400
'1:31:20.352',-0.040,-,-0.096,66.360,33.600
'1:31:20.360',-0.040,-,-0.096,66.360,32.800
'1:31:20.368',-0.040,-,-0.080,66.360,32.800
'1:31:20.376',-0.040,-,-0.096,66.360,32.000
'1:31:20.384',-0.040,-,-0.080,67.080,32.000
'1:31:20.392',-0.040,-,-0.096,67.080,31.200
'1:31:20.400',0.000,-,-0.040,67.080,31.200
'1:31:20.408',0.080,-,0.000,67.920,31.200
'1:31:20.416',0.256,-,0.136,67.920,31.200
'1:31:20.424',0.400,-,0.280,67.920,31.200
'1:31:20.432',0.520,-,0.360,68.760,31.200
'1:31:20.440',0.560,-,0.376,68.760,32.000
'1:31:20.448',0.480,-,0.400,68.760,32.000
'1:31:20.456',0.120,-,0.016,67.920,32.000
'1:31:20.464',0.016,-,-0.080,67.920,32.000
'1:31:20.472',-0.056,-,-0.056,67.920,32.000
'1:31:20.480',-0.160,-,-0.200,67.080,32.800
'1:31:20.488',-0.176,-,-0.216,67.080,33.600
'1:31:20.496',-0.176,-,-0.216,67.080,34.400
'1:31:20.504',-0.176,-,-0.200,67.080,35.200
'1:31:20.512',-0.160,-,-0.176,67.920,35.200
'1:31:20.520',-0.160,-,-0.176,67.080,35.200
'1:31:20.528',-0.136,-,-0.176,67.080,36.800
'1:31:20.536',-0.136,-,-0.176,66.360,37.600
'1:31:20.544',-0.136,-,-0.176,66.360,39.200
'1:31:20.552',-0.136,-,-0.176,66.360,40.800
'1:31:20.560',-0.136,-,-0.160,67.920,42.400
'1:31:20.568',-0.136,-,-0.160,71.160,44.800
'1:31:20.576',-0.136,-,-0.136,76.680,46.400
'1:31:20.584',-0.120,-,-0.136,83.160,48.000
'1:31:20.592',-0.136,-,-0.136,91.080,49.600
'1:31:20.600',-0.096,-,-0.136,99.960,50.400
'1:31:20.608',-0.096,-,-0.136,108.720,52.000
'1:31:20.616',-0.136,-,-0.136,116.760,52.800
'1:31:20.624',-0.136,-,-0.136,124.680,53.600
'1:31:20.632',-0.136,-,-0.096,131.160,54.400
'1:31:20.640',-0.136,-,-0.096,135.120,54.400
'1:31:20.648',-0.136,-,-0.096,139.080,54.400
'1:31:20.656',-0.120,-,-0.080,140.760,54.400
'1:31:20.664',-0.096,-,-0.056,141.480,54.400
'1:31:20.672',-0.080,-,-0.040,141.480,53.600
'1:31:20.680',-0.040,-,-0.040,140.760,53.600
'1:31:20.688',-0.016,-,-0.016,139.080,52.000
'1:31:20.696',0.000,-,-0.016,136.680,51.200
'1:31:20.704',0.000,-,-0.040,134.280,49.600
'1:31:20.712',0.000,-,-0.040,131.160,48.800
'1:31:20.720',0.000,-,-0.040,127.080,47.200
'1:31:20.728',0.000,-,-0.040,123.960,45.600
'1:31:20.736',0.000,-,-0.040,119.160,44.800
'1:31:20.744',0.000,-,-0.040,115.080,43.200
'1:31:20.752',0.016,-,-0.040,110.280,42.400
'1:31:20.760',0.016,-,-0.040,104.760,40.800
'1:31:20.768',0.040,-,-0.016,99.960,40.000
'1:31:20.776',0.040,-,-0.016,94.320,39.200
'1:31:20.784',0.080,-,0.000,88.680,38.400
'1:31:20.792',0.080,-,0.000,83.880,38.400
'1:31:20.800',0.120,-,0.016,79.920,37.600
'1:31:20.808',0.120,-,0.000,76.680,37.600
'1:31:20.816',0.096,-,0.000,73.560,37.600
'1:31:20.824',0.040,-,-0.016,71.880,36.800
'1:31:20.832',0.000,-,-0.040,69.480,36.800
'1:31:20.840',-0.016,-,-0.080,67.920,36.000
'1:31:20.848',-0.040,-,-0.080,67.080,36.000
'1:31:20.856',-0.040,-,-0.096,66.360,35.200
'1:31:20.864',-0.040,-,-0.080,65.520,35.200
'1:31:20.872',-0.056,-,-0.096,65.520,34.400
'1:31:20.880',-0.040,-,-0.080,65.520,33.600
'1:31:20.888',-0.056,-,-0.096,65.520,32.800
'1:31:20.896',-0.040,-,-0.096,65.520,32.800
'1:31:20.904',-0.040,-,-0.080,66.360,32.000
'1:31:20.912',-0.040,-,-0.096,66.360,31.200
'1:31:20.920',-0.040,-,-0.096,66.360,31.200
'1:31:20.928',-0.040,-,-0.080,66.360,30.400
'1:31:20.936',0.000,-,-0.040,67.080,30.400
'1:31:20.944',0.120,-,0.016,67.080,30.400
'1:31:20.952',0.280,-,0.136,67.080,31.200
'1:31:20.960',0.440,-,0.280,67.080,31.200
'1:31:20.968',0.536,-,0.360,67.080,31.200
'1:31:20.976',0.560,-,0.376,67.080,31.200
'1:31:20.984',0.376,-,0.280,67.920,31.200
'1:31:20.992',0.056,-,-0.040,67.920,31.200
'1:31:21.000',0.016,-,-0.080,67.920,32.000
'1:31:21.008',-0.080,-,-0.160,67.920,32.000
'1:31:21.016',-0.160,-,-0.200,67.920,32.800
'1:31:21.024',-0.160,-,-0.216,67.080,33.600
'1:31:21.032',-0.176,-,-0.200,67.080,34.400
'1:31:21.040',-0.160,-,-0.200,66.360,35.200
'1:31:21.048',-0.160,-,-0.200,65.520,35.200
'1:31:21.056',-0.136,-,-0.176,65.520,36.000
'1:31:21.064',-0.160,-,-0.176,64.680,36.800
'1:31:21.072',-0.136,-,-0.176,64.680,38.400
'1:31:21.080',-0.136,-,-0.176,64.680,40.000
'1:31:21.088',-0.136,-,-0.160,65.520,41.600
'1:31:21.096',-0.136,-,-0.176,67.920,44.000
'1:31:21.104',-0.136,-,-0.160,71.880,45.600
'1:31:21.112',-0.136,-,-0.160,78.360,47.200
'1:31:21.120',-0.136,-,-0.136,86.280,48.800
'1:31:21.128',-0.136,-,-0.160,95.160,50.400
'1:31:21.136',-0.120,-,-0.136,103.920,51.200
'1:31:21.144',-0.136,-,-0.136,112.680,52.800
'1:31:21.152',-0.136,-,-0.136,120.720,53.600
'1:31:21.160',-0.136,-,-0.136,127.080,54.400
'1:31:21.168',-0.136,-,-0.120,132.720,55.200
'1:31:21.176',-0.136,-,-0.096,136.680,55.200
'1:31:21.184',-0.136,-,-0.096,139.080,55.200
'1:31:21.192',-0.136,-,-0.096,140.760,55.200
'1:31:21.200',-0.096,-,-0.080,141.480,55.200
'1:31:21.208',-0.096,-,-0.056,140.760,54.400
'1:31:21.216',-0.040,-,-0.040,139.920,53.600
'1:31:21.224',-0.040,-,-0.040,138.360,52.800
'1:31:21.232',-0.016,-,-0.040,135.960,52.000
'1:31:21.240',0.000,-,-0.040,133.560,50.400
'1:31:21.248',0.000,-,-0.040,130.320,48.800
'1:31:21.256',0.000,-,-0.056,127.080,47.200
'1:31:21.264',0.000,-,-0.040,123.120,46.400
'1:31:21.272',0.000,-,-0.056,119.160,45.600
'1:31:21.280',0.000,-,-0.080,114.360,44.000
'1:31:21.288',0.000,-,-0.040,109.560,43.200
'1:31:21.296',0.016,-,-0.040,104.760,42.400
'1:31:21.304',0.040,-,-0.040,99.120,41.600
'1:31:21.312',0.040,-,-0.040,94.320,40.800
'1:31:21.320',0.056,-,-0.016,89.520,40.000
'1:31:21.328',0.080,-,-0.016,84.720,40.000
'1:31:21.336',0.120,-,0.000,80.760,40.000
'1:31:21.344',0.120,-,0.016,77.520,40.000
'1:31:21.352',0.080,-,-0.016,75.120,40.000
'1:31:21.360',0.040,-,-0.016,72.720,40.000
'1:31:21.368',0.000,-,-0.040,71.160,40.000
'1:31:21.376',-0.040,-,-0.080,69.480,40.000
'1:31:21.384',-0.040,-,-0.096,68.760,40.000
'1:31:21.392',-0.040,-,-0.096,67.920,40.000
'1:31:21.400',-0.056,-,-0.096,67.080,39.200
'1:31:21.408',-0.040,-,-0.096,67.080,39.200
'1:31:21.416',-0.056,-,-0.080,67.080,38.400
'1:31:21.424',-0.056,-,-0.096,67.080,37.600
'1:31:21.432',-0.040,-,-0.096,67.080,37.600
'1:31:21.440',-0.056,-,-0.096,67.920,36.800
'1:31:21.448',-0.056,-,-0.080,67.920,36.800
'1:31:21.456',-0.040,-,-0.080,68.760,36.000
'1:31:21.464',-0.016,-,-0.056,68.760,36.000
'1:31:21.472',0.040,-,-0.016,68.760,36.000
'1:31:21.480',0.176,-,0.080,69.480,36.000
'1:31:21.488',0.336,-,0.256,69.480,36.000
'1:31:21.496',0.496,-,0.376,69.480,36.000
'1:31:21.504',0.600,-,0.480,70.320,36.000
'1:31:21.512',0.560,-,0.456,70.320,36.000
'1:31:21.520',0.336,-,0.256,70.320,36.800
'1:31:21.528',0.000,-,-0.096,70.320,36.800
'1:31:21.536',-0.040,-,-0.136,70.320,37.600
'1:31:21.544',-0.136,-,-0.200,70.320,37.600
'1:31:21.552',-0.176,-,-0.240,70.320,38.400
'1:31:21.560',-0.176,-,-0.240,70.320,40.000
'1:31:21.568',-0.176,-,-0.216,69.480,40.800
'1:31:21.576',-0.176,-,-0.216,69.480,40.800
'1:31:21.584',-0.160,-,-0.200,68.760,40.800
'1:31:21.592',-0.160,-,-0.200,67.920,40.800
'1:31:21.600',-0.160,-,-0.176,67.080,42.400
'1:31:21.608',-0.160,-,-0.176,67.080,43.200
'1:31:21.616',-0.136,-,-0.176,67.080,44.800
'1:31:21.624',-0.160,-,-0.176,68.760,46.400
'1:31:21.632',-0.136,-,-0.176,72.720,48.000
'1:31:21.640',-0.136,-,-0.176,78.360,49.600
'1:31:21.648',-0.136,-,-0.160,85.560,51.200
'1:31:21.656',-0.136,-,-0.160,93.480,52.800
'1:31:21.664',-0.136,-,-0.176,103.080,54.400
'1:31:21.672',-0.136,-,-0.160,111.960,56.000
'1:31:21.680',-0.136,-,-0.160,119.880,56.800
'1:31:21.688',-0.136,-,-0.136,126.360,57.600
'1:31:21.696',-0.136,-,-0.136,131.880,58.400
'1:31:21.704',-0.136,-,-0.136,136.680,58.400
'1:31:21.712',-0.136,-,-0.136,139.080,59.200
'1:31:21.720',-0.136,-,-0.096,141.480,59.200
'1:31:21.728',-0.136,-,-0.096,142.320,58.400
'1:31:21.736',-0.096,-,-0.080,142.320,58.400
'1:31:21.744',-0.080,-,-0.056,141.480,57.600
'1:31:21.752',-0.040,-,-0.040,140.760,56.800
'1:31:21.760',-0.040,-,-0.016,138.360,56.000
'1:31:21.768',-0.016,-,-0.040,135.960,54.400
'1:31:21.776',0.000,-,-0.040,132.720,52.800
'1:31:21.784',0.000,-,-0.040,129.480,52.000
'1:31:21.792',-0.016,-,-0.040,125.520,50.400
'1:31:21.800',0.000,-,-0.040,121.560,48.800
'1:31:21.808',-0.016,-,-0.040,117.480,48.000
'1:31:21.816',0.000,-,-0.040,113.520,46.400
'1:31:21.824',0.000,-,-0.040,108.720,45.600
'1:31:21.832',0.000,-,-0.016,103.920,44.800
'1:31:21.840',0.016,-,0.000,98.280,43.200
'1:31:21.848',0.040,-,0.000,93.480,42.400
'1:31:21.856',0.040,-,0.000,88.680,42.400
'1:31:21.864',0.040,-,0.000,84.720,41.600
'1:31:21.872',0.080,-,0.040,81.480,41.600
'1:31:21.880',0.080,-,0.000,78.360,41.600
'1:31:21.888',0.040,-,0.000,75.960,42.400
'1:31:21.896',0.000,-,-0.016,73.560,42.400
'1:31:21.904',-0.016,-,-0.040,71.880,43.200
'1:31:21.912',-0.040,-,-0.056,71.160,43.200
'1:31:21.920',-0.056,-,-0.080,70.320,42.400
'1:31:21.928',-0.056,-,-0.080,69.480,42.400
'1:31:21.936',-0.056,-,-0.080,68.760,42.400
'1:31:21.944',-0.080,-,-0.080,68.760,41.600
'1:31:21.952',-0.080,-,-0.080,68.760,41.600
'1:31:21.960',-0.080,-,-0.080,68.760,40.800
'1:31:21.968',-0.056,-,-0.056,68.760,40.800
'1:31:21.976',-0.080,-,-0.056,68.760,40.000
'1:31:21.984',-0.040,-,-0.056,69.480,40.000
'1:31:21.992',-0.040,-,-0.056,69.480,39.200
'1:31:22.000',0.000,-,-0.016,70.320,39.200
'1:31:22.008',0.120,-,0.080,70.320,39.200
'1:31:22.016',0.296,-,0.256,70.320,39.200
'1:31:22.024',0.480,-,0.400,71.160,39.200
'1:31:22.032',0.576,-,0.520,71.160,39.200
'1:31:22.040',0.600,-,0.536,71.160,39.200
'1:31:22.048',0.480,-,0.400,71.160,39.200
'1:31:22.056',0.080,-,0.000,71.160,40.000
'1:31:22.064',-0.040,-,-0.136,71.160,40.000
'1:31:22.072',-0.096,-,-0.160,71.160,40.800
'1:31:22.080',-0.176,-,-0.216,71.160,41.600
'1:31:22.088',-0.176,-,-0.216,71.160,42.400
'1:31:22.096',-0.200,-,-0.216,70.320,43.200
'1:31:22.104',-0.176,-,-0.200,70.320,44.000
'1:31:22.112',-0.176,-,-0.200,69.480,44.800
'1:31:22.120',-0.176,-,-0.176,68.760,44.800
'1:31:22.128',-0.160,-,-0.176,67.920,44.800
'1:31:22.136',-0.160,-,-0.176,67.920,44.800
'1:31:22.144',-0.136,-,-0.176,67.920,45.600
'1:31:22.152',-0.136,-,-0.176,69.480,47.200
'1:31:22.160',-0.160,-,-0.176,71.880,48.800
'1:31:22.168',-0.136,-,-0.176,76.680,49.600
'1:31:22.176',-0.136,-,-0.160,83.880,51.200
'1:31:22.184',-0.136,-,-0.176,91.920,52.800
