'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'84:54:12.320',-,0.320,-,-,148.800
'84:54:12.328',-,0.352,-,-,149.600
'84:54:12.336',-,0.352,-,-,150.400
'84:54:12.344',-,0.320,-,-,152.000
'84:54:12.352',-,0.256,-,-,152.800
'84:54:12.360',-,0.224,-,-,152.800
'84:54:12.368',-,0.160,-,-,152.000
'84:54:12.376',-,0.096,-,-,151.200
'84:54:12.384',-,0.000,-,-,149.600
'84:54:12.392',-,0.000,-,-,148.000
'84:54:12.400',-,-0.032,-,-,146.400
'84:54:12.408',-,-0.064,-,-,144.800
'84:54:12.416',-,-0.064,-,-,143.200
'84:54:12.424',-,-0.064,-,-,141.600
'84:54:12.432',-,-0.064,-,-,140.000
'84:54:12.440',-,-0.064,-,-,138.400
'84:54:12.448',-,-0.064,-,-,136.800
'84:54:12.456',-,-0.064,-,-,134.400
'84:54:12.464',-,-0.064,-,-,132.000
'84:54:12.472',-,-0.032,-,-,128.800
'84:54:12.480',-,0.000,-,-,125.600
'84:54:12.488',-,-0.032,-,-,121.600
'84:54:12.496',-,-0.032,-,-,116.800
'84:54:12.504',-,-0.032,-,-,112.000
'84:54:12.512',-,-0.064,-,-,107.200
'84:54:12.520',-,-0.064,-,-,101.600
'84:54:12.528',-,-0.096,-,-,96.000
'84:54:12.536',-,-0.128,-,-,91.200
'84:54:12.544',-,-0.128,-,-,87.200
'84:54:12.552',-,-0.096,-,-,84.800
'84:54:12.560',-,-0.064,-,-,83.200
'84:54:12.568',-,-0.064,-,-,83.200
'84:54:12.576',-,-0.064,-,-,83.200
'84:54:12.584',-,-0.032,-,-,84.000
'84:54:12.592',-,0.000,-,-,84.000
'84:54:12.600',-,0.000,-,-,84.000
'84:54:12.608',-,0.000,-,-,83.200
'84:54:12.616',-,0.032,-,-,82.400
'84:54:12.624',-,0.064,-,-,81.600
'84:54:12.632',-,0.064,-,-,80.000
'84:54:12.640',-,0.064,-,-,79.200
'84:54:12.648',-,0.096,-,-,78.400
'84:54:12.656',-,0.096,-,-,77.600
'84:54:12.664',-,0.064,-,-,76.800
'84:54:12.672',-,0.096,-,-,76.000
'84:54:12.680',-,0.064,-,-,75.200
'84:54:12.688',-,0.032,-,-,74.400
'84:54:12.696',-,0.000,-,-,73.600
'84:54:12.704',-,0.000,-,-,72.800
'84:54:12.712',-,0.032,-,-,72.000
'84:54:12.720',-,0.064,-,-,72.000
'84:54:12.728',-,0.128,-,-,71.200
'84:54:12.736',-,0.448,-,-,70.400
'84:54:12.744',-,0.864,-,-,69.600
'84:54:12.752',-,0.608,-,-,68.800
'84:54:12.760',-,0.000,-,-,68.800
'84:54:12.768',-,-0.288,-,-,68.000
'84:54:12.776',-,-0.320,-,-,67.200
'84:54:12.784',-,-0.160,-,-,66.400
'84:54:12.792',-,-0.064,-,-,66.400
'84:54:12.800',-,0.000,-,-,65.600
'84:54:12.808',-,0.000,-,-,65.600
'84:54:12.816',-,0.000,-,-,64.800
'84:54:12.824',-,0.032,-,-,64.000
'84:54:12.832',-,0.032,-,-,64.000
