'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:18:38.784',-,0.000,-,-0.080,84.800,-
'25:18:38.792',-,0.000,-,-0.080,84.800,-
'25:18:38.800',-,-0.024,-,-0.100,85.600,-
'25:18:38.808',-,-0.064,-,-0.100,85.600,-
'25:18:38.816',-,-0.096,-,-0.100,84.000,-
'25:18:38.824',-,-0.096,-,-0.100,82.400,-
'25:18:38.832',-,-0.096,-,-0.100,80.800,-
'25:18:38.840',-,-0.096,-,-0.100,80.000,-
'25:18:38.848',-,-0.096,-,-0.100,80.000,-
'25:18:38.856',-,-0.096,-,-0.100,80.000,-
'25:18:38.864',-,-0.096,-,-0.100,80.000,-
'25:18:38.872',-,-0.104,-,-0.100,80.000,-
'25:18:38.880',-,-0.096,-,-0.100,80.800,-
'25:18:38.888',-,-0.096,-,-0.100,80.800,-
'25:18:38.896',-,-0.096,-,-0.080,80.800,-
'25:18:38.904',-,-0.096,-,-0.080,80.000,-
'25:18:38.912',-,-0.096,-,-0.060,80.000,-
'25:18:38.920',-,-0.104,-,-0.060,80.000,-
'25:18:38.928',-,-0.024,-,-0.020,80.800,-
'25:18:38.936',-,0.232,-,0.080,80.800,-
'25:18:38.944',-,0.568,-,0.420,80.000,-
'25:18:38.952',-,0.624,-,0.820,79.200,-
'25:18:38.960',-,0.472,-,0.600,77.600,-
'25:18:38.968',-,0.232,-,0.260,76.800,-
'25:18:38.976',-,0.048,-,0.240,75.200,-
'25:18:38.984',-,-0.064,-,0.300,74.400,-
'25:18:38.992',-,-0.136,-,0.280,72.000,-
'25:18:39.000',-,-0.216,-,0.220,70.400,-
'25:18:39.008',-,-0.216,-,0.160,68.800,-
'25:18:39.016',-,-0.096,-,0.060,67.200,-
'25:18:39.024',-,-0.024,-,0.000,65.600,-
'25:18:39.032',-,-0.024,-,-0.040,65.600,-
'25:18:39.040',-,-0.008,-,-0.040,67.200,-
'25:18:39.048',-,0.000,-,-0.060,68.800,-
'25:18:39.056',-,0.000,-,-0.060,68.800,-
'25:18:39.064',-,0.000,-,-0.080,69.600,-
'25:18:39.072',-,0.008,-,-0.080,71.200,-
'25:18:39.080',-,0.024,-,-0.080,76.000,-
'25:18:39.088',-,0.040,-,-0.060,81.600,-
'25:18:39.096',-,0.048,-,-0.080,89.600,-
'25:18:39.104',-,0.040,-,-0.080,96.000,-
'25:18:39.112',-,0.048,-,-0.080,102.400,-
'25:18:39.120',-,0.080,-,-0.080,108.800,-
'25:18:39.128',-,0.104,-,-0.080,116.000,-
'25:18:39.136',-,0.120,-,-0.080,123.200,-
'25:18:39.144',-,0.152,-,-0.100,130.400,-
'25:18:39.152',-,0.176,-,-0.100,136.800,-
'25:18:39.160',-,0.160,-,-0.100,140.800,-
'25:18:39.168',-,0.208,-,-0.080,142.400,-
