'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'37:26.208',0.104,0.095,67.200,22.400
'37:26.216',0.104,0.086,67.200,22.800
'37:26.224',0.096,0.069,67.200,23.200
'37:26.232',0.056,0.069,66.400,24.000
'37:26.240',-0.008,0.034,66.400,24.400
'37:26.248',-0.104,-0.069,66.400,24.400
'37:26.256',-0.160,-0.164,65.600,23.200
'37:26.264',-0.144,-0.181,65.600,21.600
'37:26.272',-0.128,-0.112,64.800,20.000
'37:26.280',-0.152,-0.112,64.800,19.600
'37:26.288',-0.192,-0.190,64.000,20.400
'37:26.296',-0.216,-0.216,64.000,22.400
'37:26.304',-0.248,-0.224,63.200,25.600
'37:26.312',-0.288,-0.276,62.400,28.000
'37:26.320',-0.288,-0.302,62.400,30.000
'37:26.328',-0.216,-0.267,62.400,29.600
'37:26.336',-0.120,-0.172,61.600,26.400
'37:26.344',-0.048,-0.095,60.800,20.800
'37:26.352',0.000,-0.043,60.800,16.000
'37:26.360',0.024,0.009,60.000,16.800
'37:26.368',0.032,0.034,60.000,23.200
'37:26.376',0.048,0.034,60.000,31.600
'37:26.384',0.048,0.034,59.200,37.200
'37:26.392',0.048,0.043,59.200,38.800
'37:26.400',0.056,0.043,58.400,37.600
'37:26.408',0.056,0.052,58.400,35.200
'37:26.416',0.064,0.052,57.600,33.200
'37:26.424',0.064,0.060,57.600,32.000
'37:26.432',0.072,0.052,57.600,31.600
'37:26.440',0.072,0.069,56.800,32.400
'37:26.448',0.080,0.069,57.600,33.600
'37:26.456',0.096,0.086,57.600,34.400
'37:26.464',0.104,0.095,59.200,35.200
'37:26.472',0.104,0.095,60.800,35.200
'37:26.480',0.112,0.095,64.000,34.800
'37:26.488',0.120,0.103,68.000,33.600
'37:26.496',0.120,0.095,72.000,32.800
'37:26.504',0.120,0.095,76.000,31.600
'37:26.512',0.120,0.095,79.200,31.200
'37:26.520',0.120,0.103,82.400,30.400
'37:26.528',0.112,0.095,85.600,30.000
'37:26.536',0.104,0.086,88.000,29.200
'37:26.544',0.096,0.069,89.600,28.400
'37:26.552',0.080,0.060,90.400,27.600
'37:26.560',0.072,0.052,91.200,27.200
'37:26.568',0.064,0.034,90.400,28.000
'37:26.576',0.056,0.034,90.400,29.200
'37:26.584',0.048,0.026,88.800,30.400
'37:26.592',0.032,0.017,88.000,30.800
'37:26.600',0.024,0.009,85.600,30.400
'37:26.608',0.024,0.009,83.200,29.600
'37:26.616',0.016,0.009,80.000,28.800
'37:26.624',0.016,0.000,76.800,28.000
'37:26.632',0.008,0.000,73.600,27.600
'37:26.640',0.008,0.000,70.400,27.200
'37:26.648',0.008,0.000,68.000,27.200
'37:26.656',0.000,0.000,65.600,27.200
'37:26.664',0.000,0.000,64.000,27.600
'37:26.672',0.000,0.000,62.400,28.000
'37:26.680',0.000,0.000,61.600,28.000
'37:26.688',0.000,0.000,60.800,28.400
'37:26.696',0.000,0.000,60.800,28.000
'37:26.704',0.000,0.000,60.000,28.000
'37:26.712',0.000,0.000,60.000,27.600
'37:26.720',0.000,0.000,60.000,27.200
'37:26.728',0.000,0.000,60.000,27.200
'37:26.736',0.000,0.000,60.800,27.600
'37:26.744',0.000,0.000,60.800,27.600
'37:26.752',0.000,0.000,60.800,27.600
'37:26.760',0.008,0.000,60.800,27.600
'37:26.768',0.016,0.017,60.800,27.200
'37:26.776',0.024,0.034,60.800,27.200
'37:26.784',0.024,0.034,60.800,27.200
'37:26.792',0.032,0.034,60.800,27.200
'37:26.800',0.056,0.043,60.800,27.200
'37:26.808',0.072,0.060,60.800,27.600
'37:26.816',0.096,0.095,60.800,27.600
'37:26.824',0.096,0.095,60.000,28.000
'37:26.832',0.096,0.095,60.000,27.200
'37:26.840',0.072,0.086,60.000,26.400
'37:26.848',0.032,0.060,60.000,25.200
'37:26.856',0.000,0.017,59.200,24.400
'37:26.864',-0.016,-0.009,59.200,23.600
'37:26.872',-0.032,-0.034,58.400,23.200
'37:26.880',-0.032,-0.043,58.400,22.800
'37:26.888',-0.032,-0.043,57.600,22.800
'37:26.896',-0.032,-0.043,57.600,22.800
'37:26.904',-0.032,-0.034,56.800,22.800
'37:26.912',-0.032,-0.034,56.000,22.400
'37:26.920',-0.032,-0.043,56.000,22.400
'37:26.928',-0.008,-0.034,55.200,22.400
'37:26.936',0.056,-0.043,54.400,22.000
