'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:16:58.784',-,-0.008,-,-0.100,64.800,-
'25:16:58.792',-,0.000,-,-0.100,68.000,-
'25:16:58.800',-,0.000,-,-0.100,72.800,-
'25:16:58.808',-,0.008,-,-0.100,80.000,-
'25:16:58.816',-,0.024,-,-0.100,88.000,-
'25:16:58.824',-,0.048,-,-0.100,95.200,-
'25:16:58.832',-,0.048,-,-0.120,100.800,-
'25:16:58.840',-,0.080,-,-0.100,106.400,-
'25:16:58.848',-,0.104,-,-0.140,112.800,-
'25:16:58.856',-,0.104,-,-0.120,120.000,-
'25:16:58.864',-,0.120,-,-0.140,125.600,-
'25:16:58.872',-,0.152,-,-0.120,128.800,-
'25:16:58.880',-,0.136,-,-0.100,128.000,-
'25:16:58.888',-,0.120,-,-0.100,125.600,-
'25:16:58.896',-,0.104,-,-0.080,123.200,-
'25:16:58.904',-,0.080,-,-0.060,122.400,-
'25:16:58.912',-,0.040,-,-0.040,122.400,-
'25:16:58.920',-,0.024,-,-0.040,121.600,-
'25:16:58.928',-,0.000,-,-0.040,120.000,-
'25:16:58.936',-,-0.024,-,-0.040,116.800,-
'25:16:58.944',-,-0.024,-,-0.040,112.800,-
'25:16:58.952',-,-0.064,-,-0.040,109.600,-
'25:16:58.960',-,-0.048,-,-0.060,106.400,-
'25:16:58.968',-,-0.064,-,-0.040,102.400,-
'25:16:58.976',-,-0.040,-,-0.040,99.200,-
'25:16:58.984',-,-0.024,-,-0.040,94.400,-
'25:16:58.992',-,-0.024,-,-0.040,90.400,-
'25:16:59.000',-,-0.008,-,-0.040,87.200,-
'25:16:59.008',-,-0.008,-,-0.040,84.800,-
'25:16:59.016',-,0.000,-,-0.060,83.200,-
'25:16:59.024',-,-0.024,-,-0.060,81.600,-
'25:16:59.032',-,-0.024,-,-0.080,79.200,-
'25:16:59.040',-,-0.064,-,-0.100,76.800,-
'25:16:59.048',-,-0.096,-,-0.100,76.800,-
'25:16:59.056',-,-0.104,-,-0.100,77.600,-
'25:16:59.064',-,-0.120,-,-0.100,79.200,-
'25:16:59.072',-,-0.120,-,-0.100,78.400,-
'25:16:59.080',-,-0.104,-,-0.100,74.400,-
'25:16:59.088',-,-0.104,-,-0.100,70.400,-
'25:16:59.096',-,-0.120,-,-0.100,68.800,-
'25:16:59.104',-,-0.120,-,-0.100,70.400,-
'25:16:59.112',-,-0.120,-,-0.100,72.000,-
'25:16:59.120',-,-0.136,-,-0.100,74.400,-
'25:16:59.128',-,-0.120,-,-0.100,75.200,-
'25:16:59.136',-,-0.120,-,-0.100,74.400,-
'25:16:59.144',-,-0.136,-,-0.080,72.800,-
'25:16:59.152',-,-0.152,-,-0.040,72.000,-
'25:16:59.160',-,0.048,-,0.040,72.800,-
'25:16:59.168',-,0.384,-,0.240,73.600,-
'25:16:59.176',-,0.576,-,0.640,72.800,-
'25:16:59.184',-,0.472,-,0.740,72.800,-
'25:16:59.192',-,0.256,-,0.300,72.800,-
'25:16:59.200',-,0.024,-,0.200,75.200,-
'25:16:59.208',-,-0.080,-,0.260,76.800,-
'25:16:59.216',-,-0.160,-,0.280,75.200,-
'25:16:59.224',-,-0.248,-,0.180,71.200,-
'25:16:59.232',-,-0.272,-,0.160,68.000,-
'25:16:59.240',-,-0.160,-,0.060,68.000,-
'25:16:59.248',-,-0.096,-,-0.020,68.000,-
'25:16:59.256',-,-0.048,-,-0.080,67.200,-
'25:16:59.264',-,-0.024,-,-0.080,67.200,-
'25:16:59.272',-,-0.040,-,-0.100,66.400,-
'25:16:59.280',-,-0.024,-,-0.100,64.800,-
'25:16:59.288',-,-0.008,-,-0.120,61.600,-
'25:16:59.296',-,0.000,-,-0.120,62.400,-
'25:16:59.304',-,0.000,-,-0.120,69.600,-
'25:16:59.312',-,0.000,-,-0.140,81.600,-
'25:16:59.320',-,0.000,-,-0.120,89.600,-
'25:16:59.328',-,0.024,-,-0.140,90.400,-
'25:16:59.336',-,0.024,-,-0.120,85.600,-
'25:16:59.344',-,0.048,-,-0.140,85.600,-
'25:16:59.352',-,0.048,-,-0.140,92.800,-
'25:16:59.360',-,0.080,-,-0.140,104.800,-
'25:16:59.368',-,0.096,-,-0.140,113.600,-
'25:16:59.376',-,0.120,-,-0.140,118.400,-
'25:16:59.384',-,0.120,-,-0.140,121.600,-
'25:16:59.392',-,0.120,-,-0.140,124.000,-
'25:16:59.400',-,0.096,-,-0.100,124.000,-
'25:16:59.408',-,0.104,-,-0.100,123.200,-
'25:16:59.416',-,0.048,-,-0.080,123.200,-
'25:16:59.424',-,0.024,-,-0.060,124.800,-
'25:16:59.432',-,0.000,-,-0.040,126.400,-
'25:16:59.440',-,-0.008,-,-0.040,124.800,-
'25:16:59.448',-,-0.024,-,-0.040,120.800,-
'25:16:59.456',-,-0.064,-,-0.060,117.600,-
'25:16:59.464',-,-0.064,-,-0.060,115.200,-
'25:16:59.472',-,-0.080,-,-0.060,112.000,-
'25:16:59.480',-,-0.080,-,-0.080,108.000,-
'25:16:59.488',-,-0.096,-,-0.100,104.000,-
'25:16:59.496',-,-0.080,-,-0.080,100.800,-
'25:16:59.504',-,-0.096,-,-0.080,96.800,-
'25:16:59.512',-,-0.096,-,-0.100,92.000,-
'25:16:59.520',-,-0.096,-,-0.080,85.600,-
'25:16:59.528',-,-0.096,-,-0.100,79.200,-
'25:16:59.536',-,-0.064,-,-0.080,74.400,-
'25:16:59.544',-,-0.064,-,-0.040,72.800,-
'25:16:59.552',-,-0.064,-,-0.040,73.600,-
'25:16:59.560',-,-0.048,-,-0.060,76.000,-
'25:16:59.568',-,-0.024,-,-0.040,76.800,-
'25:16:59.576',-,-0.024,-,-0.060,76.000,-
'25:16:59.584',-,0.000,-,-0.060,75.200,-
'25:16:59.592',-,-0.024,-,-0.080,76.000,-
'25:16:59.600',-,-0.040,-,-0.100,75.200,-
'25:16:59.608',-,-0.064,-,-0.080,73.600,-
'25:16:59.616',-,-0.096,-,-0.100,72.800,-
'25:16:59.624',-,-0.120,-,-0.100,74.400,-
'25:16:59.632',-,-0.136,-,-0.100,77.600,-
'25:16:59.640',-,-0.120,-,-0.100,78.400,-
'25:16:59.648',-,-0.136,-,-0.100,76.800,-
'25:16:59.656',-,-0.120,-,-0.100,75.200,-
'25:16:59.664',-,-0.136,-,-0.100,76.800,-
'25:16:59.672',-,-0.120,-,-0.100,80.800,-
'25:16:59.680',-,-0.120,-,-0.100,80.000,-
'25:16:59.688',-,-0.104,-,-0.080,73.600,-
'25:16:59.696',-,-0.120,-,-0.100,67.200,-
'25:16:59.704',-,-0.120,-,-0.060,66.400,-
'25:16:59.712',-,-0.136,-,-0.080,72.000,-
'25:16:59.720',-,-0.096,-,-0.020,76.000,-
'25:16:59.728',-,0.176,-,0.080,76.800,-
'25:16:59.736',-,0.496,-,0.400,76.000,-
'25:16:59.744',-,0.552,-,0.780,74.400,-
'25:16:59.752',-,0.440,-,0.540,71.200,-
'25:16:59.760',-,0.208,-,0.260,68.000,-
'25:16:59.768',-,0.048,-,0.220,65.600,-
'25:16:59.776',-,-0.080,-,0.300,64.800,-
'25:16:59.784',-,-0.152,-,0.260,64.800,-
'25:16:59.792',-,-0.248,-,0.200,63.200,-
'25:16:59.800',-,-0.208,-,0.140,63.200,-
'25:16:59.808',-,-0.104,-,0.040,63.200,-
'25:16:59.816',-,-0.064,-,-0.020,63.200,-
'25:16:59.824',-,-0.024,-,-0.040,61.600,-
'25:16:59.832',-,-0.048,-,-0.060,60.800,-
'25:16:59.840',-,-0.024,-,-0.080,60.800,-
'25:16:59.848',-,-0.024,-,-0.080,64.000,-
'25:16:59.856',-,0.000,-,-0.100,69.600,-
'25:16:59.864',-,0.000,-,-0.100,75.200,-
'25:16:59.872',-,0.000,-,-0.100,79.200,-
'25:16:59.880',-,0.024,-,-0.100,82.400,-
'25:16:59.888',-,0.024,-,-0.100,88.800,-
'25:16:59.896',-,0.040,-,-0.100,98.400,-
'25:16:59.904',-,0.048,-,-0.080,108.800,-
'25:16:59.912',-,0.048,-,-0.100,116.000,-
'25:16:59.920',-,0.080,-,-0.100,120.800,-
'25:16:59.928',-,0.096,-,-0.100,126.400,-
'25:16:59.936',-,0.120,-,-0.100,132.800,-
'25:16:59.944',-,0.152,-,-0.100,140.000,-
'25:16:59.952',-,0.152,-,-0.080,144.800,-
'25:16:59.960',-,0.152,-,-0.060,147.200,-
'25:16:59.968',-,0.152,-,-0.040,145.600,-
'25:16:59.976',-,0.120,-,-0.040,142.400,-
'25:16:59.984',-,0.080,-,-0.020,136.000,-
'25:16:59.992',-,0.048,-,-0.020,129.600,-
'25:17:00.000',-,0.024,-,0.000,122.400,-
'25:17:00.008',-,0.000,-,0.000,118.400,-
'25:17:00.016',-,0.000,-,0.000,116.800,-
'25:17:00.024',-,-0.024,-,-0.020,117.600,-
'25:17:00.032',-,-0.024,-,-0.020,117.600,-
'25:17:00.040',-,-0.048,-,-0.040,115.200,-
'25:17:00.048',-,-0.048,-,-0.040,111.200,-
'25:17:00.056',-,-0.048,-,-0.040,106.400,-
