'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'2:03:58.736',0.776,-,0.560,67.920,19.200
'2:03:58.744',0.816,-,0.736,67.080,19.200
'2:03:58.752',0.696,-,0.760,66.360,18.400
'2:03:58.760',0.376,-,0.336,65.520,18.400
'2:03:58.768',0.256,-,0.160,65.520,18.400
'2:03:58.776',0.080,-,0.000,64.680,19.200
'2:03:58.784',0.040,-,-0.040,64.680,20.000
'2:03:58.792',0.016,-,-0.056,63.960,21.600
'2:03:58.800',0.000,-,-0.080,63.960,23.200
'2:03:58.808',0.000,-,-0.096,63.960,24.800
'2:03:58.816',0.000,-,-0.096,63.960,26.400
'2:03:58.824',-0.016,-,-0.096,64.680,28.000
'2:03:58.832',0.000,-,-0.080,64.680,29.600
'2:03:58.840',0.000,-,-0.096,64.680,31.200
'2:03:58.848',-0.016,-,-0.096,64.680,32.000
'2:03:58.856',-0.016,-,-0.096,64.680,33.600
'2:03:58.864',-0.040,-,-0.096,64.680,34.400
'2:03:58.872',-0.040,-,-0.120,64.680,36.000
'2:03:58.880',-0.040,-,-0.120,64.680,37.600
'2:03:58.888',-0.056,-,-0.136,64.680,39.200
'2:03:58.896',-0.056,-,-0.096,65.520,40.800
'2:03:58.904',-0.080,-,-0.136,65.520,42.400
'2:03:58.912',-0.096,-,-0.136,65.520,44.000
'2:03:58.920',-0.120,-,-0.136,65.520,45.600
'2:03:58.928',-0.136,-,-0.136,65.520,46.400
'2:03:58.936',-0.136,-,-0.136,65.520,48.000
'2:03:58.944',-0.120,-,-0.136,65.520,48.800
'2:03:58.952',-0.136,-,-0.120,66.360,49.600
'2:03:58.960',-0.136,-,-0.096,66.360,49.600
'2:03:58.968',-0.080,-,-0.080,66.360,50.400
'2:03:58.976',-0.016,-,-0.040,66.360,49.600
'2:03:58.984',0.000,-,-0.040,67.080,49.600
'2:03:58.992',0.000,-,-0.016,67.080,48.800
'2:03:59.000',0.016,-,0.000,67.080,48.000
'2:03:59.008',0.016,-,-0.016,67.080,47.200
'2:03:59.016',0.040,-,0.000,67.080,45.600
'2:03:59.024',0.016,-,-0.016,66.360,44.800
'2:03:59.032',0.040,-,0.000,66.360,43.200
'2:03:59.040',0.016,-,-0.016,65.520,42.400
'2:03:59.048',0.016,-,-0.016,65.520,41.600
'2:03:59.056',0.040,-,0.000,65.520,40.800
'2:03:59.064',0.016,-,-0.016,64.680,40.800
'2:03:59.072',0.040,-,0.000,64.680,40.000
'2:03:59.080',0.016,-,0.000,64.680,40.000
'2:03:59.088',0.000,-,0.000,63.960,40.000
'2:03:59.096',0.016,-,0.000,63.960,40.000
'2:03:59.104',0.000,-,0.000,63.120,40.000
'2:03:59.112',0.016,-,-0.016,63.120,39.200
'2:03:59.120',0.000,-,0.000,63.120,39.200
'2:03:59.128',0.000,-,0.000,63.120,39.200
'2:03:59.136',0.000,-,-0.016,63.120,39.200
'2:03:59.144',0.000,-,0.000,62.280,38.400
'2:03:59.152',0.000,-,0.000,62.280,38.400
'2:03:59.160',0.016,-,0.000,62.280,37.600
'2:03:59.168',0.000,-,0.000,62.280,37.600
'2:03:59.176',0.000,-,0.000,61.560,37.600
'2:03:59.184',0.016,-,0.000,61.560,36.800
'2:03:59.192',0.000,-,0.000,61.560,36.800
'2:03:59.200',0.040,-,0.016,61.560,36.800
'2:03:59.208',0.040,-,0.016,60.720,36.800
'2:03:59.216',0.080,-,0.040,60.720,36.800
'2:03:59.224',0.080,-,0.040,60.720,36.800
'2:03:59.232',0.120,-,0.080,60.720,36.800
'2:03:59.240',0.160,-,0.080,60.720,36.800
'2:03:59.248',0.120,-,0.080,60.720,36.800
'2:03:59.256',0.080,-,0.040,60.720,36.800
'2:03:59.264',0.040,-,0.016,60.720,36.800
