'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:21:07.784',0.000,-,-,-0.020,136.800,-
'25:21:07.792',-0.012,-,-,-0.040,134.400,-
'25:21:07.800',-0.024,-,-,-0.060,131.200,-
'25:21:07.808',-0.061,-,-,-0.060,127.200,-
'25:21:07.816',-0.061,-,-,-0.080,123.200,-
'25:21:07.824',-0.049,-,-,-0.100,118.400,-
'25:21:07.832',-0.073,-,-,-0.080,112.800,-
'25:21:07.840',-0.085,-,-,-0.100,108.000,-
'25:21:07.848',-0.061,-,-,-0.100,103.200,-
'25:21:07.856',-0.061,-,-,-0.100,100.000,-
'25:21:07.864',-0.085,-,-,-0.100,96.800,-
'25:21:07.872',-0.061,-,-,-0.100,94.400,-
'25:21:07.880',-0.061,-,-,-0.100,92.800,-
'25:21:07.888',-0.061,-,-,-0.100,91.200,-
'25:21:07.896',-0.061,-,-,-0.100,91.200,-
'25:21:07.904',-0.085,-,-,-0.080,91.200,-
'25:21:07.912',-0.049,-,-,-0.060,91.200,-
'25:21:07.920',-0.024,-,-,-0.040,91.200,-
'25:21:07.928',-0.024,-,-,-0.060,91.200,-
'25:21:07.936',-0.012,-,-,-0.060,91.200,-
'25:21:07.944',-0.024,-,-,-0.080,92.000,-
'25:21:07.952',-0.024,-,-,-0.080,92.000,-
'25:21:07.960',0.000,-,-,-0.060,92.000,-
'25:21:07.968',-0.024,-,-,-0.100,92.000,-
'25:21:07.976',-0.037,-,-,-0.100,91.200,-
'25:21:07.984',-0.061,-,-,-0.120,90.400,-
'25:21:07.992',-0.110,-,-,-0.100,89.600,-
'25:21:08.000',-0.085,-,-,-0.120,88.800,-
'25:21:08.008',-0.073,-,-,-0.100,88.000,-
'25:21:08.016',-0.110,-,-,-0.120,88.000,-
'25:21:08.024',-0.122,-,-,-0.100,87.200,-
'25:21:08.032',-0.085,-,-,-0.100,86.400,-
'25:21:08.040',-0.073,-,-,-0.100,85.600,-
'25:21:08.048',-0.110,-,-,-0.100,85.600,-
'25:21:08.056',-0.085,-,-,-0.100,85.600,-
'25:21:08.064',-0.073,-,-,-0.100,85.600,-
'25:21:08.072',-0.122,-,-,-0.100,84.800,-
'25:21:08.080',-0.061,-,-,-0.080,84.000,-
'25:21:08.088',-0.085,-,-,-0.100,83.200,-
'25:21:08.096',-0.073,-,-,-0.080,82.400,-
'25:21:08.104',-0.085,-,-,-0.060,82.400,-
'25:21:08.112',-0.122,-,-,-0.040,81.600,-
