'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'121:04:54.896',-0.032,-0.018,-,-,-
'121:04:54.904',-0.032,-0.009,-,-,-
'121:04:54.912',-0.032,-0.018,-,-,-
'121:04:54.920',-0.048,-0.018,-,-,-
'121:04:54.928',-0.064,-0.035,-,-,-
'121:04:54.936',-0.096,-0.061,-,-,-
'121:04:54.944',-0.128,-0.096,-,-,-
'121:04:54.952',-0.160,-0.114,-,-,-
'121:04:54.960',-0.176,-0.149,-,-,-
'121:04:54.968',-0.176,-0.158,-,-,-
'121:04:54.976',-0.144,-0.149,-,-,-
'121:04:54.984',-0.088,-0.096,-,-,-
'121:04:54.992',-0.024,-0.044,-,-,-
'121:04:55.000',0.016,0.018,-,-,-
'121:04:55.008',0.032,0.035,-,-,-
'121:04:55.016',0.032,0.044,-,-,-
'121:04:55.024',0.032,0.053,-,-,-
'121:04:55.032',0.032,0.026,-,-,-
'121:04:55.040',0.032,0.044,-,-,-
'121:04:55.048',0.024,0.026,-,-,-
'121:04:55.056',0.024,0.035,-,-,-
'121:04:55.064',0.016,0.018,-,-,-
'121:04:55.072',0.008,0.026,-,-,-
'121:04:55.080',0.008,0.009,-,-,-
'121:04:55.088',0.000,0.018,-,-,-
'121:04:55.096',-0.016,0.000,-,-,-
'121:04:55.104',-0.064,0.000,-,-,-
'121:04:55.112',-0.072,-0.105,-,-,-
'121:04:55.120',0.192,-0.123,-,-,-
'121:04:55.128',0.640,0.211,-,-,-
'121:04:55.136',0.880,0.781,-,-,-
'121:04:55.144',0.624,0.895,-,-,-
'121:04:55.152',0.128,0.342,-,-,-
'121:04:55.160',-0.192,-0.158,-,-,-
'121:04:55.168',-0.256,-0.281,-,-,-
'121:04:55.176',-0.208,-0.254,-,-,-
'121:04:55.184',-0.168,-0.184,-,-,-
'121:04:55.192',-0.136,-0.175,-,-,-
'121:04:55.200',-0.096,-0.132,-,-,-
'121:04:55.208',-0.032,-0.070,-,-,-
'121:04:55.216',0.008,0.000,-,-,-
'121:04:55.224',0.024,0.018,-,-,-
'121:04:55.232',0.024,0.018,-,-,-
'121:04:55.240',0.024,0.018,-,-,-
'121:04:55.248',0.024,0.000,-,-,-
'121:04:55.256',0.032,0.018,-,-,-
'121:04:55.264',0.024,0.000,-,-,-
'121:04:55.272',0.024,0.018,-,-,-
'121:04:55.280',0.024,0.000,-,-,-
'121:04:55.288',0.016,0.009,-,-,-
'121:04:55.296',0.016,-0.009,-,-,-
'121:04:55.304',0.008,0.000,-,-,-
'121:04:55.312',0.008,-0.018,-,-,-
'121:04:55.320',0.000,-0.009,-,-,-
'121:04:55.328',0.000,-0.026,-,-,-
'121:04:55.336',-0.008,-0.018,-,-,-
'121:04:55.344',-0.008,-0.053,-,-,-
'121:04:55.352',-0.016,-0.035,-,-,-
'121:04:55.360',-0.032,-0.026,-,-,-
'121:04:55.368',-0.056,-0.061,-,-,-
'121:04:55.376',-0.088,-0.114,-,-,-
'121:04:55.384',-0.120,-0.140,-,-,-
'121:04:55.392',-0.128,-0.167,-,-,-
'121:04:55.400',-0.128,-0.175,-,-,-
'121:04:55.408',-0.104,-0.158,-,-,-
'121:04:55.416',-0.064,-0.114,-,-,-
'121:04:55.424',-0.008,-0.061,-,-,-
'121:04:55.432',0.040,0.009,-,-,-
'121:04:55.440',0.064,0.053,-,-,-
'121:04:55.448',0.064,0.053,-,-,-
'121:04:55.456',0.056,0.061,-,-,-
'121:04:55.464',0.048,0.044,-,-,-
'121:04:55.472',0.048,0.053,-,-,-
'121:04:55.480',0.048,0.044,-,-,-
'121:04:55.488',0.040,0.053,-,-,-
'121:04:55.496',0.032,0.026,-,-,-
'121:04:55.504',0.032,0.035,-,-,-
'121:04:55.512',0.024,0.018,-,-,-
'121:04:55.520',0.016,0.035,-,-,-
'121:04:55.528',0.008,0.009,-,-,-
'121:04:55.536',0.008,0.018,-,-,-
'121:04:55.544',0.000,0.000,-,-,-
'121:04:55.552',-0.008,0.009,-,-,-
'121:04:55.560',-0.016,-0.009,-,-,-
'121:04:55.568',-0.016,0.000,-,-,-
'121:04:55.576',-0.048,-0.018,-,-,-
'121:04:55.584',-0.128,-0.053,-,-,-
'121:04:55.592',-0.200,-0.175,-,-,-
'121:04:55.600',-0.080,-0.272,-,-,-
'121:04:55.608',0.360,-0.061,-,-,-
'121:04:55.616',0.744,0.535,-,-,-
'121:04:55.624',0.752,0.816,-,-,-
'121:04:55.632',0.216,0.377,-,-,-
'121:04:55.640',-0.080,-0.009,-,-,-
'121:04:55.648',-0.128,-0.175,-,-,-
'121:04:55.656',-0.056,-0.096,-,-,-
'121:04:55.664',-0.016,-0.026,-,-,-
'121:04:55.672',-0.008,-0.009,-,-,-
'121:04:55.680',-0.008,-0.018,-,-,-
'121:04:55.688',-0.008,-0.009,-,-,-
'121:04:55.696',-0.016,-0.026,-,-,-
'121:04:55.704',-0.016,-0.018,-,-,-
'121:04:55.712',-0.016,-0.035,-,-,-
'121:04:55.720',-0.024,-0.026,-,-,-
'121:04:55.728',-0.024,-0.035,-,-,-
'121:04:55.736',-0.024,-0.018,-,-,-
'121:04:55.744',-0.032,-0.044,-,-,-
'121:04:55.752',-0.040,-0.026,-,-,-
'121:04:55.760',-0.040,-0.053,-,-,-
'121:04:55.768',-0.048,-0.044,-,-,-
'121:04:55.776',-0.048,-0.061,-,-,-
'121:04:55.784',-0.056,-0.053,-,-,-
'121:04:55.792',-0.064,-0.061,-,-,-
'121:04:55.800',-0.080,-0.070,-,-,-
'121:04:55.808',-0.112,-0.105,-,-,-
'121:04:55.816',-0.144,-0.140,-,-,-
'121:04:55.824',-0.168,-0.175,-,-,-
'121:04:55.832',-0.184,-0.184,-,-,-
'121:04:55.840',-0.192,-0.202,-,-,-
'121:04:55.848',-0.168,-0.211,-,-,-
'121:04:55.856',-0.120,-0.158,-,-,-
'121:04:55.864',-0.056,-0.096,-,-,-
'121:04:55.872',-0.008,-0.026,-,-,-
'121:04:55.880',0.016,0.009,-,-,-
'121:04:55.888',0.016,0.018,-,-,-
'121:04:55.896',0.016,0.009,-,-,-
'121:04:55.904',0.008,0.026,-,-,-
'121:04:55.912',0.008,0.018,-,-,-
'121:04:55.920',0.008,0.026,-,-,-
'121:04:55.928',0.000,0.009,-,-,-
'121:04:55.936',0.000,0.018,-,-,-
'121:04:55.944',-0.008,0.000,-,-,-
'121:04:55.952',-0.016,0.009,-,-,-
'121:04:55.960',-0.024,-0.009,-,-,-
'121:04:55.968',-0.032,-0.009,-,-,-
'121:04:55.976',-0.032,0.000,-,-,-
'121:04:55.984',-0.032,-0.018,-,-,-
'121:04:55.992',-0.040,-0.018,-,-,-
'121:04:56.000',-0.048,-0.026,-,-,-
'121:04:56.008',-0.056,-0.018,-,-,-
'121:04:56.016',-0.072,-0.044,-,-,-
'121:04:56.024',-0.104,-0.035,-,-,-
'121:04:56.032',-0.144,-0.096,-,-,-
'121:04:56.040',-0.168,-0.132,-,-,-
'121:04:56.048',-0.184,-0.149,-,-,-
'121:04:56.056',-0.192,-0.167,-,-,-
'121:04:56.064',-0.176,-0.175,-,-,-
'121:04:56.072',-0.136,-0.140,-,-,-
'121:04:56.080',-0.072,-0.079,-,-,-
'121:04:56.088',-0.024,-0.018,-,-,-
'121:04:56.096',0.000,0.018,-,-,-
'121:04:56.104',0.008,0.035,-,-,-
