'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'121:35:26.896',0.008,-0.018,-,-,-
'121:35:26.904',0.008,-0.009,-,-,-
'121:35:26.912',0.016,-0.018,-,-,-
'121:35:26.920',0.016,0.000,-,-,-
'121:35:26.928',-0.008,-0.018,-,-,-
'121:35:26.936',-0.032,-0.053,-,-,-
'121:35:26.944',-0.064,-0.079,-,-,-
'121:35:26.952',-0.088,-0.105,-,-,-
'121:35:26.960',-0.096,-0.123,-,-,-
'121:35:26.968',-0.104,-0.132,-,-,-
'121:35:26.976',-0.112,-0.114,-,-,-
'121:35:26.984',-0.080,-0.140,-,-,-
'121:35:26.992',-0.024,-0.053,-,-,-
'121:35:27.000',0.024,0.000,-,-,-
'121:35:27.008',0.048,0.053,-,-,-
'121:35:27.016',0.056,0.044,-,-,-
'121:35:27.024',0.056,0.061,-,-,-
'121:35:27.032',0.048,0.044,-,-,-
'121:35:27.040',0.056,0.061,-,-,-
'121:35:27.048',0.048,0.044,-,-,-
'121:35:27.056',0.032,0.053,-,-,-
'121:35:27.064',0.024,0.009,-,-,-
'121:35:27.072',0.032,0.035,-,-,-
'121:35:27.080',0.040,0.044,-,-,-
'121:35:27.088',0.024,0.035,-,-,-
'121:35:27.096',0.008,0.000,-,-,-
'121:35:27.104',0.000,0.018,-,-,-
'121:35:27.112',-0.008,-0.009,-,-,-
'121:35:27.120',-0.008,0.000,-,-,-
'121:35:27.128',-0.008,-0.009,-,-,-
'121:35:27.136',-0.016,-0.018,-,-,-
'121:35:27.144',-0.032,0.000,-,-,-
'121:35:27.152',-0.064,-0.026,-,-,-
'121:35:27.160',-0.096,-0.079,-,-,-
'121:35:27.168',-0.120,-0.088,-,-,-
'121:35:27.176',-0.152,-0.114,-,-,-
'121:35:27.184',-0.176,-0.158,-,-,-
'121:35:27.192',-0.176,-0.167,-,-,-
'121:35:27.200',-0.144,-0.140,-,-,-
'121:35:27.208',-0.088,-0.096,-,-,-
'121:35:27.216',-0.032,-0.026,-,-,-
'121:35:27.224',0.008,0.018,-,-,-
'121:35:27.232',0.024,0.009,-,-,-
'121:35:27.240',0.032,0.053,-,-,-
'121:35:27.248',0.024,0.018,-,-,-
'121:35:27.256',0.032,0.053,-,-,-
'121:35:27.264',0.024,0.026,-,-,-
'121:35:27.272',0.016,0.044,-,-,-
'121:35:27.280',0.008,0.000,-,-,-
'121:35:27.288',0.008,0.009,-,-,-
'121:35:27.296',0.024,0.026,-,-,-
'121:35:27.304',0.024,0.035,-,-,-
'121:35:27.312',0.000,0.009,-,-,-
'121:35:27.320',-0.016,0.000,-,-,-
'121:35:27.328',-0.024,-0.018,-,-,-
'121:35:27.336',-0.016,-0.026,-,-,-
'121:35:27.344',-0.008,0.000,-,-,-
'121:35:27.352',-0.032,0.000,-,-,-
'121:35:27.360',-0.048,-0.044,-,-,-
'121:35:27.368',-0.048,-0.053,-,-,-
'121:35:27.376',-0.064,-0.018,-,-,-
'121:35:27.384',-0.096,-0.070,-,-,-
'121:35:27.392',-0.128,-0.096,-,-,-
'121:35:27.400',-0.152,-0.132,-,-,-
'121:35:27.408',-0.176,-0.123,-,-,-
'121:35:27.416',-0.184,-0.175,-,-,-
'121:35:27.424',-0.136,-0.140,-,-,-
