'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'121:02:48.896',0.824,0.816,-,-,-
'121:02:48.904',0.448,0.851,-,-,-
'121:02:48.912',0.008,0.167,-,-,-
'121:02:48.920',-0.192,-0.175,-,-,-
'121:02:48.928',-0.208,-0.237,-,-,-
'121:02:48.936',-0.160,-0.175,-,-,-
'121:02:48.944',-0.136,-0.149,-,-,-
'121:02:48.952',-0.104,-0.132,-,-,-
'121:02:48.960',-0.048,-0.079,-,-,-
'121:02:48.968',0.008,-0.018,-,-,-
'121:02:48.976',0.040,0.018,-,-,-
'121:02:48.984',0.048,0.035,-,-,-
'121:02:48.992',0.048,0.044,-,-,-
'121:02:49.000',0.048,0.026,-,-,-
'121:02:49.008',0.056,0.044,-,-,-
'121:02:49.016',0.056,0.026,-,-,-
'121:02:49.024',0.056,0.035,-,-,-
'121:02:49.032',0.048,0.018,-,-,-
'121:02:49.040',0.040,0.026,-,-,-
'121:02:49.048',0.040,0.009,-,-,-
'121:02:49.056',0.032,0.018,-,-,-
'121:02:49.064',0.024,0.000,-,-,-
'121:02:49.072',0.024,0.000,-,-,-
'121:02:49.080',0.016,-0.018,-,-,-
'121:02:49.088',0.016,0.000,-,-,-
'121:02:49.096',0.016,-0.018,-,-,-
'121:02:49.104',0.008,-0.018,-,-,-
'121:02:49.112',-0.008,-0.026,-,-,-
'121:02:49.120',-0.040,-0.061,-,-,-
'121:02:49.128',-0.072,-0.096,-,-,-
'121:02:49.136',-0.096,-0.132,-,-,-
'121:02:49.144',-0.112,-0.140,-,-,-
'121:02:49.152',-0.112,-0.158,-,-,-
'121:02:49.160',-0.096,-0.149,-,-,-
'121:02:49.168',-0.048,-0.123,-,-,-
'121:02:49.176',0.016,-0.044,-,-,-
'121:02:49.184',0.064,0.018,-,-,-
'121:02:49.192',0.088,0.061,-,-,-
'121:02:49.200',0.088,0.070,-,-,-
'121:02:49.208',0.088,0.079,-,-,-
'121:02:49.216',0.088,0.070,-,-,-
'121:02:49.224',0.088,0.088,-,-,-
'121:02:49.232',0.088,0.070,-,-,-
'121:02:49.240',0.080,0.079,-,-,-
'121:02:49.248',0.072,0.061,-,-,-
'121:02:49.256',0.064,0.053,-,-,-
'121:02:49.264',0.056,0.061,-,-,-
'121:02:49.272',0.048,0.044,-,-,-
'121:02:49.280',0.040,0.053,-,-,-
'121:02:49.288',0.032,0.035,-,-,-
'121:02:49.296',0.024,0.018,-,-,-
'121:02:49.304',0.016,0.026,-,-,-
'121:02:49.312',0.008,0.018,-,-,-
'121:02:49.320',-0.008,0.009,-,-,-
'121:02:49.328',-0.048,0.018,-,-,-
'121:02:49.336',-0.120,-0.070,-,-,-
'121:02:49.344',-0.136,-0.184,-,-,-
'121:02:49.352',0.160,-0.211,-,-,-
'121:02:49.360',0.584,0.202,-,-,-
'121:02:49.368',0.720,0.719,-,-,-
'121:02:49.376',0.424,0.772,-,-,-
'121:02:49.384',0.072,0.202,-,-,-
'121:02:49.392',-0.072,-0.061,-,-,-
'121:02:49.400',-0.048,-0.123,-,-,-
'121:02:49.408',0.016,-0.009,-,-,-
'121:02:49.416',0.032,0.018,-,-,-
'121:02:49.424',0.024,0.018,-,-,-
'121:02:49.432',0.032,0.018,-,-,-
'121:02:49.440',0.032,0.026,-,-,-
'121:02:49.448',0.024,0.009,-,-,-
'121:02:49.456',0.024,0.018,-,-,-
'121:02:49.464',0.016,0.000,-,-,-
'121:02:49.472',0.016,0.009,-,-,-
'121:02:49.480',0.016,0.000,-,-,-
'121:02:49.488',0.008,0.000,-,-,-
'121:02:49.496',0.008,-0.009,-,-,-
'121:02:49.504',0.000,0.000,-,-,-
'121:02:49.512',0.000,-0.018,-,-,-
'121:02:49.520',0.000,-0.018,-,-,-
'121:02:49.528',-0.008,-0.018,-,-,-
'121:02:49.536',-0.016,-0.026,-,-,-
'121:02:49.544',-0.040,-0.018,-,-,-
'121:02:49.552',-0.072,-0.070,-,-,-
'121:02:49.560',-0.104,-0.105,-,-,-
'121:02:49.568',-0.128,-0.132,-,-,-
'121:02:49.576',-0.144,-0.149,-,-,-
'121:02:49.584',-0.144,-0.167,-,-,-
'121:02:49.592',-0.120,-0.140,-,-,-
'121:02:49.600',-0.064,-0.140,-,-,-
'121:02:49.608',-0.008,-0.044,-,-,-
'121:02:49.616',0.040,0.009,-,-,-
'121:02:49.624',0.056,0.044,-,-,-
'121:02:49.632',0.056,0.044,-,-,-
'121:02:49.640',0.056,0.053,-,-,-
'121:02:49.648',0.056,0.053,-,-,-
'121:02:49.656',0.056,0.053,-,-,-
'121:02:49.664',0.048,0.053,-,-,-
'121:02:49.672',0.040,0.053,-,-,-
'121:02:49.680',0.032,0.026,-,-,-
'121:02:49.688',0.024,0.044,-,-,-
'121:02:49.696',0.016,0.026,-,-,-
'121:02:49.704',0.008,0.018,-,-,-
'121:02:49.712',0.008,0.026,-,-,-
'121:02:49.720',0.000,0.018,-,-,-
'121:02:49.728',-0.008,0.000,-,-,-
'121:02:49.736',-0.008,0.009,-,-,-
'121:02:49.744',-0.016,0.000,-,-,-
'121:02:49.752',-0.032,-0.009,-,-,-
'121:02:49.760',-0.056,0.000,-,-,-
'121:02:49.768',-0.096,-0.053,-,-,-
'121:02:49.776',-0.128,-0.088,-,-,-
'121:02:49.784',-0.152,-0.114,-,-,-
'121:02:49.792',-0.160,-0.140,-,-,-
'121:02:49.800',-0.152,-0.140,-,-,-
'121:02:49.808',-0.120,-0.123,-,-,-
'121:02:49.816',-0.072,-0.079,-,-,-
'121:02:49.824',-0.016,-0.018,-,-,-
'121:02:49.832',0.024,0.018,-,-,-
'121:02:49.840',0.032,0.053,-,-,-
'121:02:49.848',0.032,0.044,-,-,-
'121:02:49.856',0.040,0.053,-,-,-
'121:02:49.864',0.040,0.044,-,-,-
'121:02:49.872',0.040,0.053,-,-,-
'121:02:49.880',0.040,0.044,-,-,-
'121:02:49.888',0.032,0.053,-,-,-
'121:02:49.896',0.032,0.035,-,-,-
'121:02:49.904',0.024,0.035,-,-,-
'121:02:49.912',0.016,0.044,-,-,-
'121:02:49.920',0.008,0.018,-,-,-
'121:02:49.928',0.008,0.026,-,-,-
'121:02:49.936',0.000,0.009,-,-,-
'121:02:49.944',0.000,0.018,-,-,-
'121:02:49.952',-0.008,0.000,-,-,-
'121:02:49.960',-0.016,0.009,-,-,-
'121:02:49.968',-0.032,-0.009,-,-,-
'121:02:49.976',-0.056,0.000,-,-,-
'121:02:49.984',-0.096,-0.061,-,-,-
'121:02:49.992',-0.128,-0.096,-,-,-
'121:02:50.000',-0.144,-0.114,-,-,-
'121:02:50.008',-0.144,-0.132,-,-,-
'121:02:50.016',-0.136,-0.140,-,-,-
'121:02:50.024',-0.096,-0.096,-,-,-
'121:02:50.032',-0.040,-0.105,-,-,-
'121:02:50.040',0.024,0.000,-,-,-
'121:02:50.048',0.056,0.053,-,-,-
'121:02:50.056',0.064,0.070,-,-,-
'121:02:50.064',0.064,0.053,-,-,-
'121:02:50.072',0.064,0.061,-,-,-
'121:02:50.080',0.064,0.053,-,-,-
'121:02:50.088',0.056,0.061,-,-,-
'121:02:50.096',0.056,0.044,-,-,-
'121:02:50.104',0.048,0.053,-,-,-
'121:02:50.112',0.040,0.044,-,-,-
'121:02:50.120',0.032,0.053,-,-,-
'121:02:50.128',0.024,0.026,-,-,-
'121:02:50.136',0.016,0.018,-,-,-
'121:02:50.144',-0.024,0.035,-,-,-
'121:02:50.152',-0.064,-0.044,-,-,-
'121:02:50.160',0.000,-0.132,-,-,-
'121:02:50.168',0.328,-0.035,-,-,-
'121:02:50.176',0.760,0.421,-,-,-
'121:02:50.184',0.856,0.860,-,-,-
'121:02:50.192',0.432,0.877,-,-,-
'121:02:50.200',-0.008,0.149,-,-,-
'121:02:50.208',-0.208,-0.202,-,-,-
'121:02:50.216',-0.224,-0.254,-,-,-
'121:02:50.224',-0.168,-0.184,-,-,-
'121:02:50.232',-0.136,-0.158,-,-,-
'121:02:50.240',-0.096,-0.132,-,-,-
'121:02:50.248',-0.040,-0.079,-,-,-
'121:02:50.256',0.016,-0.009,-,-,-
'121:02:50.264',0.040,0.018,-,-,-
'121:02:50.272',0.048,0.044,-,-,-
'121:02:50.280',0.048,0.026,-,-,-
'121:02:50.288',0.048,0.018,-,-,-
'121:02:50.296',0.056,0.035,-,-,-
'121:02:50.304',0.056,0.026,-,-,-
'121:02:50.312',0.048,0.035,-,-,-
'121:02:50.320',0.048,0.018,-,-,-
'121:02:50.328',0.040,0.026,-,-,-
'121:02:50.336',0.032,0.009,-,-,-
'121:02:50.344',0.032,0.018,-,-,-
'121:02:50.352',0.024,0.000,-,-,-
'121:02:50.360',0.024,0.000,-,-,-
'121:02:50.368',0.016,-0.009,-,-,-
'121:02:50.376',0.008,-0.018,-,-,-
'121:02:50.384',0.008,-0.018,-,-,-
'121:02:50.392',0.008,-0.018,-,-,-
'121:02:50.400',-0.008,-0.035,-,-,-
'121:02:50.408',-0.040,-0.026,-,-,-
'121:02:50.416',-0.080,-0.096,-,-,-
'121:02:50.424',-0.104,-0.123,-,-,-
'121:02:50.432',-0.120,-0.158,-,-,-
'121:02:50.440',-0.128,-0.167,-,-,-
'121:02:50.448',-0.104,-0.175,-,-,-
'121:02:50.456',-0.056,-0.123,-,-,-
'121:02:50.464',0.008,-0.053,-,-,-
'121:02:50.472',0.056,0.018,-,-,-
'121:02:50.480',0.088,0.053,-,-,-
'121:02:50.488',0.088,0.079,-,-,-
'121:02:50.496',0.088,0.061,-,-,-
'121:02:50.504',0.088,0.079,-,-,-
'121:02:50.512',0.080,0.070,-,-,-
'121:02:50.520',0.080,0.079,-,-,-
'121:02:50.528',0.072,0.061,-,-,-
'121:02:50.536',0.064,0.053,-,-,-
'121:02:50.544',0.064,0.070,-,-,-
'121:02:50.552',0.056,0.053,-,-,-
'121:02:50.560',0.048,0.061,-,-,-
'121:02:50.568',0.040,0.044,-,-,-
'121:02:50.576',0.032,0.035,-,-,-
'121:02:50.584',0.024,0.026,-,-,-
'121:02:50.592',0.016,0.035,-,-,-
'121:02:50.600',0.008,0.018,-,-,-
'121:02:50.608',0.000,0.018,-,-,-
'121:02:50.616',-0.032,0.000,-,-,-
'121:02:50.624',-0.112,-0.035,-,-,-
'121:02:50.632',-0.176,-0.167,-,-,-
'121:02:50.640',-0.056,-0.246,-,-,-
'121:02:50.648',0.344,-0.061,-,-,-
'121:02:50.656',0.680,0.482,-,-,-
'121:02:50.664',0.688,0.737,-,-,-
'121:02:50.672',0.224,0.351,-,-,-
'121:02:50.680',0.000,0.053,-,-,-
'121:02:50.688',-0.048,-0.070,-,-,-
'121:02:50.696',0.000,-0.035,-,-,-
'121:02:50.704',0.024,0.018,-,-,-
'121:02:50.712',0.024,0.009,-,-,-
'121:02:50.720',0.024,0.018,-,-,-
'121:02:50.728',0.024,0.026,-,-,-
'121:02:50.736',0.016,0.009,-,-,-
'121:02:50.744',0.008,0.018,-,-,-
'121:02:50.752',0.008,0.000,-,-,-
'121:02:50.760',0.008,0.000,-,-,-
'121:02:50.768',0.000,-0.009,-,-,-
'121:02:50.776',0.000,0.000,-,-,-
'121:02:50.784',-0.008,-0.018,-,-,-
'121:02:50.792',-0.008,-0.009,-,-,-
'121:02:50.800',-0.016,-0.026,-,-,-
'121:02:50.808',-0.016,-0.018,-,-,-
'121:02:50.816',-0.024,-0.035,-,-,-
'121:02:50.824',-0.032,-0.026,-,-,-
'121:02:50.832',-0.056,-0.061,-,-,-
'121:02:50.840',-0.088,-0.053,-,-,-
'121:02:50.848',-0.120,-0.123,-,-,-
'121:02:50.856',-0.144,-0.140,-,-,-
'121:02:50.864',-0.160,-0.175,-,-,-
'121:02:50.872',-0.168,-0.175,-,-,-
'121:02:50.880',-0.144,-0.184,-,-,-
'121:02:50.888',-0.104,-0.140,-,-,-
'121:02:50.896',-0.040,-0.088,-,-,-
'121:02:50.904',0.008,-0.009,-,-,-
'121:02:50.912',0.032,0.018,-,-,-
'121:02:50.920',0.040,0.035,-,-,-
'121:02:50.928',0.048,0.026,-,-,-
'121:02:50.936',0.048,0.053,-,-,-
'121:02:50.944',0.048,0.053,-,-,-
'121:02:50.952',0.040,0.044,-,-,-
'121:02:50.960',0.032,0.053,-,-,-
'121:02:50.968',0.024,0.026,-,-,-
'121:02:50.976',0.016,0.044,-,-,-
'121:02:50.984',0.008,0.018,-,-,-
'121:02:50.992',0.000,0.026,-,-,-
'121:02:51.000',0.000,0.000,-,-,-
'121:02:51.008',-0.008,0.009,-,-,-
'121:02:51.016',-0.016,0.000,-,-,-
'121:02:51.024',-0.016,0.000,-,-,-
'121:02:51.032',-0.024,-0.009,-,-,-
