'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'29:22.200',0.032,0.026,63.200,20.800
'29:22.208',0.032,0.034,63.200,21.200
'29:22.216',0.048,0.034,63.200,21.200
'29:22.224',0.056,0.034,63.200,21.200
'29:22.232',0.072,0.052,63.200,20.800
'29:22.240',0.096,0.069,64.000,20.400
'29:22.248',0.096,0.086,64.000,20.400
'29:22.256',0.096,0.069,63.200,20.800
'29:22.264',0.072,0.069,63.200,20.800
'29:22.272',0.032,0.043,63.200,20.400
'29:22.280',0.008,0.009,63.200,19.200
'29:22.288',-0.016,-0.009,63.200,18.000
'29:22.296',-0.024,-0.017,62.400,17.200
'29:22.304',-0.024,-0.017,62.400,17.600
'29:22.312',-0.024,-0.017,62.400,18.800
'29:22.320',-0.024,-0.017,61.600,20.000
'29:22.328',-0.024,-0.017,61.600,20.800
'29:22.336',-0.016,-0.017,60.800,21.200
'29:22.344',-0.016,-0.017,60.800,20.800
'29:22.352',-0.008,-0.017,60.800,19.600
'29:22.360',0.008,-0.017,60.000,18.400
'29:22.368',0.064,0.000,60.000,17.600
'29:22.376',0.120,0.052,60.000,17.200
'29:22.384',0.144,0.103,59.200,17.600
'29:22.392',0.056,0.069,58.400,18.400
'29:22.400',-0.096,-0.043,58.400,18.800
'29:22.408',-0.216,-0.198,57.600,18.400
'29:22.416',-0.256,-0.250,57.600,18.000
'29:22.424',-0.200,-0.284,56.800,17.600
'29:22.432',-0.104,-0.138,56.800,18.400
'29:22.440',-0.032,-0.060,56.000,19.600
'29:22.448',-0.016,-0.017,56.000,20.000
'29:22.456',-0.008,-0.017,55.200,20.800
'29:22.464',-0.008,-0.009,55.200,22.400
'29:22.472',-0.008,0.000,55.200,25.600
'29:22.480',0.000,-0.009,54.400,28.800
'29:22.488',0.000,0.000,54.400,30.800
'29:22.496',0.000,0.000,54.400,32.000
'29:22.504',0.000,0.000,54.400,33.200
'29:22.512',0.000,0.000,53.600,34.000
'29:22.520',0.000,0.000,53.600,34.800
'29:22.528',0.000,0.000,53.600,35.600
'29:22.536',0.000,0.000,54.400,35.200
'29:22.544',0.000,0.000,55.200,34.800
'29:22.552',0.000,0.000,57.600,34.800
'29:22.560',0.000,0.000,61.600,34.800
'29:22.568',0.008,0.000,66.400,34.800
'29:22.576',0.008,0.000,72.800,34.400
'29:22.584',0.008,0.000,78.400,33.600
'29:22.592',0.008,0.000,84.000,32.800
'29:22.600',0.008,0.000,88.000,32.400
'29:22.608',0.016,0.009,92.000,32.000
'29:22.616',0.016,0.017,95.200,32.000
'29:22.624',0.016,0.017,97.600,32.000
'29:22.632',0.024,0.009,99.200,32.000
'29:22.640',0.016,0.017,100.800,32.000
'29:22.648',0.016,0.017,101.600,31.600
'29:22.656',0.016,0.026,102.400,31.600
'29:22.664',0.016,0.017,102.400,30.800
'29:22.672',0.016,0.017,101.600,30.400
'29:22.680',0.016,0.009,100.800,29.200
'29:22.688',0.016,0.017,100.000,28.800
'29:22.696',0.016,0.009,98.400,28.000
'29:22.704',0.016,0.000,96.800,27.600
'29:22.712',0.016,0.000,95.200,27.600
'29:22.720',0.016,0.009,92.800,27.200
'29:22.728',0.016,0.000,90.400,26.400
'29:22.736',0.016,0.000,88.000,25.600
'29:22.744',0.016,0.000,84.800,24.400
'29:22.752',0.016,0.000,80.800,24.000
'29:22.760',0.008,0.000,77.600,23.600
'29:22.768',0.008,0.000,74.400,24.000
'29:22.776',0.008,0.000,72.000,24.000
'29:22.784',0.008,0.000,69.600,24.800
'29:22.792',0.008,0.000,68.000,24.800
'29:22.800',0.008,0.000,67.200,24.800
'29:22.808',0.008,0.000,65.600,24.800
'29:22.816',0.008,0.000,64.800,24.400
'29:22.824',0.008,0.000,64.800,24.000
'29:22.832',0.008,0.000,64.000,23.600
'29:22.840',0.016,0.000,64.000,22.800
'29:22.848',0.024,0.000,64.800,22.400
'29:22.856',0.024,0.026,64.800,21.600
'29:22.864',0.032,0.034,64.800,21.600
'29:22.872',0.032,0.034,64.800,21.200
'29:22.880',0.048,0.034,64.800,21.200
'29:22.888',0.072,0.052,65.600,20.800
'29:22.896',0.096,0.086,65.600,20.800
'29:22.904',0.096,0.095,65.600,20.800
'29:22.912',0.096,0.086,65.600,21.200
'29:22.920',0.072,0.069,65.600,21.600
'29:22.928',0.048,0.052,65.600,21.200
'29:22.936',0.016,0.026,65.600,20.400
'29:22.944',-0.008,0.000,64.800,19.200
'29:22.952',-0.016,-0.017,64.800,18.400
'29:22.960',-0.024,-0.017,64.800,18.400
'29:22.968',-0.024,-0.017,64.000,18.800
'29:22.976',-0.024,-0.017,64.000,20.000
'29:22.984',-0.016,-0.034,64.000,20.800
'29:22.992',-0.016,-0.017,63.200,21.200
'29:23.000',-0.016,-0.017,63.200,21.200
'29:23.008',-0.016,-0.017,62.400,20.800
'29:23.016',0.008,-0.017,62.400,20.000
'29:23.024',0.056,0.000,61.600,19.200
'29:23.032',0.112,0.034,61.600,18.400
'29:23.040',0.152,0.103,60.800,18.400
'29:23.048',0.096,0.112,60.800,18.800
'29:23.056',-0.056,0.000,60.000,19.200
'29:23.064',-0.200,-0.181,60.000,19.200
'29:23.072',-0.256,-0.241,59.200,18.800
'29:23.080',-0.216,-0.284,58.400,18.400
'29:23.088',-0.120,-0.172,58.400,18.800
'29:23.096',-0.056,-0.078,57.600,20.000
'29:23.104',-0.016,-0.034,57.600,20.800
'29:23.112',-0.008,-0.017,56.800,20.800
'29:23.120',-0.008,-0.009,56.800,21.200
'29:23.128',-0.008,-0.009,56.800,23.600
'29:23.136',-0.008,-0.009,56.000,26.800
'29:23.144',0.000,-0.009,56.000,30.000
'29:23.152',0.000,-0.009,55.200,31.600
'29:23.160',0.000,-0.009,55.200,32.800
'29:23.168',0.000,0.000,55.200,33.200
'29:23.176',0.000,0.000,55.200,34.000
'29:23.184',0.000,0.000,55.200,34.800
'29:23.192',0.000,-0.009,55.200,35.600
'29:23.200',0.000,0.000,56.800,36.000
'29:23.208',0.000,0.000,58.400,36.000
'29:23.216',0.008,0.000,62.400,35.200
'29:23.224',0.008,0.000,67.200,34.000
'29:23.232',0.008,0.000,72.800,32.800
'29:23.240',0.008,0.000,79.200,32.000
'29:23.248',0.008,0.009,84.000,32.000
