'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'8:48:21.520',-,0.000,-,-,61.600,-
'8:48:21.528',-,0.000,-,-,59.200,-
'8:48:21.536',-,0.043,-,-,56.800,-
'8:48:21.544',-,0.085,-,-,55.200,-
'8:48:21.552',-,0.111,-,-,53.600,-
'8:48:21.560',-,0.085,-,-,52.000,-
'8:48:21.568',-,0.043,-,-,51.200,-
'8:48:21.576',-,0.000,-,-,50.400,-
'8:48:21.584',-,-0.043,-,-,49.600,-
'8:48:21.592',-,-0.043,-,-,49.600,-
'8:48:21.600',-,-0.043,-,-,48.800,-
'8:48:21.608',-,-0.060,-,-,48.000,-
'8:48:21.616',-,-0.085,-,-,48.000,-
'8:48:21.624',-,-0.060,-,-,48.000,-
'8:48:21.632',-,-0.111,-,-,47.200,-
'8:48:21.640',-,-0.060,-,-,47.200,-
'8:48:21.648',-,-0.111,-,-,46.400,-
'8:48:21.656',-,0.179,-,-,46.400,-
'8:48:21.664',-,0.427,-,-,46.400,-
'8:48:21.672',-,0.470,-,-,45.600,-
'8:48:21.680',-,0.000,-,-,45.600,-
'8:48:21.688',-,0.000,-,-,45.600,-
'8:48:21.696',-,0.000,-,-,45.600,-
'8:48:21.704',-,-0.043,-,-,45.600,-
'8:48:21.712',-,-0.111,-,-,44.800,-
'8:48:21.720',-,-0.111,-,-,44.800,-
'8:48:21.728',-,-0.060,-,-,44.800,-
'8:48:21.736',-,-0.111,-,-,44.000,-
'8:48:21.744',-,-0.111,-,-,44.000,-
'8:48:21.752',-,-0.111,-,-,44.000,-
'8:48:21.760',-,-0.111,-,-,44.000,-
'8:48:21.768',-,-0.060,-,-,44.000,-
'8:48:21.776',-,-0.085,-,-,44.800,-
'8:48:21.784',-,-0.060,-,-,47.200,-
'8:48:21.792',-,-0.085,-,-,50.400,-
'8:48:21.800',-,-0.060,-,-,54.400,-
'8:48:21.808',-,-0.043,-,-,60.000,-
'8:48:21.816',-,-0.043,-,-,64.800,-
'8:48:21.824',-,-0.085,-,-,70.400,-
'8:48:21.832',-,-0.111,-,-,75.200,-
'8:48:21.840',-,-0.154,-,-,80.000,-
'8:48:21.848',-,-0.154,-,-,84.000,-
'8:48:21.856',-,-0.111,-,-,87.200,-
'8:48:21.864',-,-0.111,-,-,89.600,-
'8:48:21.872',-,-0.043,-,-,91.200,-
'8:48:21.880',-,-0.085,-,-,92.000,-
'8:48:21.888',-,-0.111,-,-,92.800,-
'8:48:21.896',-,-0.060,-,-,92.800,-
'8:48:21.904',-,-0.085,-,-,92.800,-
'8:48:21.912',-,-0.085,-,-,92.000,-
'8:48:21.920',-,-0.060,-,-,90.400,-
'8:48:21.928',-,-0.017,-,-,89.600,-
'8:48:21.936',-,0.000,-,-,88.000,-
'8:48:21.944',-,0.017,-,-,85.600,-
'8:48:21.952',-,0.043,-,-,83.200,-
'8:48:21.960',-,0.000,-,-,80.000,-
'8:48:21.968',-,0.000,-,-,76.800,-
'8:48:21.976',-,0.000,-,-,73.600,-
'8:48:21.984',-,0.043,-,-,69.600,-
'8:48:21.992',-,0.085,-,-,66.400,-
'8:48:22.000',-,0.085,-,-,62.400,-
