'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'9:12:55.520',-,-0.060,-,-,60.000,-
'9:12:55.528',-,-0.060,-,-,64.800,-
'9:12:55.536',-,-0.043,-,-,69.600,-
'9:12:55.544',-,-0.060,-,-,73.600,-
'9:12:55.552',-,-0.085,-,-,76.800,-
'9:12:55.560',-,-0.060,-,-,79.200,-
'9:12:55.568',-,-0.111,-,-,81.600,-
'9:12:55.576',-,-0.111,-,-,82.400,-
'9:12:55.584',-,-0.111,-,-,83.200,-
'9:12:55.592',-,-0.085,-,-,84.000,-
'9:12:55.600',-,-0.060,-,-,84.000,-
'9:12:55.608',-,-0.043,-,-,84.000,-
'9:12:55.616',-,-0.043,-,-,83.200,-
'9:12:55.624',-,0.000,-,-,82.400,-
'9:12:55.632',-,0.000,-,-,80.800,-
'9:12:55.640',-,0.000,-,-,79.200,-
'9:12:55.648',-,0.000,-,-,76.800,-
'9:12:55.656',-,0.017,-,-,74.400,-
'9:12:55.664',-,0.043,-,-,71.200,-
'9:12:55.672',-,0.017,-,-,68.000,-
'9:12:55.680',-,0.060,-,-,64.800,-
'9:12:55.688',-,0.085,-,-,61.600,-
'9:12:55.696',-,0.060,-,-,59.200,-
'9:12:55.704',-,0.085,-,-,56.800,-
'9:12:55.712',-,0.085,-,-,54.400,-
'9:12:55.720',-,0.128,-,-,52.800,-
'9:12:55.728',-,0.128,-,-,52.000,-
'9:12:55.736',-,0.128,-,-,50.400,-
'9:12:55.744',-,0.111,-,-,49.600,-
'9:12:55.752',-,0.085,-,-,49.600,-
'9:12:55.760',-,0.017,-,-,48.800,-
'9:12:55.768',-,0.000,-,-,48.800,-
'9:12:55.776',-,-0.017,-,-,48.000,-
'9:12:55.784',-,0.000,-,-,48.000,-
'9:12:55.792',-,-0.017,-,-,47.200,-
'9:12:55.800',-,-0.017,-,-,47.200,-
'9:12:55.808',-,0.000,-,-,47.200,-
'9:12:55.816',-,-0.017,-,-,46.400,-
'9:12:55.824',-,-0.017,-,-,46.400,-
'9:12:55.832',-,0.128,-,-,46.400,-
'9:12:55.840',-,0.427,-,-,45.600,-
'9:12:55.848',-,0.564,-,-,45.600,-
'9:12:55.856',-,0.179,-,-,45.600,-
'9:12:55.864',-,0.000,-,-,45.600,-
'9:12:55.872',-,0.043,-,-,44.800,-
'9:12:55.880',-,0.000,-,-,44.800,-
'9:12:55.888',-,0.000,-,-,44.800,-
'9:12:55.896',-,-0.043,-,-,44.800,-
'9:12:55.904',-,-0.043,-,-,44.000,-
'9:12:55.912',-,-0.060,-,-,44.000,-
'9:12:55.920',-,-0.085,-,-,44.000,-
'9:12:55.928',-,-0.060,-,-,44.000,-
'9:12:55.936',-,-0.043,-,-,43.200,-
'9:12:55.944',-,-0.043,-,-,43.200,-
'9:12:55.952',-,-0.085,-,-,44.000,-
'9:12:55.960',-,-0.060,-,-,46.400,-
'9:12:55.968',-,-0.111,-,-,49.600,-
'9:12:55.976',-,-0.085,-,-,54.400,-
'9:12:55.984',-,-0.085,-,-,60.000,-
'9:12:55.992',-,-0.085,-,-,65.600,-
'9:12:56.000',-,-0.111,-,-,70.400,-
'9:12:56.008',-,-0.085,-,-,75.200,-
'9:12:56.016',-,-0.060,-,-,79.200,-
'9:12:56.024',-,-0.111,-,-,82.400,-
'9:12:56.032',-,-0.128,-,-,85.600,-
'9:12:56.040',-,-0.128,-,-,87.200,-
'9:12:56.048',-,-0.128,-,-,88.800,-
'9:12:56.056',-,-0.111,-,-,90.400,-
'9:12:56.064',-,-0.111,-,-,90.400,-
'9:12:56.072',-,-0.111,-,-,91.200,-
'9:12:56.080',-,-0.085,-,-,90.400,-
'9:12:56.088',-,-0.085,-,-,90.400,-
'9:12:56.096',-,-0.111,-,-,89.600,-
'9:12:56.104',-,-0.085,-,-,88.800,-
'9:12:56.112',-,-0.043,-,-,87.200,-
'9:12:56.120',-,0.000,-,-,85.600,-
'9:12:56.128',-,-0.017,-,-,84.000,-
'9:12:56.136',-,0.000,-,-,81.600,-
'9:12:56.144',-,0.000,-,-,79.200,-
'9:12:56.152',-,0.000,-,-,76.000,-
'9:12:56.160',-,0.000,-,-,72.800,-
'9:12:56.168',-,0.017,-,-,69.600,-
'9:12:56.176',-,0.043,-,-,65.600,-
'9:12:56.184',-,0.043,-,-,62.400,-
'9:12:56.192',-,0.043,-,-,60.000,-
'9:12:56.200',-,0.085,-,-,57.600,-
'9:12:56.208',-,0.128,-,-,56.000,-
'9:12:56.216',-,0.085,-,-,53.600,-
'9:12:56.224',-,0.085,-,-,52.800,-
'9:12:56.232',-,0.017,-,-,52.000,-
'9:12:56.240',-,0.000,-,-,51.200,-
'9:12:56.248',-,-0.043,-,-,50.400,-
'9:12:56.256',-,-0.043,-,-,49.600,-
'9:12:56.264',-,-0.043,-,-,49.600,-
'9:12:56.272',-,-0.060,-,-,49.600,-
'9:12:56.280',-,-0.060,-,-,48.800,-
'9:12:56.288',-,-0.043,-,-,48.800,-
'9:12:56.296',-,-0.043,-,-,48.800,-
'9:12:56.304',-,-0.060,-,-,48.000,-
'9:12:56.312',-,0.128,-,-,48.000,-
'9:12:56.320',-,0.359,-,-,47.200,-
'9:12:56.328',-,0.470,-,-,47.200,-
'9:12:56.336',-,0.085,-,-,46.400,-
'9:12:56.344',-,0.000,-,-,46.400,-
'9:12:56.352',-,0.043,-,-,45.600,-
'9:12:56.360',-,0.000,-,-,45.600,-
'9:12:56.368',-,-0.060,-,-,44.800,-
'9:12:56.376',-,-0.111,-,-,44.800,-
'9:12:56.384',-,-0.128,-,-,44.800,-
'9:12:56.392',-,-0.111,-,-,44.000,-
'9:12:56.400',-,-0.111,-,-,44.000,-
'9:12:56.408',-,-0.111,-,-,44.000,-
'9:12:56.416',-,-0.111,-,-,43.200,-
'9:12:56.424',-,-0.111,-,-,43.200,-
'9:12:56.432',-,-0.111,-,-,44.000,-
'9:12:56.440',-,-0.128,-,-,45.600,-
'9:12:56.448',-,-0.111,-,-,48.000,-
'9:12:56.456',-,-0.111,-,-,52.800,-
'9:12:56.464',-,-0.085,-,-,57.600,-
'9:12:56.472',-,-0.128,-,-,63.200,-
'9:12:56.480',-,-0.111,-,-,68.000,-
'9:12:56.488',-,-0.111,-,-,72.800,-
'9:12:56.496',-,-0.111,-,-,76.800,-
'9:12:56.504',-,-0.128,-,-,80.000,-
'9:12:56.512',-,-0.128,-,-,83.200,-
'9:12:56.520',-,-0.128,-,-,85.600,-
'9:12:56.528',-,-0.154,-,-,87.200,-
'9:12:56.536',-,-0.154,-,-,88.000,-
'9:12:56.544',-,-0.154,-,-,88.800,-
'9:12:56.552',-,-0.154,-,-,88.800,-
'9:12:56.560',-,-0.128,-,-,88.800,-
'9:12:56.568',-,-0.111,-,-,88.000,-
'9:12:56.576',-,-0.085,-,-,87.200,-
'9:12:56.584',-,-0.060,-,-,86.400,-
'9:12:56.592',-,-0.017,-,-,84.800,-
'9:12:56.600',-,0.000,-,-,83.200,-
'9:12:56.608',-,-0.017,-,-,80.800,-
'9:12:56.616',-,0.000,-,-,78.400,-
'9:12:56.624',-,0.000,-,-,75.200,-
'9:12:56.632',-,0.000,-,-,72.000,-
'9:12:56.640',-,0.000,-,-,68.800,-
'9:12:56.648',-,0.000,-,-,65.600,-
'9:12:56.656',-,0.000,-,-,62.400,-
'9:12:56.664',-,0.043,-,-,59.200,-
'9:12:56.672',-,0.043,-,-,56.800,-
'9:12:56.680',-,0.043,-,-,55.200,-
'9:12:56.688',-,0.085,-,-,53.600,-
'9:12:56.696',-,0.111,-,-,52.000,-
'9:12:56.704',-,0.085,-,-,51.200,-
'9:12:56.712',-,0.060,-,-,50.400,-
'9:12:56.720',-,0.017,-,-,49.600,-
'9:12:56.728',-,0.000,-,-,48.800,-
'9:12:56.736',-,0.000,-,-,48.800,-
'9:12:56.744',-,-0.017,-,-,48.000,-
'9:12:56.752',-,-0.043,-,-,47.200,-
'9:12:56.760',-,0.000,-,-,47.200,-
'9:12:56.768',-,-0.017,-,-,46.400,-
'9:12:56.776',-,-0.043,-,-,46.400,-
'9:12:56.784',-,-0.043,-,-,45.600,-
'9:12:56.792',-,-0.043,-,-,45.600,-
'9:12:56.800',-,0.154,-,-,44.800,-
'9:12:56.808',-,0.427,-,-,44.800,-
'9:12:56.816',-,0.470,-,-,44.800,-
