'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'7:42:38.776',0.779,0.606,50.400,14.000
'7:42:38.784',0.356,0.423,52.000,14.400
'7:42:38.792',0.096,0.202,53.600,14.400
'7:42:38.800',-0.077,0.000,55.200,15.200
'7:42:38.808',-0.096,-0.029,56.800,16.000
'7:42:38.816',-0.048,-0.048,57.600,16.800
'7:42:38.824',-0.038,-0.010,59.200,17.600
'7:42:38.832',-0.048,-0.048,60.000,18.400
'7:42:38.840',-0.067,-0.029,60.800,19.200
'7:42:38.848',-0.038,-0.048,60.800,20.800
'7:42:38.856',-0.067,-0.029,60.800,22.000
'7:42:38.864',-0.038,-0.048,60.800,22.800
'7:42:38.872',-0.048,-0.029,60.800,22.800
'7:42:38.880',-0.019,-0.048,60.000,22.000
'7:42:38.888',-0.038,-0.029,59.200,21.600
'7:42:38.896',-0.010,-0.029,59.200,21.600
'7:42:38.904',-0.029,-0.048,58.400,23.200
'7:42:38.912',0.000,-0.029,59.200,25.600
'7:42:38.920',-0.019,-0.048,61.600,28.400
'7:42:38.928',0.000,-0.029,66.400,31.200
'7:42:38.936',-0.019,-0.048,72.800,33.600
'7:42:38.944',0.019,-0.029,80.000,35.600
'7:42:38.952',0.000,-0.048,88.800,36.800
'7:42:38.960',0.029,-0.029,97.600,38.400
'7:42:38.968',0.010,-0.048,106.400,39.200
'7:42:38.976',0.038,-0.029,115.200,40.400
'7:42:38.984',0.029,-0.048,122.400,40.800
'7:42:38.992',0.058,-0.029,128.800,41.600
'7:42:39.000',0.038,-0.048,132.800,42.000
'7:42:39.008',0.087,-0.010,134.400,42.000
'7:42:39.016',0.087,-0.010,134.400,42.000
'7:42:39.024',0.125,0.010,132.800,42.000
'7:42:39.032',0.135,0.010,128.800,41.600
'7:42:39.040',0.125,0.048,124.000,40.800
'7:42:39.048',0.125,0.029,118.400,39.600
'7:42:39.056',0.067,0.029,112.800,38.000
'7:42:39.064',0.038,0.010,106.400,36.000
'7:42:39.072',0.019,0.000,100.800,34.000
'7:42:39.080',0.019,0.010,95.200,32.400
'7:42:39.088',-0.019,0.000,89.600,30.400
'7:42:39.096',0.000,0.000,84.800,29.200
'7:42:39.104',-0.029,0.000,80.000,28.400
'7:42:39.112',0.000,0.000,76.000,28.000
'7:42:39.120',-0.029,-0.010,72.000,28.400
'7:42:39.128',-0.019,0.000,68.000,28.400
'7:42:39.136',-0.038,-0.010,65.600,28.400
'7:42:39.144',-0.019,0.000,63.200,28.400
'7:42:39.152',-0.038,-0.010,61.600,28.400
'7:42:39.160',-0.019,0.000,60.000,28.400
'7:42:39.168',-0.048,-0.010,59.200,28.800
'7:42:39.176',-0.019,0.000,59.200,29.600
'7:42:39.184',-0.048,-0.010,60.000,30.000
'7:42:39.192',-0.029,0.000,60.800,30.000
'7:42:39.200',-0.067,-0.029,62.400,29.600
'7:42:39.208',-0.038,0.000,64.800,28.800
'7:42:39.216',-0.067,-0.029,67.200,27.600
'7:42:39.224',-0.067,0.000,71.200,26.000
'7:42:39.232',-0.048,-0.029,75.200,24.800
'7:42:39.240',-0.067,-0.010,80.000,23.600
'7:42:39.248',-0.048,-0.029,84.800,22.400
'7:42:39.256',-0.067,0.000,90.400,22.000
'7:42:39.264',-0.048,-0.029,95.200,21.600
'7:42:39.272',-0.067,-0.010,100.800,21.200
'7:42:39.280',-0.048,-0.029,105.600,21.600
'7:42:39.288',-0.067,-0.029,110.400,21.600
'7:42:39.296',-0.038,0.000,115.200,22.000
'7:42:39.304',-0.067,-0.029,118.400,22.000
'7:42:39.312',-0.038,-0.010,120.800,22.400
'7:42:39.320',-0.048,-0.029,122.400,22.400
'7:42:39.328',0.000,0.000,122.400,22.800
'7:42:39.336',-0.019,0.000,121.600,22.800
'7:42:39.344',0.010,0.000,120.000,22.800
'7:42:39.352',0.000,0.010,117.600,22.400
'7:42:39.360',0.058,0.048,114.400,22.400
'7:42:39.368',0.038,0.010,110.400,22.400
'7:42:39.376',0.058,0.029,106.400,22.000
'7:42:39.384',0.000,0.000,102.400,22.000
'7:42:39.392',0.010,0.000,98.400,21.600
'7:42:39.400',-0.067,-0.029,94.400,21.200
'7:42:39.408',-0.048,-0.010,91.200,20.800
'7:42:39.416',-0.087,-0.048,88.000,20.400
'7:42:39.424',-0.067,-0.029,84.800,19.600
'7:42:39.432',-0.087,-0.048,82.400,18.800
'7:42:39.440',-0.077,-0.010,80.000,18.000
'7:42:39.448',-0.067,-0.048,77.600,17.600
'7:42:39.456',-0.106,-0.029,76.000,17.200
'7:42:39.464',-0.173,-0.144,75.200,16.800
'7:42:39.472',-0.077,-0.087,74.400,16.800
'7:42:39.480',0.202,0.087,72.800,16.800
'7:42:39.488',0.673,0.481,72.000,16.800
'7:42:39.496',0.750,0.587,71.200,17.200
'7:42:39.504',0.298,0.385,70.400,17.600
'7:42:39.512',0.058,0.144,69.600,18.000
'7:42:39.520',-0.077,0.000,68.800,18.400
'7:42:39.528',-0.087,-0.048,67.200,18.800
'7:42:39.536',-0.048,-0.029,66.400,18.800
'7:42:39.544',-0.048,-0.029,64.800,18.800
'7:42:39.552',-0.067,-0.048,63.200,18.800
'7:42:39.560',-0.038,-0.029,61.600,19.200
'7:42:39.568',-0.067,-0.048,60.000,20.400
'7:42:39.576',-0.029,-0.010,58.400,21.600
'7:42:39.584',-0.048,-0.029,56.800,23.200
'7:42:39.592',-0.029,-0.010,55.200,24.400
'7:42:39.600',-0.048,-0.029,53.600,25.200
'7:42:39.608',-0.019,-0.010,52.000,24.800
'7:42:39.616',-0.038,-0.029,51.200,24.000
'7:42:39.624',-0.019,-0.010,50.400,23.600
'7:42:39.632',-0.029,-0.029,48.800,23.600
'7:42:39.640',-0.010,-0.010,48.800,24.000
'7:42:39.648',-0.019,-0.029,48.800,25.200
'7:42:39.656',-0.019,-0.010,49.600,26.400
'7:42:39.664',0.010,-0.029,52.000,28.400
'7:42:39.672',0.000,-0.010,56.800,30.400
'7:42:39.680',0.019,-0.029,63.200,32.400
'7:42:39.688',0.010,-0.029,70.400,34.400
'7:42:39.696',0.038,-0.010,79.200,36.000
'7:42:39.704',0.019,-0.029,88.000,37.200
'7:42:39.712',0.067,-0.010,97.600,38.400
'7:42:39.720',0.058,-0.029,106.400,38.800
'7:42:39.728',0.087,0.000,114.400,39.600
'7:42:39.736',0.077,0.000,121.600,39.600
'7:42:39.744',0.125,0.029,127.200,40.000
'7:42:39.752',0.087,0.010,129.600,39.600
'7:42:39.760',0.096,0.048,131.200,38.800
'7:42:39.768',0.038,0.000,130.400,38.000
'7:42:39.776',0.029,0.029,128.000,36.400
'7:42:39.784',-0.019,0.000,124.000,34.800
'7:42:39.792',0.000,0.000,120.000,32.800
'7:42:39.800',-0.038,-0.010,114.400,30.800
'7:42:39.808',-0.019,0.000,108.800,28.800
'7:42:39.816',-0.048,-0.010,103.200,27.600
'7:42:39.824',-0.019,0.000,97.600,26.800
'7:42:39.832',-0.048,-0.010,92.000,26.800
'7:42:39.840',-0.029,0.000,86.400,26.800
'7:42:39.848',-0.048,-0.029,81.600,27.200
'7:42:39.856',-0.038,0.000,76.800,27.600
'7:42:39.864',-0.029,-0.010,72.800,28.000
'7:42:39.872',-0.048,0.000,68.800,28.800
'7:42:39.880',-0.029,-0.010,65.600,29.200
'7:42:39.888',-0.048,-0.029,63.200,30.000
'7:42:39.896',-0.038,0.000,61.600,30.400
'7:42:39.904',-0.067,-0.029,60.000,30.800
'7:42:39.912',-0.038,0.000,60.000,30.000
'7:42:39.920',-0.067,-0.029,60.000,29.200
'7:42:39.928',-0.048,0.000,60.800,27.600
'7:42:39.936',-0.067,-0.029,62.400,26.000
'7:42:39.944',-0.048,-0.010,64.800,24.800
'7:42:39.952',-0.077,-0.029,68.000,23.600
'7:42:39.960',-0.067,-0.010,72.000,22.400
'7:42:39.968',-0.077,-0.029,76.800,21.600
'7:42:39.976',-0.067,-0.010,82.400,21.200
'7:42:39.984',-0.077,-0.029,88.000,20.800
'7:42:39.992',-0.048,0.000,93.600,21.200
'7:42:40.000',-0.067,-0.029,99.200,21.200
'7:42:40.008',-0.038,0.000,104.800,21.600
'7:42:40.016',-0.067,-0.029,110.400,22.000
'7:42:40.024',-0.038,-0.010,115.200,22.400
'7:42:40.032',-0.048,-0.010,118.400,22.800
'7:42:40.040',-0.010,0.000,120.800,22.800
'7:42:40.048',0.000,0.000,121.600,23.200
'7:42:40.056',-0.019,0.000,121.600,23.200
'7:42:40.064',0.019,0.010,120.000,23.200
'7:42:40.072',0.058,0.029,117.600,23.200
'7:42:40.080',0.058,0.048,114.400,22.800
'7:42:40.088',0.038,0.010,111.200,22.800
'7:42:40.096',0.038,0.029,107.200,22.800
'7:42:40.104',0.000,0.000,103.200,22.800
'7:42:40.112',-0.038,-0.010,99.200,22.800
'7:42:40.120',-0.067,-0.029,95.200,22.400
'7:42:40.128',-0.077,-0.010,92.000,21.600
