'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:04:46.776',-0.010,-0.048,49.600,24.800
'8:04:46.784',-0.019,-0.029,51.200,26.800
'8:04:46.792',-0.010,-0.048,53.600,28.800
'8:04:46.800',-0.019,-0.029,58.400,30.800
'8:04:46.808',0.000,-0.029,65.600,32.400
'8:04:46.816',-0.019,-0.048,73.600,34.000
'8:04:46.824',0.000,-0.029,82.400,35.600
'8:04:46.832',0.000,-0.067,91.200,36.800
'8:04:46.840',0.019,-0.029,101.600,38.000
'8:04:46.848',0.010,-0.067,110.400,39.200
'8:04:46.856',0.038,-0.029,119.200,40.000
'8:04:46.864',0.038,-0.048,125.600,40.400
'8:04:46.872',0.077,-0.029,130.400,40.800
'8:04:46.880',0.077,-0.029,132.000,40.800
'8:04:46.888',0.135,0.000,132.000,40.400
'8:04:46.896',0.144,0.000,128.800,39.600
'8:04:46.904',0.183,0.048,124.800,38.400
'8:04:46.912',0.144,0.029,118.400,37.200
'8:04:46.920',0.144,0.067,112.000,35.600
'8:04:46.928',0.087,0.029,104.800,34.000
'8:04:46.936',0.077,0.029,97.600,32.000
'8:04:46.944',0.038,0.000,91.200,30.000
'8:04:46.952',0.019,0.010,84.800,28.400
'8:04:46.960',0.000,0.000,79.200,26.800
'8:04:46.968',-0.010,0.000,73.600,26.000
'8:04:46.976',0.010,0.000,68.800,26.000
'8:04:46.984',-0.019,-0.010,64.800,26.000
'8:04:46.992',-0.010,0.000,60.800,25.600
'8:04:47.000',-0.029,-0.010,57.600,25.200
'8:04:47.008',-0.019,0.000,55.200,24.800
'8:04:47.016',-0.038,-0.029,52.800,24.800
'8:04:47.024',-0.019,0.000,51.200,25.200
'8:04:47.032',-0.048,-0.029,49.600,25.600
'8:04:47.040',-0.029,0.000,49.600,26.400
'8:04:47.048',-0.048,-0.029,48.800,27.600
'8:04:47.056',-0.038,-0.010,48.800,28.400
'8:04:47.064',-0.067,-0.029,49.600,28.800
'8:04:47.072',-0.038,-0.010,50.400,28.400
'8:04:47.080',-0.067,-0.029,52.000,27.600
'8:04:47.088',-0.048,-0.010,53.600,26.000
'8:04:47.096',-0.077,-0.029,56.000,24.800
'8:04:47.104',-0.048,-0.010,59.200,23.200
'8:04:47.112',-0.077,-0.048,62.400,22.000
'8:04:47.120',-0.048,-0.010,65.600,21.200
'8:04:47.128',-0.077,-0.029,69.600,20.400
'8:04:47.136',-0.048,-0.029,73.600,20.000
'8:04:47.144',-0.077,-0.048,78.400,20.000
'8:04:47.152',-0.048,-0.010,83.200,20.000
'8:04:47.160',-0.067,-0.029,88.000,20.000
'8:04:47.168',-0.077,-0.029,92.800,20.000
'8:04:47.176',-0.048,-0.010,97.600,20.000
'8:04:47.184',-0.077,-0.029,101.600,20.400
'8:04:47.192',-0.048,-0.010,104.800,20.400
'8:04:47.200',-0.048,-0.029,108.000,20.800
'8:04:47.208',-0.010,0.000,110.400,20.800
'8:04:47.216',-0.038,-0.010,112.000,21.200
'8:04:47.224',0.019,0.000,112.000,21.200
'8:04:47.232',0.010,0.029,111.200,21.200
'8:04:47.240',0.038,0.029,109.600,21.200
'8:04:47.248',0.019,0.000,107.200,21.200
'8:04:47.256',0.019,0.010,104.800,20.800
'8:04:47.264',-0.019,0.000,101.600,20.800
'8:04:47.272',-0.038,-0.010,98.400,20.400
'8:04:47.280',-0.087,-0.048,94.400,20.400
'8:04:47.288',-0.077,-0.029,90.400,20.000
'8:04:47.296',-0.096,-0.067,87.200,19.200
'8:04:47.304',-0.077,-0.029,84.000,18.800
'8:04:47.312',-0.087,-0.048,80.800,18.000
'8:04:47.320',-0.077,-0.029,78.400,17.200
'8:04:47.328',-0.154,-0.125,75.200,16.400
'8:04:47.336',-0.183,-0.125,73.600,16.000
'8:04:47.344',-0.019,-0.067,71.200,16.000
'8:04:47.352',0.413,0.250,69.600,16.000
'8:04:47.360',0.750,0.529,68.000,16.000
'8:04:47.368',0.577,0.587,67.200,16.400
'8:04:47.376',0.202,0.288,65.600,16.800
'8:04:47.384',0.010,0.106,64.800,17.600
'8:04:47.392',-0.087,-0.029,63.200,18.000
'8:04:47.400',-0.096,-0.067,62.400,18.400
'8:04:47.408',-0.048,-0.029,61.600,18.800
'8:04:47.416',-0.067,-0.048,60.000,18.400
'8:04:47.424',-0.038,-0.029,59.200,18.800
'8:04:47.432',-0.067,-0.048,58.400,19.600
'8:04:47.440',-0.038,-0.029,56.800,21.200
