'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'54:06:21.344',0.000,-0.016,39.200,-
'54:06:21.352',0.016,-0.016,39.200,-
'54:06:21.360',0.000,-0.016,39.200,-
'54:06:21.368',0.008,-0.016,39.200,-
'54:06:21.376',0.000,-0.016,39.200,-
'54:06:21.384',0.016,-0.016,39.200,-
'54:06:21.392',0.000,-0.024,39.200,-
'54:06:21.400',0.008,-0.016,39.200,-
'54:06:21.408',0.000,-0.016,39.200,-
'54:06:21.416',0.016,-0.016,39.200,-
'54:06:21.424',0.000,-0.016,39.200,-
'54:06:21.432',0.016,-0.016,39.200,-
'54:06:21.440',0.000,-0.016,39.200,-
'54:06:21.448',0.024,-0.016,39.200,-
'54:06:21.456',0.000,-0.016,39.200,-
'54:06:21.464',0.016,-0.016,39.200,-
'54:06:21.472',0.000,-0.008,39.200,-
'54:06:21.480',0.016,-0.008,39.200,-
'54:06:21.488',0.000,-0.008,39.200,-
'54:06:21.496',0.016,-0.008,39.200,-
'54:06:21.504',0.008,-0.008,39.200,-
'54:06:21.512',0.016,-0.008,39.200,-
'54:06:21.520',-0.232,-0.008,39.200,-
'54:06:21.528',0.128,-0.008,39.200,-
'54:06:21.536',0.008,-0.008,39.200,-
'54:06:21.544',0.000,-0.008,39.200,-
'54:06:21.552',0.016,-0.008,39.200,-
'54:06:21.560',0.000,-0.008,39.200,-
'54:06:21.568',0.008,-0.008,39.200,-
'54:06:21.576',0.000,-0.008,39.200,-
'54:06:21.584',0.016,-0.008,39.200,-
'54:06:21.592',0.000,-0.008,39.200,-
'54:06:21.600',0.008,-0.008,39.200,-
'54:06:21.608',0.000,0.000,39.200,-
'54:06:21.616',0.032,0.008,39.200,-
'54:06:21.624',0.016,0.008,39.200,-
'54:06:21.632',0.048,0.016,39.200,-
'54:06:21.640',0.024,0.008,39.200,-
'54:06:21.648',0.024,0.008,39.200,-
'54:06:21.656',0.000,0.008,39.200,-
'54:06:21.664',0.024,0.000,39.200,-
'54:06:21.672',0.016,0.000,39.200,-
'54:06:21.680',0.008,0.000,39.200,-
'54:06:21.688',0.000,-0.008,39.200,-
'54:06:21.696',0.016,-0.024,39.200,-
'54:06:21.704',-0.032,-0.056,39.200,-
'54:06:21.712',0.008,-0.056,39.200,-
'54:06:21.720',0.128,0.024,39.200,-
'54:06:21.728',0.320,0.152,39.200,-
'54:06:21.736',0.368,0.304,39.200,-
'54:06:21.744',0.424,0.336,39.200,-
'54:06:21.752',0.104,0.200,39.200,-
'54:06:21.760',-0.072,0.056,39.200,-
'54:06:21.768',-0.160,-0.032,39.200,-
'54:06:21.776',-0.192,-0.072,39.200,-
'54:06:21.784',-0.208,-0.096,39.200,-
'54:06:21.792',-0.208,-0.104,39.200,-
'54:06:21.800',-0.216,-0.104,39.200,-
'54:06:21.808',-0.192,-0.096,39.200,-
'54:06:21.816',-0.168,-0.080,39.200,-
'54:06:21.824',-0.136,-0.064,38.400,-
'54:06:21.832',-0.112,-0.056,39.200,-
'54:06:21.840',-0.088,-0.040,39.200,-
'54:06:21.848',-0.072,-0.032,39.200,-
'54:06:21.856',-0.072,-0.024,39.200,-
'54:06:21.864',-0.056,-0.016,39.200,-
'54:06:21.872',-0.064,-0.008,38.400,-
'54:06:21.880',-0.040,0.000,39.200,-
'54:06:21.888',-0.024,0.008,39.200,-
