'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'54:05:40.344',0.000,0.032,180.000,-
'54:05:40.352',0.016,0.048,180.000,-
'54:05:40.360',0.048,0.064,180.000,-
'54:05:40.368',0.080,0.080,180.000,-
'54:05:40.376',0.120,0.088,180.000,-
'54:05:40.384',0.120,0.088,180.000,-
'54:05:40.392',0.152,0.080,180.000,-
'54:05:40.400',0.120,0.056,180.000,-
'54:05:40.408',0.104,0.040,180.000,-
'54:05:40.416',0.064,0.016,180.000,-
'54:05:40.424',0.056,0.008,180.000,-
'54:05:40.432',0.016,-0.008,180.000,-
'54:05:40.440',0.008,-0.016,180.000,-
'54:05:40.448',-0.008,-0.032,180.000,-
'54:05:40.456',-0.024,-0.040,180.000,-
'54:05:40.464',-0.016,-0.040,180.000,-
'54:05:40.472',-0.048,-0.048,180.000,-
'54:05:40.480',-0.040,-0.048,180.000,-
'54:05:40.488',-0.064,-0.056,180.000,-
'54:05:40.496',-0.040,-0.056,180.000,-
'54:05:40.504',-0.064,-0.056,180.000,-
'54:05:40.512',-0.056,-0.056,180.000,-
'54:05:40.520',-0.072,-0.056,180.000,-
'54:05:40.528',-0.056,-0.048,180.000,-
'54:05:40.536',-0.072,-0.048,180.000,-
'54:05:40.544',-0.064,-0.056,180.000,-
'54:05:40.552',-0.072,-0.056,180.000,-
'54:05:40.560',-0.064,-0.048,180.000,-
'54:05:40.568',-0.072,-0.048,180.000,-
'54:05:40.576',-0.064,-0.040,180.000,-
'54:05:40.584',-0.072,-0.032,180.000,-
'54:05:40.592',-0.056,-0.032,180.000,-
'54:05:40.600',-0.072,-0.032,180.000,-
'54:05:40.608',-0.056,-0.024,180.000,-
'54:05:40.616',-0.064,-0.032,180.000,-
'54:05:40.624',-0.072,-0.032,180.000,-
'54:05:40.632',-0.064,-0.032,180.000,-
'54:05:40.640',-0.072,-0.024,180.000,-
'54:05:40.648',-0.056,-0.016,180.000,-
'54:05:40.656',-0.072,-0.016,180.000,-
'54:05:40.664',-0.040,-0.008,180.000,-
'54:05:40.672',-0.064,-0.016,180.000,-
'54:05:40.680',-0.072,-0.024,180.000,-
'54:05:40.688',-0.072,-0.040,180.000,-
'54:05:40.696',-0.096,-0.072,180.000,-
'54:05:40.704',-0.144,-0.104,180.000,-
'54:05:40.712',-0.072,-0.080,180.000,-
'54:05:40.720',0.080,0.024,180.000,-
'54:05:40.728',0.248,0.184,180.000,-
'54:05:40.736',0.344,0.312,180.000,-
'54:05:40.744',0.176,0.256,180.000,-
'54:05:40.752',-0.048,0.104,180.000,-
'54:05:40.760',-0.192,-0.008,180.000,-
'54:05:40.768',-0.232,-0.056,180.000,-
'54:05:40.776',-0.248,-0.072,180.000,-
