'Elapsed time','II','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'84:27:47.032',0.008,-,-,-,-,-
'84:27:47.040',-0.072,-,-,-,-,-
'84:27:47.048',-0.072,-,-,-,-,-
'84:27:47.056',-0.032,-,-,-,-,-
'84:27:47.064',-0.008,-,-,-,-,-
'84:27:47.072',-0.024,-,-,-,-,-
'84:27:47.080',0.056,-,-,-,-,-
'84:27:47.088',-0.072,-,-,-,-,-
'84:27:47.096',-0.008,-,-,-,-,-
'84:27:47.104',0.000,-,-,-,-,-
'84:27:47.112',-0.008,-,-,-,-,-
'84:27:47.120',0.000,-,-,-,-,-
'84:27:47.128',0.032,-,-,-,-,-
'84:27:47.136',0.024,-,-,-,-,-
'84:27:47.144',0.040,-,-,-,-,-
'84:27:47.152',0.048,-,-,-,-,-
'84:27:47.160',0.008,-,-,-,-,-
'84:27:47.168',0.016,-,-,-,-,-
'84:27:47.176',0.000,-,-,-,-,-
'84:27:47.184',0.000,-,-,-,-,-
'84:27:47.192',0.016,-,-,-,-,-
'84:27:47.200',0.024,-,-,-,-,-
'84:27:47.208',0.000,-,-,-,-,-
'84:27:47.216',0.016,-,-,-,-,-
'84:27:47.224',0.000,-,-,-,-,-
'84:27:47.232',0.032,-,-,-,-,-
'84:27:47.240',0.000,-,-,-,-,-
'84:27:47.248',0.008,-,-,-,-,-
'84:27:47.256',0.000,-,-,-,-,-
'84:27:47.264',0.040,-,-,-,-,-
'84:27:47.272',0.024,-,-,-,-,-
'84:27:47.280',0.040,-,-,-,-,-
'84:27:47.288',0.024,-,-,-,-,-
'84:27:47.296',0.080,-,-,-,-,-
'84:27:47.304',0.064,-,-,-,-,-
'84:27:47.312',0.120,-,-,-,-,-
'84:27:47.320',0.136,-,-,-,-,-
'84:27:47.328',0.120,-,-,-,-,-
'84:27:47.336',0.104,-,-,-,-,-
'84:27:47.344',0.120,-,-,-,-,-
'84:27:47.352',0.088,-,-,-,-,-
'84:27:47.360',0.056,-,-,-,-,-
'84:27:47.368',0.016,-,-,-,-,-
'84:27:47.376',0.024,-,-,-,-,-
'84:27:47.384',0.016,-,-,-,-,-
'84:27:47.392',0.032,-,-,-,-,-
'84:27:47.400',0.016,-,-,-,-,-
'84:27:47.408',0.088,-,-,-,-,-
'84:27:47.416',0.176,-,-,-,-,-
'84:27:47.424',0.288,-,-,-,-,-
'84:27:47.432',0.224,-,-,-,-,-
'84:27:47.440',0.080,-,-,-,-,-
'84:27:47.448',-0.040,-,-,-,-,-
'84:27:47.456',-0.112,-,-,-,-,-
'84:27:47.464',-0.144,-,-,-,-,-
'84:27:47.472',-0.168,-,-,-,-,-
'84:27:47.480',-0.056,-,-,-,-,-
'84:27:47.488',-0.008,-,-,-,-,-
'84:27:47.496',-0.008,-,-,-,-,-
'84:27:47.504',0.008,-,-,-,-,-
'84:27:47.512',0.048,-,-,-,-,-
'84:27:47.520',0.000,-,-,-,-,-
'84:27:47.528',-0.008,-,-,-,-,-
'84:27:47.536',0.008,-,-,-,-,-
'84:27:47.544',-0.008,-,-,-,-,-
'84:27:47.552',0.000,-,-,-,-,-
'84:27:47.560',0.024,-,-,-,-,-
'84:27:47.568',0.000,-,-,-,-,-
'84:27:47.576',-0.016,-,-,-,-,-
'84:27:47.584',0.008,-,-,-,-,-
'84:27:47.592',0.048,-,-,-,-,-
'84:27:47.600',-0.056,-,-,-,-,-
'84:27:47.608',-0.072,-,-,-,-,-
'84:27:47.616',-0.040,-,-,-,-,-
'84:27:47.624',-0.024,-,-,-,-,-
'84:27:47.632',-0.016,-,-,-,-,-
'84:27:47.640',-0.032,-,-,-,-,-
'84:27:47.648',-0.016,-,-,-,-,-
'84:27:47.656',-0.024,-,-,-,-,-
'84:27:47.664',-0.040,-,-,-,-,-
'84:27:47.672',-0.048,-,-,-,-,-
'84:27:47.680',-0.032,-,-,-,-,-
'84:27:47.688',-0.048,-,-,-,-,-
'84:27:47.696',-0.008,-,-,-,-,-
'84:27:47.704',0.000,-,-,-,-,-
'84:27:47.712',0.008,-,-,-,-,-
'84:27:47.720',-0.008,-,-,-,-,-
'84:27:47.728',0.032,-,-,-,-,-
'84:27:47.736',0.040,-,-,-,-,-
'84:27:47.744',0.032,-,-,-,-,-
'84:27:47.752',0.048,-,-,-,-,-
'84:27:47.760',0.032,-,-,-,-,-
'84:27:47.768',0.040,-,-,-,-,-
'84:27:47.776',0.000,-,-,-,-,-
'84:27:47.784',0.016,-,-,-,-,-
'84:27:47.792',0.000,-,-,-,-,-
'84:27:47.800',-0.008,-,-,-,-,-
'84:27:47.808',0.008,-,-,-,-,-
'84:27:47.816',-0.008,-,-,-,-,-
'84:27:47.824',0.000,-,-,-,-,-
'84:27:47.832',0.000,-,-,-,-,-
'84:27:47.840',-0.016,-,-,-,-,-
'84:27:47.848',0.000,-,-,-,-,-
'84:27:47.856',-0.008,-,-,-,-,-
'84:27:47.864',0.000,-,-,-,-,-
'84:27:47.872',0.000,-,-,-,-,-
'84:27:47.880',0.000,-,-,-,-,-
'84:27:47.888',0.008,-,-,-,-,-
'84:27:47.896',0.016,-,-,-,-,-
'84:27:47.904',0.000,-,-,-,-,-
'84:27:47.912',0.000,-,-,-,-,-
'84:27:47.920',-0.008,-,-,-,-,-
'84:27:47.928',0.016,-,-,-,-,-
'84:27:47.936',0.000,-,-,-,-,-
'84:27:47.944',0.000,-,-,-,-,-
'84:27:47.952',-0.016,-,-,-,-,-
'84:27:47.960',0.000,-,-,-,-,-
'84:27:47.968',-0.024,-,-,-,-,-
'84:27:47.976',0.000,-,-,-,-,-
'84:27:47.984',-0.024,-,-,-,-,-
'84:27:47.992',-0.008,-,-,-,-,-
'84:27:48.000',-0.032,-,-,-,-,-
'84:27:48.008',-0.040,-,-,-,-,-
'84:27:48.016',-0.016,-,-,-,-,-
'84:27:48.024',-0.008,-,-,-,-,-
'84:27:48.032',-0.024,-,-,-,-,-
'84:27:48.040',-0.016,-,-,-,-,-
'84:27:48.048',-0.008,-,-,-,-,-
'84:27:48.056',-0.016,-,-,-,-,-
'84:27:48.064',0.016,-,-,-,-,-
'84:27:48.072',0.000,-,-,-,-,-
'84:27:48.080',0.032,-,-,-,-,-
'84:27:48.088',0.104,-,-,-,-,-
'84:27:48.096',0.120,-,-,-,-,-
'84:27:48.104',0.016,-,-,-,-,-
'84:27:48.112',0.032,-,-,-,-,-
'84:27:48.120',0.064,-,-,-,-,-
'84:27:48.128',0.064,-,-,-,-,-
'84:27:48.136',0.056,-,-,-,-,-
'84:27:48.144',0.080,-,-,-,-,-
'84:27:48.152',0.032,-,-,-,-,-
'84:27:48.160',0.040,-,-,-,-,-
'84:27:48.168',-0.008,-,-,-,-,-
'84:27:48.176',0.000,-,-,-,-,-
'84:27:48.184',-0.024,-,-,-,-,-
'84:27:48.192',-0.032,-,-,-,-,-
'84:27:48.200',0.000,-,-,-,-,-
'84:27:48.208',0.088,-,-,-,-,-
'84:27:48.216',0.168,-,-,-,-,-
'84:27:48.224',0.208,-,-,-,-,-
