'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:34:20.776',-0.087,-0.048,65.600,20.400
'8:34:20.784',-0.048,-0.010,69.600,20.400
'8:34:20.792',-0.087,-0.048,74.400,20.400
'8:34:20.800',-0.048,-0.010,80.000,20.800
'8:34:20.808',-0.087,-0.048,84.800,20.800
'8:34:20.816',-0.048,-0.010,90.400,21.200
'8:34:20.824',-0.077,-0.048,95.200,21.600
'8:34:20.832',-0.038,0.000,99.200,22.000
'8:34:20.840',-0.048,-0.010,102.400,22.000
'8:34:20.848',-0.010,0.000,104.800,22.400
'8:34:20.856',-0.029,-0.010,106.400,22.400
'8:34:20.864',-0.038,0.000,106.400,22.400
'8:34:20.872',0.019,0.010,105.600,22.400
'8:34:20.880',0.019,0.000,104.000,22.400
'8:34:20.888',0.058,0.029,101.600,22.800
'8:34:20.896',0.019,0.000,98.400,22.800
'8:34:20.904',0.019,0.010,95.200,23.200
'8:34:20.912',-0.019,-0.010,92.000,22.800
'8:34:20.920',-0.067,0.000,88.000,22.400
'8:34:20.928',-0.077,-0.029,84.800,21.600
'8:34:20.936',-0.067,-0.010,81.600,20.800
'8:34:20.944',-0.087,-0.048,78.400,19.600
'8:34:20.952',-0.067,-0.029,75.200,19.200
'8:34:20.960',-0.096,-0.048,72.800,18.400
'8:34:20.968',-0.154,-0.125,71.200,17.600
'8:34:20.976',-0.183,-0.163,68.800,17.200
'8:34:20.984',0.077,0.000,68.000,17.200
'8:34:20.992',0.510,0.308,66.400,17.200
'8:34:21.000',0.817,0.625,65.600,17.600
'8:34:21.008',0.538,0.644,64.800,18.000
'8:34:21.016',0.250,0.346,64.000,18.800
'8:34:21.024',0.019,0.106,63.200,19.200
'8:34:21.032',-0.019,0.000,62.400,20.000
'8:34:21.040',-0.067,-0.029,61.600,20.400
'8:34:21.048',-0.048,-0.029,60.800,20.800
'8:34:21.056',-0.087,-0.067,60.000,20.400
'8:34:21.064',-0.048,-0.029,59.200,20.400
'8:34:21.072',-0.077,-0.087,58.400,21.200
'8:34:21.080',-0.048,-0.029,56.800,22.400
'8:34:21.088',-0.038,-0.067,56.000,24.000
'8:34:21.096',-0.067,-0.048,54.400,26.000
'8:34:21.104',-0.038,-0.067,53.600,27.200
'8:34:21.112',-0.067,-0.048,52.000,28.400
'8:34:21.120',-0.048,-0.067,51.200,28.000
'8:34:21.128',-0.067,-0.029,49.600,26.400
'8:34:21.136',-0.019,-0.029,48.800,24.000
'8:34:21.144',-0.048,-0.067,48.000,21.200
'8:34:21.152',-0.019,-0.029,47.200,19.200
'8:34:21.160',-0.038,-0.067,46.400,18.400
'8:34:21.168',0.000,-0.029,45.600,19.600
'8:34:21.176',-0.019,-0.067,45.600,22.000
'8:34:21.184',0.019,-0.029,46.400,24.800
'8:34:21.192',0.000,-0.048,47.200,28.000
'8:34:21.200',0.029,-0.010,50.400,31.200
'8:34:21.208',0.019,-0.048,54.400,34.000
'8:34:21.216',0.067,-0.010,60.000,36.400
'8:34:21.224',0.058,-0.029,66.400,37.600
'8:34:21.232',0.106,0.000,73.600,38.400
'8:34:21.240',0.087,-0.010,80.800,38.400
'8:34:21.248',0.125,0.010,88.000,38.000
'8:34:21.256',0.125,0.010,95.200,37.200
'8:34:21.264',0.106,0.048,101.600,36.400
'8:34:21.272',0.115,0.029,106.400,35.200
'8:34:21.280',0.058,0.029,109.600,34.000
'8:34:21.288',0.000,0.000,112.000,32.400
'8:34:21.296',-0.019,0.000,112.000,30.800
'8:34:21.304',0.000,-0.010,110.400,29.600
'8:34:21.312',-0.048,0.000,108.000,28.000
'8:34:21.320',-0.029,-0.010,104.800,27.200
'8:34:21.328',-0.067,-0.029,100.800,26.400
'8:34:21.336',-0.048,0.000,96.000,26.000
'8:34:21.344',-0.077,-0.029,91.200,26.000
'8:34:21.352',-0.048,-0.010,85.600,26.400
'8:34:21.360',-0.087,-0.029,80.800,26.800
'8:34:21.368',-0.048,-0.010,76.000,27.600
'8:34:21.376',-0.067,-0.029,72.000,28.400
'8:34:21.384',-0.019,0.000,68.000,28.800
'8:34:21.392',-0.029,0.000,64.800,29.600
'8:34:21.400',0.019,0.010,61.600,30.400
'8:34:21.408',0.067,0.000,59.200,30.800
'8:34:21.416',0.125,0.010,56.800,31.200
'8:34:21.424',0.106,-0.048,55.200,31.200
'8:34:21.432',0.144,-0.125,54.400,30.800
'8:34:21.440',0.135,-0.163,53.600,30.000
'8:34:21.448',0.192,-0.308,52.800,28.400
'8:34:21.456',-0.202,-0.740,53.600,26.800
'8:34:21.464',-0.519,-0.923,54.400,25.600
'8:34:21.472',-0.606,-0.808,56.000,24.000
'8:34:21.480',-0.375,-0.404,58.400,23.200
'8:34:21.488',-0.144,-0.125,61.600,22.400
'8:34:21.496',-0.010,0.048,64.800,22.000
'8:34:21.504',0.000,0.067,69.600,22.000
'8:34:21.512',0.000,0.106,74.400,22.000
'8:34:21.520',0.029,0.087,79.200,21.600
'8:34:21.528',0.010,0.125,84.800,21.600
'8:34:21.536',0.038,0.106,90.400,21.200
'8:34:21.544',0.019,0.106,95.200,20.800
'8:34:21.552',0.058,0.144,100.000,20.800
'8:34:21.560',0.038,0.106,103.200,21.200
'8:34:21.568',0.087,0.183,105.600,22.000
'8:34:21.576',0.077,0.163,106.400,23.600
'8:34:21.584',0.125,0.202,106.400,24.800
'8:34:21.592',0.144,0.202,104.800,26.000
'8:34:21.600',0.202,0.269,102.400,26.400
'8:34:21.608',0.192,0.269,99.200,26.400
'8:34:21.616',0.240,0.327,94.400,26.000
'8:34:21.624',0.212,0.308,90.400,25.200
'8:34:21.632',0.269,0.385,85.600,24.400
'8:34:21.640',0.240,0.385,80.800,23.600
'8:34:21.648',0.279,0.442,76.000,22.400
'8:34:21.656',0.269,0.442,72.000,21.600
'8:34:21.664',0.308,0.481,68.000,20.800
'8:34:21.672',0.269,0.442,64.800,20.400
'8:34:21.680',0.269,0.442,61.600,20.400
'8:34:21.688',0.269,0.346,58.400,20.400
'8:34:21.696',0.192,0.308,56.000,20.400
'8:34:21.704',0.125,0.202,54.400,20.800
'8:34:21.712',0.077,0.144,52.000,20.800
'8:34:21.720',0.000,0.029,50.400,21.200
'8:34:21.728',-0.048,0.000,49.600,21.200
'8:34:21.736',-0.106,-0.048,48.800,21.600
'8:34:21.744',-0.125,-0.087,48.000,22.000
'8:34:21.752',-0.125,-0.067,47.200,22.400
'8:34:21.760',-0.154,-0.125,47.200,22.400
'8:34:21.768',-0.144,-0.087,46.400,22.800
'8:34:21.776',-0.163,-0.125,46.400,22.800
'8:34:21.784',-0.144,-0.087,46.400,22.800
'8:34:21.792',-0.173,-0.125,46.400,23.200
'8:34:21.800',-0.154,-0.106,46.400,23.200
'8:34:21.808',-0.163,-0.125,46.400,23.200
'8:34:21.816',-0.135,-0.106,47.200,23.200
'8:34:21.824',-0.154,-0.125,47.200,22.800
'8:34:21.832',-0.135,-0.087,47.200,22.800
'8:34:21.840',-0.154,-0.125,48.000,22.800
'8:34:21.848',-0.125,-0.087,48.000,22.800
'8:34:21.856',-0.154,-0.125,48.800,22.800
'8:34:21.864',-0.125,-0.087,49.600,22.400
'8:34:21.872',-0.106,-0.106,50.400,22.400
'8:34:21.880',-0.144,-0.087,51.200,22.000
'8:34:21.888',-0.106,-0.087,52.000,22.000
'8:34:21.896',-0.135,-0.106,52.800,22.000
'8:34:21.904',-0.106,-0.067,54.400,21.600
'8:34:21.912',-0.125,-0.106,56.000,21.600
'8:34:21.920',-0.087,-0.067,57.600,21.600
'8:34:21.928',-0.125,-0.106,59.200,21.600
