'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'9:03:42.520',-,-0.043,-,-,110.400,-
'9:03:42.528',-,-0.128,-,-,110.400,-
'9:03:42.536',-,-0.197,-,-,109.600,-
'9:03:42.544',-,-0.179,-,-,108.800,-
'9:03:42.552',-,-0.197,-,-,108.000,-
'9:03:42.560',-,-0.111,-,-,106.400,-
'9:03:42.568',-,-0.043,-,-,104.000,-
'9:03:42.576',-,-0.017,-,-,101.600,-
'9:03:42.584',-,0.017,-,-,99.200,-
'9:03:42.592',-,0.060,-,-,96.000,-
'9:03:42.600',-,-0.043,-,-,92.000,-
'9:03:42.608',-,0.085,-,-,88.000,-
'9:03:42.616',-,0.222,-,-,83.200,-
'9:03:42.624',-,0.154,-,-,79.200,-
'9:03:42.632',-,0.000,-,-,74.400,-
'9:03:42.640',-,0.000,-,-,70.400,-
'9:03:42.648',-,0.043,-,-,67.200,-
'9:03:42.656',-,0.085,-,-,64.800,-
'9:03:42.664',-,0.043,-,-,62.400,-
'9:03:42.672',-,0.000,-,-,60.000,-
'9:03:42.680',-,-0.017,-,-,58.400,-
'9:03:42.688',-,0.000,-,-,57.600,-
'9:03:42.696',-,-0.017,-,-,56.000,-
'9:03:42.704',-,0.179,-,-,55.200,-
'9:03:42.712',-,0.000,-,-,54.400,-
'9:03:42.720',-,-0.043,-,-,54.400,-
'9:03:42.728',-,0.000,-,-,53.600,-
'9:03:42.736',-,-0.128,-,-,53.600,-
'9:03:42.744',-,-0.222,-,-,52.800,-
'9:03:42.752',-,-0.017,-,-,52.800,-
'9:03:42.760',-,0.265,-,-,52.800,-
'9:03:42.768',-,0.427,-,-,52.000,-
'9:03:42.776',-,0.085,-,-,52.000,-
'9:03:42.784',-,-0.017,-,-,52.000,-
'9:03:42.792',-,0.060,-,-,52.000,-
'9:03:42.800',-,0.000,-,-,52.000,-
'9:03:42.808',-,-0.017,-,-,51.200,-
'9:03:42.816',-,-0.043,-,-,51.200,-
'9:03:42.824',-,-0.043,-,-,51.200,-
'9:03:42.832',-,0.017,-,-,50.400,-
'9:03:42.840',-,0.043,-,-,50.400,-
'9:03:42.848',-,-0.154,-,-,50.400,-
'9:03:42.856',-,-0.248,-,-,50.400,-
'9:03:42.864',-,-0.154,-,-,52.000,-
'9:03:42.872',-,-0.154,-,-,54.400,-
'9:03:42.880',-,-0.179,-,-,59.200,-
'9:03:42.888',-,-0.128,-,-,65.600,-
'9:03:42.896',-,-0.111,-,-,72.800,-
'9:03:42.904',-,-0.111,-,-,80.000,-
'9:03:42.912',-,-0.128,-,-,87.200,-
'9:03:42.920',-,-0.060,-,-,92.800,-
'9:03:42.928',-,-0.017,-,-,98.400,-
'9:03:42.936',-,-0.179,-,-,102.400,-
'9:03:42.944',-,-0.017,-,-,105.600,-
'9:03:42.952',-,0.000,-,-,107.200,-
'9:03:42.960',-,-0.197,-,-,108.800,-
'9:03:42.968',-,-0.248,-,-,109.600,-
'9:03:42.976',-,-0.248,-,-,110.400,-
'9:03:42.984',-,-0.248,-,-,110.400,-
'9:03:42.992',-,-0.154,-,-,109.600,-
'9:03:43.000',-,-0.128,-,-,108.800,-
'9:03:43.008',-,-0.154,-,-,108.000,-
'9:03:43.016',-,-0.128,-,-,106.400,-
'9:03:43.024',-,-0.043,-,-,104.800,-
'9:03:43.032',-,0.000,-,-,102.400,-
'9:03:43.040',-,-0.043,-,-,100.000,-
'9:03:43.048',-,0.000,-,-,96.800,-
'9:03:43.056',-,0.000,-,-,92.800,-
'9:03:43.064',-,0.128,-,-,89.600,-
'9:03:43.072',-,0.197,-,-,84.800,-
'9:03:43.080',-,0.000,-,-,80.800,-
'9:03:43.088',-,-0.111,-,-,76.000,-
'9:03:43.096',-,-0.111,-,-,72.000,-
'9:03:43.104',-,-0.043,-,-,68.000,-
'9:03:43.112',-,0.085,-,-,65.600,-
'9:03:43.120',-,0.128,-,-,63.200,-
'9:03:43.128',-,0.043,-,-,60.800,-
'9:03:43.136',-,0.000,-,-,59.200,-
'9:03:43.144',-,0.000,-,-,57.600,-
'9:03:43.152',-,0.000,-,-,56.800,-
'9:03:43.160',-,0.000,-,-,56.000,-
'9:03:43.168',-,-0.017,-,-,55.200,-
'9:03:43.176',-,-0.017,-,-,54.400,-
'9:03:43.184',-,-0.043,-,-,54.400,-
'9:03:43.192',-,-0.043,-,-,53.600,-
'9:03:43.200',-,-0.017,-,-,53.600,-
'9:03:43.208',-,-0.060,-,-,53.600,-
'9:03:43.216',-,0.000,-,-,52.800,-
'9:03:43.224',-,0.000,-,-,52.800,-
'9:03:43.232',-,0.179,-,-,52.800,-
'9:03:43.240',-,0.453,-,-,52.000,-
'9:03:43.248',-,0.470,-,-,52.000,-
'9:03:43.256',-,0.000,-,-,51.200,-
'9:03:43.264',-,-0.017,-,-,51.200,-
'9:03:43.272',-,0.017,-,-,50.400,-
'9:03:43.280',-,0.000,-,-,50.400,-
'9:03:43.288',-,-0.111,-,-,49.600,-
'9:03:43.296',-,-0.111,-,-,48.800,-
'9:03:43.304',-,-0.085,-,-,48.800,-
'9:03:43.312',-,-0.128,-,-,48.000,-
'9:03:43.320',-,-0.111,-,-,48.000,-
'9:03:43.328',-,-0.085,-,-,47.200,-
'9:03:43.336',-,-0.060,-,-,48.000,-
'9:03:43.344',-,-0.043,-,-,48.800,-
'9:03:43.352',-,-0.043,-,-,52.000,-
'9:03:43.360',-,-0.060,-,-,57.600,-
'9:03:43.368',-,-0.043,-,-,64.000,-
'9:03:43.376',-,-0.060,-,-,70.400,-
'9:03:43.384',-,-0.017,-,-,77.600,-
'9:03:43.392',-,-0.043,-,-,84.000,-
'9:03:43.400',-,-0.043,-,-,90.400,-
'9:03:43.408',-,0.000,-,-,95.200,-
'9:03:43.416',-,-0.111,-,-,98.400,-
'9:03:43.424',-,-0.154,-,-,101.600,-
'9:03:43.432',-,-0.154,-,-,104.000,-
'9:03:43.440',-,-0.154,-,-,104.800,-
'9:03:43.448',-,-0.111,-,-,105.600,-
'9:03:43.456',-,-0.085,-,-,105.600,-
'9:03:43.464',-,-0.111,-,-,104.800,-
'9:03:43.472',-,-0.085,-,-,104.800,-
'9:03:43.480',-,-0.111,-,-,103.200,-
'9:03:43.488',-,-0.043,-,-,102.400,-
'9:03:43.496',-,-0.043,-,-,100.000,-
'9:03:43.504',-,-0.017,-,-,97.600,-
'9:03:43.512',-,0.000,-,-,95.200,-
'9:03:43.520',-,0.000,-,-,92.000,-
'9:03:43.528',-,0.000,-,-,88.000,-
'9:03:43.536',-,0.043,-,-,84.000,-
'9:03:43.544',-,0.060,-,-,80.000,-
'9:03:43.552',-,0.043,-,-,75.200,-
'9:03:43.560',-,0.111,-,-,70.400,-
'9:03:43.568',-,0.085,-,-,66.400,-
'9:03:43.576',-,0.128,-,-,63.200,-
'9:03:43.584',-,0.128,-,-,60.800,-
'9:03:43.592',-,0.128,-,-,58.400,-
'9:03:43.600',-,0.043,-,-,56.800,-
'9:03:43.608',-,0.000,-,-,55.200,-
'9:03:43.616',-,0.000,-,-,54.400,-
'9:03:43.624',-,-0.017,-,-,53.600,-
'9:03:43.632',-,0.000,-,-,52.800,-
'9:03:43.640',-,-0.017,-,-,52.000,-
'9:03:43.648',-,-0.043,-,-,52.000,-
'9:03:43.656',-,-0.017,-,-,51.200,-
'9:03:43.664',-,0.000,-,-,51.200,-
'9:03:43.672',-,-0.043,-,-,50.400,-
'9:03:43.680',-,-0.017,-,-,50.400,-
'9:03:43.688',-,0.085,-,-,50.400,-
'9:03:43.696',-,0.333,-,-,49.600,-
'9:03:43.704',-,0.538,-,-,49.600,-
'9:03:43.712',-,0.291,-,-,49.600,-
'9:03:43.720',-,0.043,-,-,49.600,-
'9:03:43.728',-,0.000,-,-,48.800,-
'9:03:43.736',-,-0.017,-,-,48.800,-
'9:03:43.744',-,0.000,-,-,48.800,-
'9:03:43.752',-,-0.043,-,-,48.000,-
'9:03:43.760',-,-0.043,-,-,48.000,-
'9:03:43.768',-,-0.085,-,-,48.000,-
'9:03:43.776',-,-0.043,-,-,47.200,-
'9:03:43.784',-,0.000,-,-,46.400,-
'9:03:43.792',-,0.000,-,-,46.400,-
'9:03:43.800',-,-0.085,-,-,46.400,-
'9:03:43.808',-,0.000,-,-,47.200,-
'9:03:43.816',-,-0.043,-,-,49.600,-
'9:03:43.824',-,-0.060,-,-,53.600,-
'9:03:43.832',-,-0.017,-,-,59.200,-
'9:03:43.840',-,0.000,-,-,65.600,-
'9:03:43.848',-,-0.043,-,-,72.000,-
'9:03:43.856',-,-0.085,-,-,78.400,-
'9:03:43.864',-,-0.060,-,-,84.000,-
'9:03:43.872',-,-0.111,-,-,88.800,-
'9:03:43.880',-,-0.085,-,-,92.000,-
'9:03:43.888',-,-0.060,-,-,95.200,-
'9:03:43.896',-,-0.043,-,-,97.600,-
'9:03:43.904',-,-0.017,-,-,98.400,-
'9:03:43.912',-,-0.043,-,-,99.200,-
'9:03:43.920',-,-0.043,-,-,99.200,-
'9:03:43.928',-,-0.043,-,-,99.200,-
'9:03:43.936',-,0.000,-,-,98.400,-
'9:03:43.944',-,0.000,-,-,97.600,-
'9:03:43.952',-,0.000,-,-,96.000,-
'9:03:43.960',-,0.000,-,-,93.600,-
'9:03:43.968',-,-0.043,-,-,91.200,-
'9:03:43.976',-,0.000,-,-,88.000,-
'9:03:43.984',-,0.000,-,-,84.000,-
'9:03:43.992',-,0.000,-,-,80.000,-
'9:03:44.000',-,0.000,-,-,76.000,-
'9:03:44.008',-,0.017,-,-,72.000,-
'9:03:44.016',-,0.017,-,-,68.000,-
'9:03:44.024',-,0.060,-,-,64.000,-
'9:03:44.032',-,0.085,-,-,61.600,-
'9:03:44.040',-,0.085,-,-,59.200,-
'9:03:44.048',-,0.111,-,-,56.800,-
'9:03:44.056',-,0.085,-,-,55.200,-
'9:03:44.064',-,0.111,-,-,54.400,-
'9:03:44.072',-,0.060,-,-,53.600,-
'9:03:44.080',-,0.085,-,-,52.800,-
'9:03:44.088',-,0.043,-,-,52.000,-
'9:03:44.096',-,0.000,-,-,52.000,-
'9:03:44.104',-,-0.043,-,-,51.200,-
'9:03:44.112',-,-0.043,-,-,51.200,-
'9:03:44.120',-,-0.043,-,-,51.200,-
'9:03:44.128',-,-0.043,-,-,50.400,-
'9:03:44.136',-,-0.017,-,-,50.400,-
'9:03:44.144',-,-0.043,-,-,50.400,-
'9:03:44.152',-,-0.043,-,-,50.400,-
'9:03:44.160',-,0.222,-,-,49.600,-
'9:03:44.168',-,0.470,-,-,49.600,-
'9:03:44.176',-,0.496,-,-,49.600,-
'9:03:44.184',-,0.043,-,-,49.600,-
