'Elapsed time','II','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'34:21:57.304',-,0.000,57.600,-
'34:21:57.312',-,0.000,57.600,-
'34:21:57.320',-,0.000,56.400,-
'34:21:57.328',-,0.015,56.400,-
'34:21:57.336',-,0.015,55.200,-
'34:21:57.344',-,0.045,55.200,-
'34:21:57.352',-,0.045,55.200,-
'34:21:57.360',-,-0.015,54.000,-
'34:21:57.368',-,-0.060,54.000,-
'34:21:57.376',-,-0.104,54.000,-
'34:21:57.384',-,-0.104,54.000,-
'34:21:57.392',-,-0.060,52.800,-
'34:21:57.400',-,-0.045,52.800,-
'34:21:57.408',-,-0.015,52.800,-
'34:21:57.416',-,0.000,52.800,-
'34:21:57.424',-,0.000,51.600,-
'34:21:57.432',-,0.000,51.600,-
'34:21:57.440',-,0.000,51.600,-
'34:21:57.448',-,0.000,51.600,-
'34:21:57.456',-,0.000,51.600,-
'34:21:57.464',-,0.000,51.600,-
'34:21:57.472',-,0.000,51.600,-
'34:21:57.480',-,0.000,50.400,-
'34:21:57.488',-,0.090,50.400,-
'34:21:57.496',-,0.194,50.400,-
'34:21:57.504',-,0.284,50.400,-
'34:21:57.512',-,0.313,50.400,-
'34:21:57.520',-,0.060,50.400,-
'34:21:57.528',-,-0.313,50.400,-
'34:21:57.536',-,-0.657,50.400,-
'34:21:57.544',-,-0.791,50.400,-
'34:21:57.552',-,-0.806,49.200,-
'34:21:57.560',-,-0.716,49.200,-
'34:21:57.568',-,-0.522,49.200,-
'34:21:57.576',-,-0.269,49.200,-
'34:21:57.584',-,-0.090,49.200,-
'34:21:57.592',-,0.015,48.000,-
'34:21:57.600',-,0.045,48.000,-
'34:21:57.608',-,0.060,48.000,-
'34:21:57.616',-,0.045,48.000,-
'34:21:57.624',-,0.060,48.000,-
'34:21:57.632',-,0.060,48.000,-
'34:21:57.640',-,0.060,49.200,-
'34:21:57.648',-,0.060,51.600,-
'34:21:57.656',-,0.060,56.400,-
'34:21:57.664',-,0.060,62.400,-
'34:21:57.672',-,0.060,70.800,-
'34:21:57.680',-,0.060,79.200,-
'34:21:57.688',-,0.060,88.800,-
'34:21:57.696',-,0.060,97.200,-
'34:21:57.704',-,0.060,104.400,-
'34:21:57.712',-,0.060,111.600,-
'34:21:57.720',-,0.060,117.600,-
'34:21:57.728',-,0.090,122.400,-
'34:21:57.736',-,0.090,124.800,-
'34:21:57.744',-,0.104,127.200,-
'34:21:57.752',-,0.104,128.400,-
'34:21:57.760',-,0.134,129.600,-
