'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'7:51:20.776',-0.067,-0.048,56.800,22.800
'7:51:20.784',-0.029,-0.010,55.200,22.800
'7:51:20.792',-0.048,-0.029,53.600,23.200
'7:51:20.800',-0.029,-0.010,52.800,23.200
'7:51:20.808',-0.048,-0.029,51.200,23.200
'7:51:20.816',-0.019,-0.010,49.600,23.200
'7:51:20.824',-0.048,-0.029,48.000,22.800
'7:51:20.832',-0.019,-0.010,47.200,22.400
'7:51:20.840',-0.048,-0.029,45.600,22.000
'7:51:20.848',-0.019,-0.010,44.000,21.600
'7:51:20.856',-0.019,-0.029,43.200,21.600
'7:51:20.864',-0.048,-0.010,42.400,21.600
'7:51:20.872',-0.029,-0.029,41.600,21.600
'7:51:20.880',-0.038,0.000,40.800,21.600
'7:51:20.888',-0.019,-0.029,40.000,21.600
'7:51:20.896',-0.048,-0.010,39.200,21.600
'7:51:20.904',-0.019,-0.029,38.400,21.600
'7:51:20.912',-0.048,-0.010,38.400,21.600
'7:51:20.920',-0.019,-0.029,37.600,21.200
'7:51:20.928',-0.038,-0.010,37.600,21.200
'7:51:20.936',-0.019,-0.029,36.800,20.800
'7:51:20.944',-0.038,0.000,36.800,20.800
'7:51:20.952',0.019,0.000,36.800,20.800
'7:51:20.960',-0.010,0.000,36.800,20.800
'7:51:20.968',0.010,0.000,36.800,20.800
'7:51:20.976',0.038,0.010,36.800,20.800
'7:51:20.984',0.067,0.029,36.800,21.200
'7:51:20.992',0.038,0.000,37.600,21.600
'7:51:21.000',0.067,0.029,37.600,22.000
'7:51:21.008',0.019,0.000,37.600,22.000
'7:51:21.016',0.029,0.010,37.600,22.000
'7:51:21.024',-0.038,-0.010,37.600,21.600
'7:51:21.032',-0.029,-0.010,38.400,20.800
'7:51:21.040',-0.067,-0.048,38.400,20.000
'7:51:21.048',-0.038,-0.010,38.400,19.200
'7:51:21.056',-0.067,-0.048,39.200,18.800
'7:51:21.064',-0.048,-0.029,39.200,18.000
'7:51:21.072',-0.125,-0.106,39.200,17.600
'7:51:21.080',-0.144,-0.125,40.000,17.600
'7:51:21.088',0.019,-0.029,40.000,17.600
'7:51:21.096',0.433,0.269,40.000,17.600
'7:51:21.104',0.769,0.587,40.000,17.600
'7:51:21.112',0.788,0.644,40.800,18.000
'7:51:21.120',0.240,0.308,40.800,18.000
'7:51:21.128',0.067,0.125,40.800,18.800
'7:51:21.136',-0.019,0.000,40.800,19.200
'7:51:21.144',-0.038,-0.010,40.800,20.000
'7:51:21.152',-0.010,0.000,40.800,20.800
'7:51:21.160',-0.048,-0.048,41.600,22.400
'7:51:21.168',-0.029,-0.029,41.600,25.200
'7:51:21.176',-0.048,-0.067,41.600,28.000
'7:51:21.184',-0.029,-0.029,41.600,30.800
'7:51:21.192',-0.048,-0.067,41.600,32.400
'7:51:21.200',-0.029,-0.029,41.600,32.400
'7:51:21.208',-0.048,-0.048,41.600,31.200
'7:51:21.216',-0.029,-0.029,41.600,28.800
'7:51:21.224',-0.048,-0.067,41.600,25.600
'7:51:21.232',-0.010,-0.029,41.600,23.200
'7:51:21.240',-0.038,-0.048,42.400,22.400
'7:51:21.248',-0.010,-0.029,44.000,23.600
'7:51:21.256',-0.029,-0.048,48.000,26.000
'7:51:21.264',0.000,-0.029,52.800,29.200
'7:51:21.272',-0.019,-0.067,58.400,32.800
'7:51:21.280',0.000,-0.029,64.800,36.400
'7:51:21.288',-0.019,-0.067,71.200,40.000
'7:51:21.296',0.019,-0.029,78.400,42.800
'7:51:21.304',0.000,-0.067,85.600,45.200
'7:51:21.312',0.019,-0.048,92.000,47.200
'7:51:21.320',0.019,-0.067,98.400,47.600
'7:51:21.328',0.010,-0.087,104.000,47.600
'7:51:21.336',0.038,-0.048,108.000,46.400
'7:51:21.344',0.067,-0.029,110.400,45.200
'7:51:21.352',0.087,-0.010,112.000,43.200
'7:51:21.360',0.115,0.000,112.000,41.600
'7:51:21.368',0.135,0.010,111.200,39.600
'7:51:21.376',0.125,0.000,109.600,38.000
'7:51:21.384',0.144,0.048,106.400,36.400
'7:51:21.392',0.077,0.010,103.200,34.800
'7:51:21.400',0.067,0.029,99.200,34.000
'7:51:21.408',0.029,0.010,95.200,33.200
'7:51:21.416',0.019,0.000,90.400,32.400
'7:51:21.424',0.000,0.000,85.600,32.400
'7:51:21.432',0.019,0.010,81.600,32.400
'7:51:21.440',-0.010,0.000,77.600,32.400
'7:51:21.448',0.000,0.000,73.600,32.000
'7:51:21.456',-0.019,-0.010,69.600,31.600
'7:51:21.464',0.000,0.000,65.600,30.800
'7:51:21.472',-0.029,-0.010,63.200,30.400
'7:51:21.480',-0.010,0.000,60.000,30.400
'7:51:21.488',-0.038,-0.010,57.600,30.000
'7:51:21.496',-0.048,0.000,55.200,30.000
'7:51:21.504',-0.019,-0.029,53.600,30.400
'7:51:21.512',-0.048,0.000,52.000,30.400
'7:51:21.520',-0.019,-0.029,50.400,30.800
'7:51:21.528',-0.048,-0.010,49.600,30.800
'7:51:21.536',-0.029,0.000,48.800,30.000
'7:51:21.544',-0.067,-0.029,48.000,29.200
'7:51:21.552',-0.038,-0.010,48.000,28.000
'7:51:21.560',-0.067,-0.029,48.000,26.800
'7:51:21.568',-0.038,0.000,48.000,25.600
'7:51:21.576',-0.077,-0.029,48.800,24.800
'7:51:21.584',-0.048,-0.010,49.600,24.000
'7:51:21.592',-0.067,-0.029,51.200,23.600
'7:51:21.600',-0.048,-0.010,52.800,23.200
'7:51:21.608',-0.077,-0.048,55.200,23.200
'7:51:21.616',-0.048,-0.010,57.600,23.200
'7:51:21.624',-0.067,-0.029,60.800,23.200
'7:51:21.632',-0.038,-0.010,63.200,23.600
'7:51:21.640',-0.067,-0.048,66.400,23.600
